Name,ProjectedFP,SeasonLowFP,SeasonHighFP,Sigma
John Henson , 15.28 , 5.6 , 36.5 , 5.15
Thabo Sefolosha , 17.44 , 10.8 , 22.9 , 2.01666666667
Will Barton , 25.38 , 8.9 , 44.4 , 5.91666666667
Andrew Bogut , 25.4 , 9.9 , 45.6 , 5.95
Stephen Curry , 50.29 , 33.7 , 77.3 , 7.26666666667
LeBron James , 46.86 , 30.9 , 59.9 , 4.83333333333
Chris Bosh , 36.21 , 23.6 , 45.6 , 3.66666666667
Ricky Rubio , 34.37 , 20.7 , 52.4 , 5.28333333333
Jeremy Lamb , 21.5 , 6.8 , 32.3 , 4.25

LowPointCutoff, 280.0
Experiments run, 5000
Success,  1640
ProbabilityOfSuccess,  0.328
