Name,ProjectedFP,SeasonLowFP,SeasonHighFP,Sigma
Eric Bledsoe , 38.37 , 21.8 , 55.6 , 5.63333333333
Damian Lillard , 40.4 , 27.1 , 50.9 , 3.96666666667
Gordon Hayward , 26.28 , 14.5 , 39.7 , 4.2
Derrick Favors , 34.71 , 8.6 , 61.4 , 8.8
Jonas Valanciunas , 27.6 , 19 , 39 , 3.33333333333
Rudy Gay , 29.49 , 22 , 36.7 , 2.45
Jeff Teague , 31.31 , 12.3 , 45.7 , 5.56666666667
James Harden , 43.29 , 17.7 , 66.7 , 8.16666666667
Anthony Davis , 40.47 , 3.9 , 72.5 , 11.4333333333

LowPointCutoff, 280.0
Experiments run, 5000
Success,  4748
ProbabilityOfSuccess,  0.9496
