Name,ProjectedFP,SeasonLowFP,SeasonHighFP,Sigma
Eric Bledsoe , 38.37 , 21.8 , 55.6 , 5.63333333333
Aaron Gordon , 19.15 , 3.4 , 31.1 , 4.61666666667
Thaddeus Young , 29.21 , 16.4 , 47.5 , 5.18333333333
T.J. Warren , 17.34 , 1.2 , 27.8 , 4.43333333333
Russell Westbrook , 52.52 , 39.8 , 71.2 , 5.23333333333
Kyle Lowry , 38.85 , 22.3 , 54 , 5.28333333333
Clint Capela , 19.51 , 8.2 , 36.4 , 4.7
Jeremy Lamb , 21.74 , 6.8 , 32.3 , 4.25
Kawhi Leonard , 38.09 , 31.5 , 48.6 , 2.85

LowPointCutoff, 280.0
Experiments run, 5000
Success,  1765
ProbabilityOfSuccess,  0.353
