Name,ProjectedFP,SeasonLowFP,SeasonHighFP,Sigma
Kawhi Leonard , 38.09 , 31.5 , 48.6 , 2.85
Evan Fournier , 29.04 , 12.3 , 44 , 5.28333333333
Rodney Hood , 21.14 , 16.2 , 29.5 , 2.21666666667
Derrick Favors , 34.71 , 8.6 , 61.4 , 8.8
Tyson Chandler , 21.82 , 10.6 , 35.9 , 4.21666666667
Ish Smith , 26.09 , 7.9 , 40.6 , 5.45
Jae Crowder , 25.51 , 17.3 , 38 , 3.45
Paul Millsap , 36.55 , 20.6 , 45.4 , 4.13333333333
Kyle Lowry , 38.85 , 22.3 , 54 , 5.28333333333

LowPointCutoff, 280.0
Experiments run, 5000
Success,  1382
ProbabilityOfSuccess,  0.2764
