Name,ProjectedFP,SeasonLowFP,SeasonHighFP,Sigma
Markieff Morris , 21.63 , 7.2 , 29.6 , 3.73333333333
Damian Lillard , 40.4 , 27.1 , 50.9 , 3.96666666667
Gordon Hayward , 26.28 , 14.5 , 39.7 , 4.2
Chandler Parsons , 12.77 , 5.2 , 30.5 , 4.21666666667
Joakim Noah , 20.03 , 5 , 37.6 , 5.43333333333
Kemba Walker , 30.93 , 17.9 , 44.3 , 4.4
LaMarcus Aldridge , 29.55 , 16.7 , 50.3 , 5.6
Gerald Henderson , 7.83 , 4.2 , 14.4 , 1.7
James Harden , 43.29 , 17.7 , 66.7 , 8.16666666667

LowPointCutoff, 280.0
Experiments run, 5000
Success,  1
ProbabilityOfSuccess,  0.0002
