Name,ProjectedFP,SeasonLowFP,SeasonHighFP,Sigma
Danny Green , 16.76 , 12 , 23.6 , 1.93333333333
Damian Lillard , 39.9 , 27.1 , 50.9 , 3.96666666667
Mason Plumlee , 24.96 , 12.8 , 37.2 , 4.06666666667
Paul George , 41.46 , 20.1 , 58.9 , 6.46666666667
Dirk Nowitzki , 29.5 , 17.5 , 43.7 , 4.36666666667
Jae Crowder , 25.88 , 17.3 , 38 , 3.45
Jared Sullinger , 27.51 , 14.1 , 39.1 , 4.16666666667
T.J. McConnell , 22.92 , 11.4 , 34.8 , 3.9
James Harden , 45.85 , 31.9 , 66.7 , 5.8

LowPointCutoff, 275.0
Experiments run, 5000
Success,  2470
ProbabilityOfSuccess,  0.494
