Name,ProjectedFP,SeasonLowFP,SeasonHighFP,Sigma
Thaddeus Young , 28.41 , 16.4 , 47.5 , 5.18333333333
Reggie Jackson , 33.61 , 23.3 , 55.5 , 5.36666666667
Robin Lopez , 19.91 , 10.5 , 35.6 , 4.18333333333
Andre Iguodala , 23.09 , 13.5 , 34.2 , 3.45
Eric Gordon , 27.28 , 16.4 , 36.1 , 3.28333333333
LeBron James , 46.86 , 30.9 , 59.9 , 4.83333333333
Giannis Antetokounmpo , 31.06 , 19.6 , 40.8 , 3.53333333333
Kevin Love , 35.82 , 22.2 , 51.8 , 4.93333333333
Jarrett Jack , 30.11 , 15.2 , 48.3 , 5.51666666667

LowPointCutoff, 280.0
Experiments run, 5000
Success,  1959
ProbabilityOfSuccess,  0.3918
