Name,ProjectedFP,SeasonLowFP,SeasonHighFP,Sigma
Marco Belinelli , 17.46 , 8 , 26.6 , 3.1
Chris Paul , 31.71 , 22.1 , 45.1 , 3.83333333333
Rajon Rondo , 35.92 , 18.2 , 56 , 6.3
Justise Winslow , 15.76 , 5.8 , 24.1 , 3.05
Kosta Koufos , 20.11 , 8.6 , 29.4 , 3.46666666667
Chris Bosh , 34.53 , 19.4 , 45.6 , 4.36666666667
Kevin Love , 35.5 , 22.2 , 51.8 , 4.93333333333
Paul Pierce , 13.69 , 2.9 , 24.1 , 3.53333333333
Blake Griffin , 44.75 , 22.6 , 61.1 , 6.41666666667

LowPointCutoff, 280.0
Experiments run, 5000
Success,  54
ProbabilityOfSuccess,  0.0108
