Name,ProjectedFP,SeasonLowFP,SeasonHighFP,Sigma
Andre Drummond , 47.07 , 33.4 , 70.4 , 6.16666666667
Thaddeus Young , 28.41 , 16.4 , 47.5 , 5.18333333333
Andre Iguodala , 23.09 , 13.5 , 34.2 , 3.45
Eric Gordon , 27.28 , 16.4 , 36.1 , 3.28333333333
Otto Porter , 25.49 , 15.7 , 36 , 3.38333333333
Marvin Williams , 25.17 , 15.8 , 35.4 , 3.26666666667
Ricky Rubio , 34.37 , 20.7 , 52.4 , 5.28333333333
Stephen Curry , 50.29 , 33.7 , 77.3 , 7.26666666667
Jeremy Lamb , 21.5 , 6.8 , 32.3 , 4.25

LowPointCutoff, 280.0
Experiments run, 5000
Success,  2841
ProbabilityOfSuccess,  0.5682
