pos,name,gameDate,team,opp,salary,fppg,fpmax,fpmin,floor,ceil,average
SF,Justin Anderson,11/30/2015,DAL,SAC,3500,5.74,15.7,0.2,0.32,11.15,5.735
SG,Justin Holiday,11/30/2015,ATL,OKC,3500,8.4,19.2,1.2,3.39,13.41,8.4
SF,Justise Winslow,11/30/2015,MIA,BOS,3800,15.83,24.1,5.8,10.95,20.72,15.835
SF,K.J. McDaniels,11/30/2015,HOU,DET,3500,5.78,10,1.2,2.61,8.94,5.775
SF,Kawhi Leonard,11/30/2015,SAS,CHI,9100,40.21,58.4,31.5,32.48,47.93,40.205
C,Kelly Olynyk,11/30/2015,BOS,MIA,3800,15.68,40.4,5.4,6.64,24.72,15.68
PF,Kenneth Faried,11/30/2015,DEN,MIL,6300,25.97,43.5,10.4,16.38,35.56,25.97
SG,Kent Bazemore,11/30/2015,ATL,OKC,5100,22.98,38.3,5.9,14.41,31.56,22.985
SG,Kentavious Caldwell-Pope,11/30/2015,DET,HOU,4800,21.73,32.9,14.2,16.61,26.84,21.725
SF,Kevin Durant,11/30/2015,OKC,ATL,10500,44.92,64.4,28.2,33.13,56.7,44.915
SF,Khris Middleton,11/30/2015,MIL,DEN,5600,24.58,37,8.4,16.53,32.62,24.575
SG,Kirk Hinrich,11/30/2015,CHI,SAS,3700,13.56,26.4,1.5,5.34,21.77,13.555
SG,Klay Thompson,11/30/2015,GSW,UTA,5900,24.41,36.1,13.4,17.97,30.85,24.41
C,Kosta Koufos,11/30/2015,SAC,DAL,4500,21.96,33.6,8.6,15.27,28.64,21.955
SF,Kostas Papanikolaou,11/30/2015,DEN,MIL,3500,4.56,13.7,-1,-0.37,9.49,4.56
SF,Kyle Anderson,11/30/2015,SAS,CHI,3500,9.15,29.9,-1,1.81,16.49,9.15
SG,Kyle Korver,11/30/2015,ATL,OKC,4500,19.02,45.9,8.9,10.06,27.97,19.015
SF,Kyle Singler,11/30/2015,OKC,ATL,3500,5.76,12.6,-1,1.4,10.12,5.76
SG,Lamar Patterson,11/30/2015,ATL,OKC,3500,10.74,22.7,3.2,5.15,16.33,10.74
PF,LaMarcus Aldridge,11/30/2015,SAS,CHI,7400,29.23,50.3,15.3,20.24,38.23,29.235
SG,Lance Stephenson,11/30/2015,LAC,POR,3600,11.09,22.7,-1,3.78,18.41,11.095
SG,Leandro Barbosa,11/30/2015,GSW,UTA,3800,13.29,26.6,4.5,7.8,18.77,13.285
SF,Luc Richard Mbah a Moute,11/30/2015,LAC,POR,3500,6.44,16.1,1.5,1.76,11.13,6.445
SF,Luis Montero,11/30/2015,POR,LAC,3500,1.6,3,0.2,0.2,3,1.6
SF,Luol Deng,11/30/2015,MIA,BOS,5000,18.91,30.8,9.4,12.36,25.46,18.91
SG,Manu Ginobili,11/30/2015,SAS,CHI,4700,21.33,30.1,9.5,15.51,27.16,21.335
SG,Marco Belinelli,11/30/2015,SAC,DAL,3800,18.26,26.6,6.2,11.81,24.72,18.265
SF,Marcus Morris,11/30/2015,DET,HOU,5900,25.84,38.3,8.5,17.31,34.37,25.84
PG,Marcus Smart,11/30/2015,BOS,MIA,5300,19.21,32.9,9.3,10.58,27.85,19.215
SG,Marcus Thornton,11/30/2015,HOU,DET,3900,18.15,45.1,3.5,7.07,29.24,18.155
PF,Marreese Speights,11/30/2015,GSW,UTA,3600,10.71,22.3,2.4,4.59,16.83,10.71
C,Mason Plumlee,11/30/2015,POR,LAC,6000,26.71,40.2,12.8,18.34,35.07,26.705
C,Matt Bonner,11/30/2015,SAS,CHI,3500,1.8,3.2,1,0.81,2.79,1.8
C,Meyers Leonard,11/30/2015,POR,LAC,4400,17.17,28.1,4.6,9.84,24.5,17.17
PG,Michael Carter-Williams,11/30/2015,MIL,DEN,5900,20.61,39.7,6.5,9.17,32.05,20.61
SF,Mike Miller,11/30/2015,DEN,MIL,3500,6.83,12.2,1.4,2.87,10.78,6.825
PF,Mike Muscala,11/30/2015,ATL,OKC,3700,10.64,24.2,0.2,5,16.27,10.635
SF,Mike Scott,11/30/2015,ATL,OKC,3600,9.38,20.9,4.7,4.96,13.79,9.375
C,Miles Plumlee,11/30/2015,MIL,DEN,3500,5.39,20.6,0.2,-0.61,11.39,5.39
