Position,FPPG,Salary,Team,MIN,PTS,FGM,FGA,REB,1,2,3,4,5
SG,Kirk Hinrich,3700,CHI,13.7,4.3,1.6,3.5,0.9,24,4.4,10.3,8.7,7.8
PF,Noah Vonleh,3500,POR,13.7,3.6,1.5,3.4,3.7,25.9,7.1,12.2,10.7,7
SG,Marcus Thornton,3800,HOU,13.5,6.2,2.3,5.5,2.2,29.7,7.7,16.2,13.9,11.7
PF,David West,3600,SA,13.2,3.6,1.3,3,2.8,23.9,5.8,10.7,9.4,6.6
SF,Chase Budinger,3500,IND,12.9,3.8,1.3,3.3,1.7,23,5,10.1,8.8,7.1
PG,Shabazz Napier,3500,ORL,12.8,4,1.5,3.9,1,23.2,4.9,10.4,8.9,7.9
SF,Wesley Johnson,3500,LAC,12.7,4.4,1.6,3.9,1.6,24.2,5.5,11.5,9.9,8.3
PF,Derrick Williams,3500,NY,12.3,5.4,1.9,4.4,1.6,25.6,6,13.3,11.4,9.8
SF,Tayshaun Prince,3500,MIN,12.2,3.8,1.5,3.6,1.9,23,5.5,10.8,9.3,7.4
C,Kyle O'Quinn,3500,NY,11,3.7,1.5,3.3,3.1,22.6,6.4,11.6,10.1,7
C,Jeff Withey,3500,UTA,10.5,3.2,1.3,2.6,2.9,20.5,5.5,10,8.7,5.8
C,Anderson Varejao,3500,CLE,8.6,2.7,1.1,2.2,2.1,16.7,4.3,8.1,7,4.9
C,Miles Plumlee,3500,MIL,8.6,2,0.7,1.6,2.3,15.2,3.9,6.6,5.9,3.6
SG,Gerald Henderson,3500,POR,8.4,3.7,1.5,3.4,1,18,4.4,9.6,8.1,7.1
C,Cole Aldrich,3500,LAC,7.2,2.2,0.9,1.7,1.9,13.9,3.6,6.7,5.8,3.9
SG,Joseph Young,3500,IND,5.3,1.7,0.6,1.7,0.6,9.9,2.3,4.6,4,3.4
SG,Rashad Vaughn,3500,MIL,4.8,1.9,0.7,1.5,0.7,9.6,2.2,4.8,4.1,3.4
C,Cristiano Felicio,3500,CHI,4.8,1.3,0.5,1,0.7,8.3,1.7,3.5,3,2.3
PF,Andrew Nicholson,4000,ORL,3.9,1.4,0.6,1.4,0.9,8.2,2.3,4.3,3.7,2.8
PG,Andre Miller,3800,MIN,3.8,1.3,0.5,1.1,0.4,7.1,1.5,3.3,2.8,2.4
PF,Jason Smith,3500,ORL,3.7,1.2,0.5,1.2,0.7,7.3,1.9,3.6,3.1,2.4
PF,Montrezl Harrell,3500,HOU,3,1.2,0.5,,0.6,5.3,0.6,2.3,1.8,1.2
