option,playerName,fd_position,fd_salary,projected_fdfp,Actual,Difference
1,Kyle Lowry,PG,"$8,000 ",35.05,40.6,
1, Greivis Vasquez,PG,"$4,200 ",22.35,30.9,
1, DeMar DeRozan,SG,"$7,600 ",35.37,21.8,
1, Giannis Antetokounmpo,SG,"$7,000 ",32.37,28.9,
1, Carmelo Anthony,SF,"$9,400 ",40.18,39.2,
1, Khris Middleton,SF,"$5,800 ",29.99,23.2,
1, Julius Randle,PF,"$5,900 ",37.68,29.6,
1, Kristaps Porzingis,PF,"$5,400 ",24.33,29,
1, Jonas Valanciunas,C,"$6,300 ",29.26,28.9,
,,,Total,286.58,272.1,
,,,,,,
option,playerName,fd_position,fd_salary,projected_fdfp,Actual,Difference
2, Kyle Lowry,PG,"$8,000 ",33,40.6,
2, Jerryd Bayless,PG,"$3,700 ",21,31.4,
2, DeMar DeRozan,SG,"$7,600 ",33.3,21.8,
2, Giannis Antetokounmpo,SG,"$7,000 ",31.08,28.9,
2, Carmelo Anthony,SF,"$9,400 ",36.75,39.2,
2, Khris Middleton,SF,"$5,800 ",28.8,23.2,
2, Julius Randle,PF,"$5,900 ",35.65,29.6,
2, Jared Sullinger,PF,"$5,200 ",24.48,25.2,
2, Al Jefferson,C,"$7,300 ",29.68,13,
,,,Total,273.74,252.9,
,,,,,,
option,playerName,fd_position,fd_salary,projected_fdfp,Actual,Difference
3,Kyle Lowry,PG,"$8,000 ",30.58,40.6,
3, Jerryd Bayless,PG,"$3,700 ",16.96,31.4,
3, DeMar DeRozan,SG,"$7,600 ",32.63,21.8,
3, Giannis Antetokounmpo,SG,"$7,000 ",29.69,28.9,
3, Carmelo Anthony,SF,"$9,400 ",37.61,39.2,
3, Khris Middleton,SF,"$5,800 ",27.09,23.2,
3, Julius Randle,PF,"$5,900 ",34.05,29.6,
3, Jared Sullinger,PF,"$5,200 ",19.45,25.2,
3, Al Jefferson,C,"$7,300 ",26.16,13,
,,,Total,254.22,252.9,
