option,playerName,fd_position,fd_salary,projected_fdfp,Actual,Difference
1, Blake Griffin,PF,"$10,200 ",37.29,22.6,
1, Chris Paul,PG,"$9,100 ",43.2,,
1, Draymond Green,PF,"$7,800 ",30.38,56.6,
1, Elijah Millsap,SF,"$3,500 ",0,2.4,
1, Festus Ezeli,C,"$4,300 ",22.32,16.9,
1, Klay Thompson,SG,"$6,800 ",31,20.4,
1, Lance Stephenson,SG,"$3,500 ",16.28,22,
1, Paul Pierce,SF,"$3,700 ",18.72,13.2,
1,Stephen Curry,PG,"$10,700 ",40.96,59,
,,,Total,240.15,,
,,,,,,
option,playerName,fd_position,fd_salary,projected_fdfp,Actual,Difference
2,tephen Curry,PG,"$10,700 ",41.37,59,
2, Chris Paul,PG,"$9,100 ",44.56,,
2, Klay Thompson,SG,"$6,800 ",29.94,20.4,
2, Jamal Crawford,SG,"$4,400 ",12.01,23.2,
2, Harrison Barnes,SF,"$5,100 ",19.25,23.3,
2, Paul Pierce,SF,"$3,700 ",13.9,13.2,
2, Josh McRoberts,PF,"$3,600 ",-9.98,8.8,
2, Draymond Green,PF,"$7,800 ",27.08,56.6,
2, DeAndre Jordan,C,"$8,000 ",34.27,24.3,
,,,Total,212.4,,
,,,,,,
option,playerName,fd_position,fd_salary,projected_fdfp,Actual,Difference
3, Stephen Curry,PG,"$10,700 ",37.56,59,
3, Chris Paul,PG,"$9,100 ",44.1,,
3, Klay Thompson,SG,"$6,800 ",28.43,20.4,
3, Lance Stephenson,SG,"$3,500 ",16.62,22,
3, Elijah Millsap,SF,"$3,500 ",0,2.4,
3, Paul Pierce,SF,"$3,700 ",19.11,13.2,
3, Draymond Green,PF,"$7,800 ",27.86,56.6,
3, Blake Griffin,PF,"$10,200 ",38.06,22.6,
3, Festus Ezeli,C,"$4,300 ",20.47,16.9,
,,,Total,232.21,,
