option,playerName,fd_position,fd_salary,projected_fdfp,Actual,Difference
1,T.J. McConnell,PG,"$4,200 ",31.13,34.1,
1, Jerryd Bayless,PG,"$3,500 ",17.83,41.2,
1, Klay Thompson,SG,"$6,800 ",31.19,25.1,
1, James Harden,SG,"$9,800 ",50.11,48.8,
1, Gordon Hayward,SF,"$6,600 ",33.78,31.2,
1, Corey Brewer,SF,"$4,100 ",17.73,3,
1, Paul Millsap,PF,"$7,900 ",33.46,45.4,
1, Anthony Davis,PF,"$10,600 ",48.91,40.2,
1,Marcin Gortat,C,"$6,000 ",25.86,24.5,
,,,Total,290,293.5,
,,,,,,
option,playerName,fd_position,fd_salary,projected_fdfp,Actual,Difference
2, T.J. McConnell,PG,"$4,200 ",31.13,34.1,
2, Jerryd Bayless,PG,"$3,500 ",17.83,41.2,
2, Klay Thompson,SG,"$6,800 ",31.19,25.1,
2, James Harden,SG,"$9,800 ",50.11,48.8,
2, Khris Middleton,SF,"$5,700 ",26.09,36.3,
2, Gordon Hayward,SF,"$6,600 ",33.78,31.2,
2, Anthony Davis,PF,"$10,600 ",48.91,40.2,
2,Thaddeus Young,PF,"$5,600 ",24.1,36.6,
2,Tim Duncan,C,"$7,000 ",26.51,20.6,
,,,Total,289.65,314.1,
,,,,,,
option,playerName,fd_position,fd_salary,projected_fdfp,Actual,Difference
3,Ty Lawson,PG,"$6,800 ",23.28,17.6,
3, Chris Paul,PG,"$9,400 ",41.56,0,
3, Giannis Antetokounmpo,SG,"$7,000 ",29.69,21.2,
3, Danny Green,SG,"$4,200 ",17.11,23.6,
3, Kawhi Leonard,SF,"$8,200 ",34.74,34.8,
3, Trevor Ariza,SF,"$5,800 ",25.11,22.9,
3, Pau Gasol,PF,"$7,600 ",32.72,45.8,
3, Zach Randolph,PF,"$6,800 ",29.67,23.8,
3, Tiago Splitter,C,"$4,000 ",19.91,0,
,,,Total,253.79,189.7,
