name,pos,team,opp,def_pos_Pts_48,projected_minutes,projected_FD_FP,FD_salary
"PF","Quincy Acy","SAC","ORL","0.865777","2.7","1.97","3500"
"SG","Arron Afflalo","NY","HOU","0.79516","30.8","19.59","4600"
"C","Furkan Aldemir","PHI","MIA","0.905875","0","0","0"
"PF","LaMarcus Aldridge","SA","MEM","0.971699","32.4","33.9","7700"
"PF","Lavoy Allen","IND","MIL","0.983385","19.7","14.79","3800"
"PF","Louis Amundson","NY","HOU","1.0296","3.6","2.75","3500"
"C","Chris Andersen","MIA","PHI","1.05503","3","2.4","3500"
"SF","Kyle Anderson","SA","MEM","0.766955","1.8","1.21","3500"
"SG","James Anderson","SAC","ORL","0.709618","3.5","2.44","3500"
"SG","Alan Anderson","WSH","DET","0.797784","0","0","3500"
"SG","Giannis Antetokounmpo","MIL","IND","0.802273","35.9","29.66","7200"
"SF","Carmelo Anthony","NY","HOU","0.880545","36.3","31.85","9600"
"PG","Jerryd Bayless","MIL","IND","0.744358","26","20.23","4300"
"SG","Kent Bazemore","ATL","CLE","0.786476","0","0","5100"
"SG","Marco Belinelli","SAC","ORL","0.709618","25.2","18.16","3800"
"C","DeJuan Blair","WSH","DET","0.827026","0.1","0","3500"
"C","Matt Bonner","SA","MEM","0.847372","1.4","0.66","3500"
"PF","Chris Bosh","MIA","PHI","1.04796","34.3","34.65","8100"
"SF","Chase Budinger","IND","MIL","0.838108","4.4","2.62","3700"
"SF","Caron Butler","SAC","ORL","0.73901","2.1","1.31","3500"
"PG","Jose Calderon","NY","HOU","0.945176","26.9","17.62","4400"
"PG","Isaiah Canaan","PHI","MIA","0.751174","18.9","13.32","4000"
"PG","Michael Carter-Williams","MIL","IND","0.744358","32.6","30.2","6400"
"SF","Omri Casspi","SAC","ORL","0.73901","32.4","26.39","4200"
"C","Willie Cauley-Stein","SAC","ORL","0.97908","16.8","12.44","4000"
"PF","Rakeem Christmas","IND","MIL","0.983385","0","0","3500"
"PG","Darren Collison","SAC","ORL","0.979878","23.4","21.16","5200"
"SF","Chris Copeland","MIL","IND","0.713576","3.5","2","3500"
"C","DeMarcus Cousins","SAC","ORL","0.97908","35.4","39.53","10600"
"SF","Robert Covington","PHI","MIA","0.823523","22.6","18.88","5500"
"SG","Jared Cunningham","CLE","ATL","0.805122","2.3","1.44","3500"
