name,pos,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary
"Russell Westbrook","PG","PG","OKC","HOU","36.2","43.77","11200"
"Chris Paul","PG","PG","LAC","PHX","35.6","42.98","9300"
"Kevin Durant","F","SF","OKC","HOU","36.3","41.34","10400"
"Damian Lillard","PG","PG","POR","MIN","35.9","38.39","8900"
"James Harden","GF","SG","HOU","OKC","36.9","40.77","10400"
"LeBron James","F","SF","CLE","PHI","35.8","40.4","10600"
"Stephen Curry","G","PG","GS","MEM","37.6","37.79","11000"
"Klay Thompson","GF","SG","GS","MEM","37.5","33.51","6700"
"Kevin Love","FC","PF","CLE","PHI","35.1","38.67","7600"
"LaMarcus Aldridge","FC","PF","SA","NY","35.3","37.09","8300"
"Kawhi Leonard","GF","SF","SA","NY","34.2","37.11","8000"
"Ty Lawson","PG","PG","HOU","OKC","35.6","35.25","7100"
"Brook Lopez","C","C","BKN","MIL","32","33.25","7700"
"Marc Gasol","C","C","MEM","GS","34.1","38.66","7700"
"Brandon Knight","G","SG","PHX","LAC","34.7","34.49","7000"
"Eric Bledsoe","G","PG","PHX","LAC","36.6","36.7","7900"
"Carmelo Anthony","F","SF","NY","SA","34","27.8","9700"
"Greg Monroe","FC","C","MIL","BKN","32.6","33.45","8300"
"J.J. Redick","SG","SG","LAC","PHX","32.6","23.67","4900"
"Mike Conley","PG","PG","MEM","GS","33.8","27.72","6600"
"Dwight Howard","FC","C","HOU","OKC","33.2","33.85","8200"
"Kevin Martin","GF","SG","MIN","POR","29","23.78","5100"
"Markieff Morris","FC","PF","PHX","LAC","31","27.71","5900"
"Tim Duncan","FC","C","SA","NY","30.7","33.56","7200"
"C.J. McCollum","G","SG","POR","MIN","33.4","23.74","6400"
"Andrew Wiggins","GF","SG","MIN","POR","35","24.58","6900"
"Isaiah Canaan","PG","PG","PHI","CLE","34.3","24.68","5200"
"Khris Middleton","GF","SG","MIL","BKN","33.9","25.95","5900"
"Serge Ibaka","FC","PF","OKC","HOU","33.9","30.51","6900"
"Jahlil Okafor","C","C","PHI","CLE","35.4","27.31","5700"
"Mo Williams","G","PG","CLE","PHI","30.1","25.76","5500"
"Jarrett Jack","G","PG","BKN","MIL","31.6","25.64","6300"
"J.R. Smith","GF","SG","CLE","PHI","30","23.66","5400"
"Zach Randolph","FC","PF","MEM","GS","32.7","26.72","6800"
"Michael Carter-Williams","PG","PG","MIL","BKN","32.7","30.89","7000"
"Danny Green","GF","SG","SA","NY","31.8","26.72","4100"
"Joe Johnson","GF","SF","BKN","MIL","32","22.33","6200"
"Thaddeus Young","F","PF","BKN","MIL","30.5","22.65","5500"
"Tony Parker","PG","PG","SA","NY","26.8","22.48","5300"
"Jamal Crawford","GF","SG","LAC","PHX","21.4","18.52","4900"
"Ricky Rubio","PG","PG","MIN","POR","32.4","28.41","7700"
"Giannis Antetokounmpo","F","SF","MIL","BKN","34.3","27.24","6500"
"Corey Brewer","GF","SF","HOU","OKC","26.2","22.23","4100"
"DeAndre Jordan","C","C","LAC","PHX","32.6","32","8100"
"Trevor Ariza","GF","SF","HOU","OKC","32.6","23.3","5500"
"Arron Afflalo","GF","SG","NY","SA","30.4","20.44","4600"
"Draymond Green","F","PF","GS","MEM","32.7","27.6","7800"
"David West","PF","PF","SA","NY","26.6","24.95","4500"
"P.J. Tucker","GF","SF","PHX","LAC","31.1","22.01","4400"
"Terrence Jones","F","PF","HOU","OKC","28.4","24.78","5700"
"Meyers Leonard","FC","PF","POR","MIN","30.2","25.42","4600"
"Nerlens Noel","FC","PF","PHI","CLE","34.9","27.74","7500"
