name,pos,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary
"Stephen Curry","G","PG","GS","NO","36.8","40.83","10400"
"Rudy Gay","F","SF","SAC","LAC","36.4","40.21","7900"
"Damian Lillard","PG","PG","POR","PHX","37.3","35.87","9100"
"Anthony Davis","FC","PF","NO","GS","36.8","42.24","11100"
"Chris Paul","PG","PG","LAC","SAC","35.9","42.15","9400"
"Gordon Hayward","GF","SF","UTAH","IND","36.2","35.62","7200"
"DeMarcus Cousins","FC","PF","SAC","LAC","36","40.44","10900"
"George Hill","G","PG","IND","UTAH","34","31.97","6500"
"Carmelo Anthony","F","SF","NY","WSH","33.9","31.61","9300"
"Derrick Favors","FC","PF","UTAH","IND","32.7","33.64","7400"
"Klay Thompson","GF","SG","GS","NO","35","30.01","7100"
"Marc Gasol","C","C","MEM","BKN","32.1","34.77","8000"
"Brook Lopez","C","C","BKN","MEM","34.3","32.92","7900"
"Bradley Beal","SG","SG","WSH","NY","35","27.13","7200"
"Zach Randolph","FC","PF","MEM","BKN","31.5","32.63","6800"
"Paul George","F","PF","IND","UTAH","35","29.98","8600"
"Darren Collison","PG","PG","SAC","LAC","32.8","28.02","5800"
"Eric Gordon","SG","SG","NO","GS","34.9","26.6","5300"
"Eric Bledsoe","G","PG","PHX","POR","34","28.27","7100"
"C.J. McCollum","G","SG","POR","PHX","33.8","25.1","6000"
"J.J. Redick","SG","SG","LAC","SAC","29.7","22.49","4800"
"Mike Conley","PG","PG","MEM","BKN","32.5","27.74","6400"
"Ryan Anderson","FC","PF","NO","GS","31.9","24.44","5600"
"Brandon Knight","G","SG","PHX","POR","33","26.79","6400"
"John Wall","PG","PG","WSH","NY","34.6","32.99","9600"
"Monta Ellis","G","SG","IND","UTAH","33.7","25.73","6300"
"DeAndre Jordan","C","C","LAC","SAC","34.5","35.93","7700"
"Markieff Morris","FC","PF","PHX","POR","30.5","25.13","5800"
"Thaddeus Young","F","PF","BKN","MEM","33.9","23.65","5500"
"Rodney Stuckey","G","PG","IND","UTAH","28.1","22.17","4900"
"Joe Johnson","GF","SF","BKN","MEM","33.1","21.98","6800"
"C.J. Miles","GF","SF","IND","UTAH","27.5","20.52","4900"
"Marcin Gortat","C","C","WSH","NY","29.2","27.33","6400"
"Draymond Green","F","PF","GS","NO","32.9","29.73","7800"
"Alec Burks","G","SG","UTAH","IND","30.4","21.18","5600"
"Langston Galloway","G","PG","NY","WSH","28","19.67","4600"
"Sasha Vujacic","SG","SG","NY","WSH","29.6","21.71","3700"
"Jamal Crawford","GF","SG","LAC","SAC","20.2","17.73","5100"
"Mason Plumlee","FC","C","POR","PHX","30.1","26.95","5000"
"Meyers Leonard","FC","PF","POR","PHX","29.5","23.66","5000"
"Nene Hilario","FC","PF","WSH","NY","26.8","22.4","4200"
"Jeff Green","GF","SF","MEM","BKN","27.1","19.57","4500"
"Jarrett Jack","G","PG","BKN","MEM","30.2","22.21","6200"
"Ben McLemore","SG","SG","SAC","LAC","27.5","18.51","4500"
"Kris Humphries","FC","PF","WSH","NY","25.9","23.41","4400"
"T.J. Warren","SF","SF","PHX","POR","25.4","17.75","3900"
"Harrison Barnes","F","SF","GS","NO","30.2","19.67","4600"
"Marco Belinelli","GF","SG","SAC","LAC","22.4","16.69","3900"
"Jose Calderon","PG","PG","NY","WSH","28.8","19.46","4400"
"Rajon Rondo","PG","PG","SAC","LAC","29.9","26.24","5100"
"Andrea Bargnani","FC","PF","BKN","MEM","22.7","19.24","4600"
"Paul Pierce","F","SF","LAC","SAC","22.3","18.42","4400"
"Otto Porter","SF","SF","WSH","NY","32.3","22.56","5400"
"Kristaps Porzingis","PF","PF","NY","WSH","26","18.85","4900"
"Bojan Bogdanovic","GF","SF","BKN","MEM","27.7","15.62","4000"
"Robin Lopez","C","C","NY","WSH","31","25.11","4400"
"Trey Burke","PG","PG","UTAH","IND","25.3","18.87","5400"
"Jordan Hill","FC","PF","IND","UTAH","19.9","19.18","4500"
"Jrue Holiday","PG","PG","NO","GS","20.4","17.84","5800"
"Tyson Chandler","C","C","PHX","POR","30.9","26.73","5900"
"Al-Farouq Aminu","F","SF","POR","PHX","28.7","22.82","5200"
"Raul Neto","PG","PG","UTAH","IND","27.1","17.65","3500"
"Festus Ezeli","C","C","GS","NO","25.8","22.84","3500"
"Courtney Lee","GF","SG","MEM","BKN","28.6","16.67","3800"
"Rodney Hood","GF","SG","UTAH","IND","25.7","14.56","4300"
"Andre Iguodala","GF","SF","GS","NO","27.4","20.83","4300"
"Jerian Grant","PG","PG","NY","WSH","28","20","4500"
"Chris Kaman","FC","C","POR","PHX","17.5","17.13","4200"
"Rudy Gobert","C","C","UTAH","IND","34.2","26.31","8100"
"Josh Smith","F","PF","LAC","SAC","17.7","17.47","4700"
"Omri Casspi","SF","SF","SAC","LAC","19.7","14.87","3900"
"Beno Udrih","PG","PG","MEM","BKN","20.9","16.12","4000"
"P.J. Tucker","GF","SF","PHX","POR","29.8","18.61","4700"
"Kosta Koufos","FC","C","SAC","LAC","23.1","19.69","3700"
"Gary Neal","G","SG","WSH","NY","18.8","12.86","3800"
"Myles Turner","C","C","IND","UTAH","21.7","15.94","3500"
