name,pos,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary
"Tony Allen","GF","SF","MEM","BKN","22.3","15.87","4800"
"Dante Cunningham","F","SF","NO","GS","26.1","15.01","4100"
"Matt Barnes","SF","SF","MEM","BKN","22.2","13.91","3600"
"Derrick Williams","F","SF","NY","WSH","18.9","12.38","4600"
"Leandro Barbosa","G","SG","GS","NO","16.1","12.01","3900"
"Ed Davis","FC","PF","POR","PHX","21.6","17.68","5300"
"Brandan Wright","FC","C","MEM","BKN","21.1","16.71","4000"
"Jared Dudley","GF","SF","WSH","NY","21","14.56","4000"
"Lance Stephenson","GF","SF","LAC","SAC","19","15.64","3500"
"Ian Mahinmi","C","C","IND","UTAH","28.1","18.88","5000"
"Willie Cauley-Stein","C","C","SAC","LAC","18.3","11.6","5000"
"Kyle O'Quinn","FC","PF","NY","WSH","20.7","15.86","4800"
"Ben Gordon","SG","SF","GS","NO","15.2","10.2","0"
"Mirza Teletovic","F","PF","PHX","POR","16.9","12.58","3700"
"Austin Rivers","G","SG","LAC","SAC","15.9","11.01","4000"
"Wesley Johnson","GF","SF","LAC","SAC","15.6","11.19","4700"
"Marreese Speights","FC","C","GS","NO","12.2","11.95","3900"
"Ramon Sessions","G","PG","WSH","NY","17.4","12.33","4100"
"Wayne Ellington","SG","SG","BKN","MEM","14.8","9.71","3900"
"Shaun Livingston","G","PG","GS","NO","19.6","12.79","4000"
"Jason Thompson","FC","C","GS","NO","23.5","17.16","4800"
"Thomas Robinson","PF","C","BKN","MEM","14.6","11.11","4500"
"Trevor Booker","PF","PF","UTAH","IND","16.5","12.69","4300"
"Alexis Ajinca","FC","C","NO","GS","14.5","11.6","3500"
"Vince Carter","GF","SF","MEM","BKN","15.2","9.24","3500"
"Alex Len","C","C","PHX","POR","19.1","14.13","4100"
"Cole Aldrich","C","C","LAC","SAC","15.9","14.07","3600"
"Maurice Harkless","SF","SF","POR","PHX","19","11.13","3500"
"Allen Crabbe","SG","SG","POR","PHX","15.5","8.79","3900"
"Markel Brown","SG","SG","BKN","MEM","18.4","9.09","3500"
"Kendrick Perkins","C","C","NO","GS","17.7","12.49","3500"
"Kevin Seraphin","FC","C","NY","WSH","15.7","10.93","3700"
"Joe Ingles","GF","SF","UTAH","IND","15.8","9.4","3500"
"Caron Butler","SF","SF","SAC","LAC","13.8","8.28","3500"
"Shane Larkin","PG","PG","BKN","MEM","17.9","11.41","4600"
"Devin Booker","SG","SG","PHX","POR","8.2","6.55","3600"
"Chuck Hayes","FC","C","LAC","SAC","10.7","7.11","0"
"Jeff Withey","C","C","UTAH","IND","9.2","6.39","3500"
"Trey Lyles","PF","PF","UTAH","IND","8.7","5.18","3500"
"Bryce Cotton","PG","PG","UTAH","IND","4.7","3.9","0"
"Solomon Hill","GF","SF","IND","UTAH","6.2","4.33","3800"
"Cleanthony Early","SF","SF","NY","WSH","5.9","3.77","3500"
"Cory Jefferson","PF","PF","BKN","MEM","4.8","3.8","0"
"Alonzo Gee","GF","SF","NO","GS","4.2","2.7","3500"
"Drew Gooden","FC","PF","WSH","NY","5","3.42","3800"
"Sean Kilpatrick","SG","SG","NO","GS","4.6","2.48","0"
"Lance Thomas","GF","PF","NY","WSH","5.4","2.89","3500"
"Jarnell Stokes","PF","PF","MEM","BKN","3.6","2.93","3500"
"Chris Johnson","F","SF","UTAH","IND","4.8","2.5","3500"
"Quincy Miller","SF","SF","BKN","MEM","4.3","2.56","0"
"David Stockton","PG","PG","SAC","LAC","3.9","2.5","0"
"Tim Frazier","PG","PG","POR","PHX","3.5","2.38","4000"
"Archie Goodwin","G","SG","PHX","POR","3","1.93","3600"
"Ronnie Price","G","PG","PHX","POR","4.3","2.85","3500"
"Jon Leuer","FC","PF","PHX","POR","3.2","2.39","3800"
"Donald Sloan","G","PG","BKN","MEM","4.2","2.11","3500"
"Lavoy Allen","FC","PF","IND","UTAH","3.7","2.75","3600"
"Luc Mbah a Moute","F","PF","LAC","SAC","2.4","1.93","3900"
"Rondae Hollis-Jefferson","SF","PF","BKN","MEM","3","1.98","3500"
"Guillermo Hernangomez","C","C","NY","WSH","2.5","1.68","0"
"Chase Budinger","GF","SF","IND","UTAH","2.8","1.78","4200"
"C.J. Wilcox","SG","SF","LAC","SAC","2","1.49","3500"
"Quincy Acy","F","PF","SAC","LAC","2.2","1.77","3600"
"Phil Pressey","PG","PG","POR","PHX","2.8","1.78","0"
"Luke Babbitt","SF","PF","NO","GS","3","1.53","3500"
"Kelly Oubre","F","SF","WSH","NY","2","1.21","3500"
"Martell Webster","GF","SF","WSH","NY","2.9","1.58","3500"
"Glenn Robinson III","GF","PF","IND","UTAH","3.2","1.8","3500"
"Noah Vonleh","PF","PF","POR","PHX","2.1","1.52","3500"
"JaMychal Green","PF","SF","MEM","BKN","2.6","1.99","3500"
"Russ Smith","PG","SG","MEM","BKN","1.8","1.46","3500"
"Elijah Millsap","GF","SG","UTAH","IND","2.9","1.71","3600"
"Branden Dawson","PF","PF","LAC","SAC","1.5","1.01","3500"
"Joseph Young","PG","SG","IND","UTAH","1.9","1.01","3500"
"Rakeem Christmas","PF","PF","IND","UTAH","1.8","1.33","3500"
"Pat Connaughton","GF","SG","POR","PHX","1.5","1.11","3500"
"Brandon Rush","SG","SG","GS","NO","1.7","0.91","3500"
"Louis Amundson","PF","C","NY","WSH","2.3","1.37","3500"
"Jordan Adams","SG","SG","MEM","BKN","1.6","0.89","3500"
"James Michael McAdoo","PF","PF","GS","NO","1.3","0.98","3500"
"Ian Clark","G","PG","GS","NO","1.4","0.84","3500"
"Garrett Temple","G","SG","WSH","NY","1.5","0.77","3900"
"Shayne Whittington","C","C","IND","UTAH","1.2","0.76","3500"
"Andrew Harrison","PG","PG","MEM","BKN","0.7","0.32","0"
"Jack Cooley","FC","PF","UTAH","IND","0.9","0.56","0"
"Dahntay Jones","GF","SF","BKN","MEM","0.7","0.22","0"
"Seth Curry","PG","PG","SAC","LAC","0.1","0","3500"
"Pablo Prigioni","G","PG","LAC","SAC","0.1","0","3500"
"Gerald Henderson","GF","SG","POR","PHX","0","0","5100"
"Juan Vaulet","SF","SF","BKN","MEM","0","0","0"
"Jarell Martin","PF","PF","MEM","BKN","0","0","3500"
"Sergey Karasev","GF","SF","BKN","MEM","0","0","3500"
"Kevon Looney","PF","PF","GS","NO","0","0","0"
"Chris Babb","SG","SG","GS","NO","0.1","0","0"
"Norris Cole","G","PG","NO","GS","0","0","3500"
"Omer Asik","FC","C","NO","GS","0","0","4500"
"Andrew Bogut","C","C","GS","NO","0","0","5400"
"Tyreke Evans","G","SF","NO","GS","0","0","0"
"Nate Robinson","G","PG","NO","GS","0","0","0"
"Quincy Pondexter","GF","SG","NO","GS","0","0","3900"
"Alan Anderson","GF","SF","WSH","NY","0","0","3500"
"Arron Afflalo","GF","SG","NY","WSH","0","0","4600"
"DeJuan Blair","FC","PF","WSH","NY","0.1","0","3800"
"Olivier Hanlan","PG","PG","UTAH","IND","0.1","0","0"
