name,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary,Actual,Difference
Andre Iguodala,SF,GS,DEN,30.2,24.08,4600,20.9,-3.18
Evan Turner,PG,BOS,WSH,29.9,25.47,5700,30.2,4.73
Isaiah Canaan,PG,PHI,CLE,25.5,17.07,4900,22,4.93
Andrea Bargnani,PF,BKN,LAL,21.4,18.22,3700,-1,-19.22
David Lee,PF,BOS,WSH,22.4,20.24,5000,6.6,-13.64
Jonas Valanciunas,C,TOR,ORL,28.4,24.33,6300,28.8,4.47
Jabari Parker,PF,MIL,NY,26.9,18.5,5900,7.7,-10.8
Roy Hibbert,C,LAL,BKN,25.4,21.15,5100,15.9,-5.25
Ramon Sessions,PG,WSH,BOS,24,19.5,4000,15.6,-3.9
Tiago Splitter,C,ATL,NO,21.4,18.82,4000,12,-6.82
Tim Hardaway Jr.,SG,ATL,NO,22.7,14.28,3900,0,-14.28
Tyson Chandler,C,PHX,DET,28.1,22.84,6000,17,-5.84
Kris Humphries,PF,WSH,BOS,24.1,20.71,3900,18.2,-2.51
Jason Smith,PF,ORL,TOR,23.8,18.14,3600,3.6,-14.54
Kent Bazemore,SF,ATL,NO,25.9,18.33,4800,28,9.67
Marcus Smart,PG,BOS,WSH,28,20.49,5800,0,-20.49
Nik Stauskas,SG,PHI,CLE,24.1,14.99,3900,19.6,4.61
Will Barton,SG,DEN,GS,21.4,16.91,5000,39.1,22.19
Patrick Patterson,PF,TOR,ORL,26,20.04,4000,7.6,-12.44
Cory Joseph,PG,TOR,ORL,23.4,17.7,3700,19.2,1.5
Lavoy Allen,PF,IND,MIA,24.4,19.68,3600,13,-6.68
Robin Lopez,C,NY,MIL,25.2,20.31,4300,15.4,-4.91
Jae Crowder,SF,BOS,WSH,24.2,15.47,4700,38,22.53
Jared Dudley,SF,WSH,BOS,25.3,16.71,3700,17.9,1.19
Omri Casspi,SF,SAC,HOU,22,15.5,3900,30.3,14.8
Kosta Koufos,PF,SAC,HOU,24.6,21.78,4200,17.4,-4.38
T.J. Warren,SF,PHX,DET,21.5,14.06,3800,10.6,-3.46
Matthew Dellavedova,SG,CLE,PHI,24.4,17.37,4200,13.7,-3.67
Richard Jefferson,SF,CLE,PHI,23.7,14.96,3500,19.2,4.24
Omer Asik,C,NO,ATL,26.3,20.31,4200,0,-20.31
Jerami Grant,SF,PHI,CLE,26.1,18.56,4100,19.8,1.24
Randy Foye,SG,DEN,GS,22.2,15.05,3500,4.6,-10.45
Amir Johnson,C,BOS,WSH,25.1,19.19,4900,10.2,-8.99
Luke Babbitt,SF,NO,ATL,24.6,14.17,3600,18.3,4.13
Markel Brown,SG,BKN,LAL,24.9,15.98,3500,0,-15.98
Terrence Ross,SG,TOR,ORL,21.5,13.41,3500,2,-11.41
Timofey Mozgov,C,CLE,PHI,24.3,19.63,4400,19.2,-0.43
Ryan Kelly,SF,LAL,BKN,24.1,15,4000,0,-15
Ben McLemore,SG,SAC,HOU,19.1,12.11,3700,24.8,12.69
Tyler Johnson,PG,MIA,IND,22.6,15.9,3800,11.2,-4.7
Solomon Hill,SF,IND,MIA,24.5,14.09,3500,0,-14.09
