name,pos,team,opp,projected_minutes,projected_FD_FP,FD_salary
"Dwight Howard","C","HOU","LAC","0","0","8300"
"Kris Humphries","PF","WSH","ATL","23.9","19.39","3900"
"Andre Iguodala","SF","GS","SAC","27.1","20.16","4600"
"Joe Ingles","SF","UTAH","MEM","19","11.1","3600"
"Damien Inglis","SF","MIL","BKN","2.6","1.78","3500"
"Jarrett Jack","PG","BKN","MIL","31.3","25.54","6100"
"Pierre Jackson","PG","PHI","ORL","2.1","1.66","0"
"Al Jefferson","C","CHA","SA","30.5","30.1","7500"
"John Jenkins","SG","DAL","NO","15.6","11.23","3600"
"Joe Johnson","SG","BKN","MIL","34","22.58","6100"
"Wesley Johnson","SF","LAC","HOU","9.1","5.82","4000"
"Chris Johnson","SG","UTAH","MEM","2.2","1.21","3500"
"Terrence Jones","PF","HOU","LAC","0","0","5700"
"DeAndre Jordan","C","LAC","HOU","35.1","34.17","8000"
"Frank Kaminsky","PF","CHA","SA","8.8","5.61","3500"
"Sergey Karasev","SF","BKN","MIL","0.2","0.1","3500"
"Sean Kilpatrick","SG","NO","DAL","2.3","1.36","0"
"Kyle Korver","SG","ATL","WSH","32.3","18.62","5200"
"Kosta Koufos","C","SAC","GS","25.7","23.11","4200"
"Jeremy Lamb","SG","CHA","SA","21.9","14.05","4300"
"Shane Larkin","PG","BKN","MIL","21.6","14.04","4100"
"Zach LaVine","SG","MIN","CHI","24","16.63","5400"
"Ty Lawson","PG","HOU","LAC","36.8","33.9","6800"
"Courtney Lee","SG","MEM","UTAH","30.3","16.18","4100"
"Kawhi Leonard","SF","SA","CHA","36.6","39.56","8200"
"Jeremy Lin","PG","CHA","SA","20.3","19.33","4800"
"Shaun Livingston","PG","GS","SAC","21.7","16.8","3600"
"Brook Lopez","C","BKN","MIL","33.1","33.71","7900"
"Trey Lyles","PF","UTAH","MEM","5.8","3.65","3500"
"Shelvin Mack","PG","ATL","WSH","2.5","1.64","3500"
"Roy Devyn Marble","SG","ORL","PHI","14.7","7.65","3500"
"Boban Marjanovic","C","SA","CHA","4.6","3.32","3500"
"Jarell Martin","PF","MEM","UTAH","0","0","3500"
"Kevin Martin","SG","MIN","CHI","30.1","23.04","5000"
"Wesley Matthews","SG","DAL","NO","27.4","20.56","5400"
"James Michael McAdoo","PF","GS","SAC","3","2.81","3500"
"Ray McCallum","PG","SA","CHA","18.9","13.97","3500"
"T.J. McConnell","PG","PHI","ORL","29.6","22.42","4200"
"K.J. McDaniels","SF","HOU","LAC","0.1","0","3500"
"Doug McDermott","SF","CHI","MIN","23.7","16.22","3800"
"JaVale McGee","C","DAL","NO","1.6","1.2","3700"
"Ben McLemore","SG","SAC","GS","19.9","12.05","3700"
"Khris Middleton","SF","MIL","BKN","33.2","25.1","5700"
"Andre Miller","PG","MIN","CHI","15.3","11.81","3500"
"Patrick Mills","PG","SA","CHA","22.8","16.54","3500"
"Paul Millsap","PF","ATL","WSH","34.9","36.85","7900"
"Elijah Millsap","SF","UTAH","MEM","2","1.16","3500"
"Nikola Mirotic","SF","CHI","MIN","30.5","30.72","5900"
"Greg Monroe","C","MIL","BKN","34.8","35.78","8300"
"E'Twaun Moore","PG","CHI","MIN","2.7","1.41","3500"
"Donatas Motiejunas","PF","HOU","LAC","0","0","6400"
"Shabazz Muhammad","SF","MIN","CHI","19.1","14.53","4100"
"Mike Muscala","PF","ATL","WSH","3.3","2.61","3500"
"Shabazz Napier","PG","ORL","PHI","12.8","9.15","3500"
"Gary Neal","SG","WSH","ATL","16.3","11.76","3500"
"Raul Neto","PG","UTAH","MEM","16","11.13","3500"
"Andrew Nicholson","PF","ORL","PHI","2","1.65","3500"
"Joakim Noah","C","CHI","MIN","23.4","18.43","4200"
"Nerlens Noel","PF","PHI","ORL","35.4","30.97","7500"
"Dirk Nowitzki","PF","DAL","NO","28.9","24.43","6500"
"Jahlil Okafor","C","PHI","ORL","33.4","26.86","5800"
"Victor Oladipo","SG","ORL","PHI","38.1","35.79","8000"
"Kelly Oubre","SF","WSH","ATL","1.9","1.01","3500"
"Zaza Pachulia","C","DAL","NO","26.8","27.58","5300"
"Jabari Parker","PF","MIL","BKN","18.7","13.77","5900"
"Tony Parker","PG","SA","CHA","27.3","20.57","5000"
"Chandler Parsons","SF","DAL","NO","14.4","11.67","6000"
