name,pos,team,opp,def_pos_Pts_48,projected_minutes,projected_FD_FP,FD_salary
"SG","Chris Babb","GS","MIN","0.772857","0.1","0","0"
"SG","Leandro Barbosa","GS","MIN","0.772857","14.1","10.39","3700"
"SF","Harrison Barnes","GS","MIN","0.668854","29.8","21.26","5100"
"SG","Eric Bledsoe","PHX","LAC","0.824941","36.4","36.49","8300"
"C","Andrew Bogut","GS","MIN","0.79753","23","20.14","5400"
"SG","Devin Booker","PHX","LAC","0.824941","7.9","5.88","3500"
"PF","Trevor Booker","UTAH","MIA","0.808568","20","13.62","3900"
"PG","Trey Burke","UTAH","MIA","0.738125","24.2","18.58","5300"
"SG","Alec Burks","UTAH","MIA","0.642113","28.4","21.15","5500"
"C","Tyson Chandler","PHX","LAC","1.06345","29.9","26.12","5700"
"C","Jack Cooley","UTAH","MIA","0.916458","1.4","0.98","0"
"PG","Stephen Curry","GS","MIN","0.770714","35.5","43.86","10700"
"C","Festus Ezeli","GS","MIN","0.79753","22.9","20.26","4300"
"PF","Derrick Favors","UTAH","MIA","0.808568","29.9","28.37","7800"
"C","Rudy Gobert","UTAH","MIA","0.916458","31.8","25.44","7700"
"PG","Archie Goodwin","PHX","LAC","0.830833","1.5","0.77","3500"
"PF","Draymond Green","GS","MIN","0.901964","28.8","27.36","7800"
"SF","Gordon Hayward","UTAH","MIA","0.780104","34.4","31.24","6600"
"SG","Rodney Hood","UTAH","MIA","0.642113","26.8","18.69","4500"
"SF","Andre Iguodala","GS","MIN","0.668854","26.8","19.65","4700"
"SF","Joe Ingles","UTAH","MIA","0.780104","18.8","11.43","3500"
"PF","Cory Jefferson","PHX","LAC","0.800792","2.4","1.85","3500"
"SG","Chris Johnson","UTAH","MIA","0.642113","2.3","1.21","3500"
"PG","Brandon Knight","PHX","LAC","0.830833","34.5","32.02","6700"
"C","Alex Len","PHX","LAC","1.06345","16.7","12.79","4100"
"PF","Jon Leuer","PHX","LAC","0.800792","1.9","1.43","3500"
"PG","Shaun Livingston","GS","MIN","0.770714","19.2","13.75","3500"
"PF","Trey Lyles","UTAH","MIA","0.808568","6.3","3.55","3500"
"PF","James Michael McAdoo","GS","MIN","0.901964","2.3","1.87","3500"
"SF","Elijah Millsap","UTAH","MIA","0.780104","1.1","0.57","3500"
"PF","Markieff Morris","PHX","LAC","0.800792","30.7","26.66","5800"
"PG","Raul Neto","UTAH","MIA","0.738125","26.8","18.31","3500"
"C","Tibor Pleiss","UTAH","MIA","0.916458","3.5","3.06","3500"
"PG","Ronnie Price","PHX","LAC","0.830833","2.8","1.86","3500"
"SG","Brandon Rush","GS","MIN","0.772857","1.5","0.71","3500"
"PF","Marreese Speights","GS","MIN","0.901964","13.8","13.88","3500"
"PF","Mirza Teletovic","PHX","LAC","0.800792","6.1","4.19","3500"
"PF","Jason Thompson","GS","MIN","0.901964","20.7","16.8","4300"
"SG","Klay Thompson","GS","MIN","0.772857","31.9","29.34","6800"
"SF","P.J. Tucker","PHX","LAC","0.741637","25.5","16.35","4100"
"SF","T.J. Warren","PHX","LAC","0.741637","23.5","16.17","3800"
"C","Jeff Withey","UTAH","MIA","0.916458","7","4.26","3500"
