Player_Name,FDFP
"Al-Farouq Aminu","20.2"
"Alex Len","0"
"Allen Crabbe","10.6"
"Alonzo Gee","28.9"
"Amir Johnson","4.5"
"Andre Iguodala","30.6"
"Andre Roberson","20.8"
"Andrea Bargnani","16.6"
"Andrew Bogut","23.2"
"Anthony Davis","65.3"
"Anthony Morrow","19.9"
"Austin Rivers","8.9"
"Avery Bradley","37.3"
"Bismack Biyombo","21.8"
"Blake Griffin","20.2"
"Bojan Bogdanovic","6.6"
"Brandon Bass","14.1"
"Brandon Knight","33.1"
"Brook Lopez","35"
"Cameron Payne","4.9"
"Chandler Parsons","15.6"
"Charlie Villanueva","7.5"
"Chris Paul","36.5"
"CJ McCollum","36.3"
"Cory Joseph","12.3"
"D'Angelo Russell","29.8"
"D.J. Augustin","9.2"
"Damian Lillard","60.7"
"Danilo Gallinari","27.2"
"Dante Cunningham","2.2"
"Darrell Arthur","31.6"
"David Lee","2.4"
"DeAndre Jordan","43.5"
"DeMar DeRozan","28.7"
"DeMarre Carroll","34"
"Deron Williams","35.2"
"Devin Booker","19.4"
"Devin Harris","13.7"
"Dion Waiters","20.4"
"Dirk Nowitzki","16.9"
"Draymond Green","25.4"
"Dwight Powell","18.2"
"Ed Davis","16.1"
"Emmanuel Mudiay","32.4"
"Enes Kanter","21.9"
"Eric Bledsoe","43.4"
"Eric Gordon","31.8"
"Evan Turner","27.9"
"Festus Ezeli","12.2"
"Gary Harris","20.1"
"Gerald Henderson","8.6"
"Harrison Barnes","30.6"
"Ian Clark","7.7"
"Isaiah Thomas","37.4"
"Ish Smith","45.8"
"Jae Crowder","8.4"
"Jamal Crawford","12"
"Jameer Nelson","5.4"
"James Johnson","3.2"
"James Michael McAdoo","9.6"
"Jared Sullinger","23.5"
"Jarrett Jack","32.8"
"JaVale McGee","13.2"
"JJ Hickson","8.6"
"JJ Redick","19.8"
"Joe Johnson","26.8"
"Jon Leuer","6.8"
"Jonas Jerebko","8.5"
"Jordan Clarkson","22.3"
"Jose Juan Barea","13.6"
"Josh Smith","18.6"
"Jrue Holiday","13"
"Julius Randle","30.1"
"Kelly Olynyk","13.9"
"Klay Thompson","36.1"
"Kobe Bryant","32.8"
"Kostas Papanikolaou","2"
"Kyle Lowry","33.6"
"Kyle Singler","0"
"Lance Stephenson","2"
"Leandro Barbosa","13.7"
"Lou Williams","19"
"Luc Mbah a Moute","5.2"
"Luis Scola","29.1"
"Luke Babbitt","5.5"
"Markieff Morris","34.1"
"Marreese Speights","11.2"
"Mason Plumlee","40.2"
"Maurice Harkless","17.8"
"Metta World Peace","4.9"
"Mirza Teletovic","15.9"
"Nick Collison","18.5"
"Nick Young","9.1"
"Nikola Jokic","32.2"
"Noah Vonleh","6.6"
"Omer Asik","5.8"
"Patrick Patterson","6"
"Paul Pierce","1.2"
"PJ Tucker","25.6"
"Randy Foye","3.5"
"Raymond Felton","9.2"
"RJ Hunter","3"
"Rondae Hollis-Jefferson","34.4"
"Ronnie Price","0"
"Roy Hibbert","23.6"
"Russell Westbrook","58.5"
"Ryan Anderson","36"
"Serge Ibaka","27.3"
"Sergey Karasev","3.6"
"Shane Larkin","14.5"
"Shaun Livingston","14.1"
"Stephen Curry","36.3"
"Steven Adams","14.3"
"Terrence Ross","2"
"Terry Rozier","2"
"Thaddeus Young","27.9"
"Thomas Robinson","14.6"
"Tim Frazier","2"
"TJ Warren","11.4"
"Toney Douglas","1"
"Tyler Zeller","7.7"
"Tyson Chandler","12"
"Wesley Johnson","11"
"Wesley Matthews","24.1"
"Will Barton","30.7"
"Zaza Pachulia","36"
