name,pos,team,opp,def_pos_Pts_48,projected_minutes,projected_FD_FP,FD_salary
"C","Cole Aldrich","LAC","DET","0.769479","13.5","10.49","3500"
"PF","LaMarcus Aldridge","SA","PHI","1.02469","34.3","37.58","8000"
"SF","Justin Anderson","DAL","HOU","0.909974","8.4","6.85","3500"
"SF","Kyle Anderson","SA","PHI","0.940964","2.2","1.35","3500"
"SG","Alan Anderson","WSH","ORL","0.713565","0","0","3500"
"SG","Giannis Antetokounmpo","MIL","CLE","0.784115","34.3","28.64","7000"
"C","Joel Anthony","DET","LAC","0.998681","6.7","4.61","3500"
"SF","Trevor Ariza","HOU","DAL","0.643333","33.6","23.13","5700"
"SG","Chris Babb","GS","BKN","0.86","0.1","0","0"
"SG","Leandro Barbosa","GS","BKN","0.86","0","0","3600"
"SF","Harrison Barnes","GS","BKN","0.801953","33.7","25.28","5300"
"PG","Jerryd Bayless","MIL","CLE","0.756406","27.8","21.16","4300"
"C","Aron Baynes","DET","LAC","0.998681","13.7","11.41","3500"
"PG","Patrick Beverley","HOU","DAL","0.873438","17.5","12.65","3500"
"C","DeJuan Blair","WSH","ORL","0.944352","0.1","0","3500"
"PG","Steve Blake","DET","LAC","0.824491","8.9","4.71","3500"
"SG","Eric Bledsoe","PHX","DEN","0.886328","36.6","38.41","8500"
"C","Andrew Bogut","GS","BKN","0.988568","24.1","20.7","5200"
"C","Matt Bonner","SA","PHI","1.09259","3","1.78","3500"
"SG","Devin Booker","PHX","DEN","0.886328","8.4","6.54","3500"
"SF","Corey Brewer","HOU","DAL","0.643333","20.1","13.78","3700"
"SF","Reggie Bullock","DET","LAC","0.747708","4.3","1.98","3500"
"SG","Kentavious Caldwell-Pope","DET","LAC","0.879514","34","23.62","5100"
"C","Clint Capela","HOU","DAL","0.914167","26.3","23.05","4600"
"PG","Michael Carter-Williams","MIL","CLE","0.756406","31.6","28.34","7000"
"C","Tyson Chandler","PHX","DEN","1.00643","28.7","25.03","5600"
"SF","Chris Copeland","MIL","CLE","0.801354","9.6","5.96","3500"
"SG","Jamal Crawford","LAC","DET","0.759479","26.9","21.55","4400"
"SG","Jared Cunningham","CLE","MIL","0.725116","2.9","1.83","3500"
"PG","Stephen Curry","GS","BKN","0.863177","34.6","40.03","11000"
"PF","Branden Dawson","LAC","DET","0.964107","0.9","0.59","3500"
"SF","Sam Dekker","HOU","DAL","0.643333","0.1","0","3500"
"PG","Matthew Dellavedova","CLE","MIL","0.861481","25.3","15.11","4300"
"PF","Boris Diaw","SA","PHI","1.02469","23","17.78","3900"
"PG","Spencer Dinwiddie","DET","LAC","0.824491","2.6","1.49","3500"
"C","Andre Drummond","DET","LAC","0.998681","34.2","37.28","9700"
"SF","Jared Dudley","WSH","ORL","0.72169","26","16.55","3500"
"C","Tim Duncan","SA","PHI","1.09259","29","34.04","6800"
"PG","Tyler Ennis","MIL","CLE","0.756406","25.4","17.83","3500"
"PF","Jeremy Evans","DAL","HOU","1.14807","4.8","3.62","3500"
"C","Festus Ezeli","GS","BKN","0.988568","23.6","21.79","4100"
"PG","Raymond Felton","DAL","HOU","0.926667","17.8","12.11","3500"
"SG","Manu Ginobili","SA","PHI","0.650573","23.9","23.59","4800"
"PF","Drew Gooden","WSH","ORL","0.843646","4.4","3.44","3500"
"PG","Archie Goodwin","PHX","DEN","1.00914","1.9","1.66","3500"
"C","Marcin Gortat","WSH","ORL","0.944352","30.9","29.07","6000"
"SG","Danny Granger","DET","LAC","0.879514","0.9","0.32","0"
"PF","Draymond Green","GS","BKN","0.825446","31","28.89","8000"
"SG","Danny Green","SA","PHI","0.650573","28","21.95","4200"
"PF","Blake Griffin","LAC","DET","0.964107","36.7","37.94","9700"
"PF","Montrezl Harrell","HOU","DAL","1.10294","5.4","4.62","3500"
"SG","Joe Harris","CLE","MIL","0.725116","1.5","0.69","3500"
"SG","Devin Harris","DAL","HOU","0.77638","22.5","15.41","4000"
"PF","John Henson","MIL","CLE","0.810677","16.2","11.8","4000"
"PF","Nene Hilario","WSH","ORL","0.843646","22.5","18.55","4100"
"SG","Darrun Hilliard","DET","LAC","0.879514","1.2","0.79","3500"
"C","Dwight Howard","HOU","DAL","0.914167","31","31.44","8400"
"PF","Kris Humphries","WSH","ORL","0.843646","23.1","19.41","4000"
"SF","Andre Iguodala","GS","BKN","0.801953","26.9","19.27","4700"
"PF","Ersan Ilyasova","DET","LAC","0.889137","26","20.25","4300"
"SF","Damien Inglis","MIL","CLE","0.801354","3.1","1.9","3500"
"PG","Reggie Jackson","DET","LAC","0.824491","34.2","30.93","8000"
"SF","LeBron James","CLE","MIL","0.752037","34.2","37.12","10200"
"SF","Richard Jefferson","CLE","MIL","0.752037","23.4","13.23","3500"
"PF","Cory Jefferson","PHX","DEN","0.858984","2.5","2.07","3500"
"SG","John Jenkins","DAL","HOU","0.77638","18.7","12.54","3600"
"SF","Wesley Johnson","LAC","DET","0.688984","11.2","8.58","3600"
"SF","Stanley Johnson","DET","LAC","0.747708","24.6","18.23","4000"
"SF","James Jones","CLE","MIL","0.752037","1.4","0.67","3500"
"PF","Terrence Jones","HOU","DAL","1.10294","24.4","18.54","5400"
"C","DeAndre Jordan","LAC","DET","0.769479","28.9","25.95","7600"
"C","Sasha Kaun","CLE","MIL","0.89213","1.6","1.21","3500"
"PG","Brandon Knight","PHX","DEN","1.00914","34.5","33.3","7000"
"PG","Ty Lawson","HOU","DAL","0.873438","37.2","34.07","6500"
"C","Alex Len","PHX","DEN","1.00643","12.8","11","3900"
"SF","Kawhi Leonard","SA","PHI","0.940964","30.7","32.82","8400"
"PF","Jon Leuer","PHX","DEN","0.858984","2.3","1.97","3700"
"PG","Shaun Livingston","GS","BKN","0.863177","19","13.78","3500"
"PF","Kevin Love","CLE","MIL","1.00188","35.9","35.12","8000"
"C","Boban Marjanovic","SA","PHI","1.09259","4.6","3.55","3500"
"SG","Cartier Martin","DET","LAC","0.879514","1.6","0.89","0"
"SG","Wesley Matthews","DAL","HOU","0.77638","30.6","23.51","5200"
"SG","O.J. Mayo","MIL","CLE","0.784115","21.6","16.02","3800"
"PF","James Michael McAdoo","GS","BKN","0.825446","2","1.75","3500"
"PG","Ray McCallum","SA","PHI","0.954141","8","5.98","3500"
"SF","K.J. McDaniels","HOU","DAL","0.643333","0.1","0","3500"
"C","JaVale McGee","DAL","HOU","1","2","1.6","3700"
"SG","Jodie Meeks","DET","LAC","0.879514","0","0","3600"
"C","Salah Mejri","DAL","HOU","1","1.5","1.01","3500"
"SF","Khris Middleton","MIL","CLE","0.801354","35.3","26.73","5700"
"PG","Patrick Mills","SA","PHI","0.954141","22","16.86","3700"
"C","Greg Monroe","MIL","CLE","0.816042","34.6","32.01","8200"
"PF","Markieff Morris","PHX","DEN","0.858984","31.3","28.45","5500"
"SF","Marcus Morris","DET","LAC","0.747708","31.9","24.33","6100"
"PF","Donatas Motiejunas","HOU","DAL","1.10294","23.6","17.34","6400"
"C","Timofey Mozgov","CLE","MIL","0.89213","23.5","18.23","4200"
"SG","Gary Neal","WSH","ORL","0.713565","24.1","17.47","3500"
"PF","Dirk Nowitzki","DAL","HOU","1.14807","29.2","26.43","6700"
"SF","Kelly Oubre","WSH","ORL","0.72169","2.1","1.41","3500"
"C","Zaza Pachulia","DAL","HOU","1","26.3","24.91","5500"
"PF","Jabari Parker","MIL","CLE","0.810677","27.1","18.36","5600"
"PG","Tony Parker","SA","PHI","0.954141","26.6","22.69","4800"
"SF","Chandler Parsons","DAL","HOU","0.909974","0","0","5400"
"PG","Chris Paul","LAC","DET","0.838958","34.2","35.1","8900"
"SF","Paul Pierce","LAC","DET","0.688984","21.4","15.77","3700"
"C","Miles Plumlee","MIL","CLE","0.816042","5.5","3.74","3500"
"SF","Otto Porter","WSH","ORL","0.72169","32.7","22.42","5500"
"PF","Dwight Powell","DAL","HOU","1.14807","27","18.13","4500"
"PG","Ronnie Price","PHX","DEN","1.00914","2.4","1.51","3500"
"PG","Pablo Prigioni","LAC","DET","0.838958","0.1","0","3600"
"SG","J.J. Redick","LAC","DET","0.759479","31.3","21.45","4600"
"PG","Austin Rivers","LAC","DET","0.838958","23.5","17","3800"
"SG","Brandon Rush","GS","BKN","0.86","1.4","0.71","3500"
"PG","Ramon Sessions","WSH","ORL","0.973449","24","16.86","4100"
"SG","J.R. Smith","CLE","MIL","0.725116","28.6","19.79","5200"
"PF","Josh Smith","LAC","DET","0.964107","17","13.84","3900"
"PF","Marreese Speights","GS","BKN","0.825446","9.6","8.55","3500"
"SG","Lance Stephenson","LAC","DET","0.759479","26.2","19.67","3600"
"PF","Mirza Teletovic","PHX","DEN","0.858984","6.5","5.2","3500"
"PG","Garrett Temple","WSH","ORL","0.973449","1.5","1.11","3500"
"PG","Jason Terry","HOU","DAL","0.873438","1.7","0.84","3500"
"PF","Tristan Thompson","CLE","MIL","1.00188","26.3","20.59","5400"
"PF","Jason Thompson","GS","BKN","0.825446","5.4","3.78","4000"
"SG","Klay Thompson","GS","BKN","0.86","33","28.97","6500"
"SG","Marcus Thornton","HOU","DAL","0.715208","32.9","25.91","4800"
"PF","Anthony Tolliver","DET","LAC","0.889137","22.9","12.44","3600"
"SF","P.J. Tucker","PHX","DEN","0.684107","27.6","19.97","4100"
"C","Anderson Varejao","CLE","MIL","0.89213","7.8","5.8","3500"
"PG","Greivis Vasquez","MIL","CLE","0.756406","25.4","18.02","4200"
"SG","Rashad Vaughn","MIL","CLE","0.784115","10.2","7.48","3500"
"PF","Charlie Villanueva","DAL","HOU","1.14807","6.8","6.86","3700"
"PG","John Wall","WSH","ORL","0.973449","34","36.53","9200"
"SF","T.J. Warren","PHX","DEN","0.684107","22.1","15.86","3800"
"SF","Martell Webster","WSH","ORL","0.72169","0","0","3500"
"PF","David West","SA","PHI","1.02469","17.2","13.37","4100"
"SG","C.J. Wilcox","LAC","DET","0.759479","1.6","1.12","3500"
"PG","Mo Williams","CLE","MIL","0.861481","31.6","26.66","6100"
"PG","Deron Williams","DAL","HOU","0.926667","30.5","26.6","6400"
