name,pos,team,opp,def_pos_Pts_48,projected_minutes,projected_FD_FP,FD_salary
"SG","Arron Afflalo","NY","LAL","0.639375","28","18.8","4600"
"PF","Lavoy Allen","IND","CLE","0.750208","25.6","19.02","3600"
"SF","Al-Farouq Aminu","POR","DET","0.678073","29.8","24.11","5700"
"PF","Louis Amundson","NY","LAL","0.995542","2.9","2.19","3500"
"C","Chris Andersen","MIA","TOR","0.925","18.3","14.53","3500"
"SF","Carmelo Anthony","NY","LAL","0.994583","37.3","35.52","9200"
"C","Joel Anthony","DET","POR","0.966493","7.7","4.97","3500"
"C","Aron Baynes","DET","POR","0.966493","18.2","14.31","3500"
"PF","Anthony Bennett","TOR","MIA","0.898681","1.6","1.23","3500"
"C","Bismack Biyombo","TOR","MIA","0.858333","16.3","12.01","3700"
"PG","Steve Blake","DET","POR","0.951285","18.1","11.76","3500"
"SG","Eric Bledsoe","PHX","OKC","0.868854","35.2","35.58","8000"
"SG","Devin Booker","PHX","OKC","0.868854","8.2","5.96","3500"
"PF","Chris Bosh","MIA","TOR","0.79059","34.1","30.78","8000"
"SF","Chase Budinger","IND","CLE","0.681389","1.5","0.79","3500"
"SF","Reggie Bullock","DET","POR","0.592882","1.9","1.11","3500"
"SF","Bruno Caboclo","TOR","MIA","0.8185","0.1","0","3500"
"PG","Jose Calderon","NY","LAL","1.00454","27.8","21.58","4000"
"SG","Kentavious Caldwell-Pope","DET","POR","0.797569","29.9","17.6","5000"
"SF","DeMarre Carroll","TOR","MIA","0.8185","32.8","25.37","5700"
"PG","Mario Chalmers","MIA","TOR","0.813681","26.6","20.84","3500"
"C","Tyson Chandler","PHX","OKC","0.922208","24.3","19.6","5800"
"PF","Rakeem Christmas","IND","CLE","0.750208","1.7","1.01","3500"
"SG","Pat Connaughton","POR","DET","0.727875","1.1","0.69","3500"
"SG","Allen Crabbe","POR","DET","0.727875","22.8","11.9","3500"
"SG","Jared Cunningham","CLE","IND","0.724792","2","1.14","3500"
"PF","Ed Davis","POR","DET","0.878083","23.1","18.69","4800"
"PG","Matthew Dellavedova","CLE","IND","0.762222","23.6","13.94","4100"
"SF","Luol Deng","MIA","TOR","0.771736","29.2","18.56","5000"
"SG","DeMar DeRozan","TOR","MIA","0.657569","36.3","33.16","8000"
"PG","Spencer Dinwiddie","DET","POR","0.951285","2.3","1.49","3500"
"PG","Goran Dragic","MIA","TOR","0.813681","33.8","27.48","6100"
"C","Andre Drummond","DET","POR","0.966493","32.5","32.37","9200"
"SF","Cleanthony Early","NY","LAL","0.994583","4.3","2.72","3500"
"SG","Monta Ellis","IND","CLE","0.748792","36.5","30.34","6200"
