Player_Name,FDFP
"Al-Farouq Aminu","20.3"
"Alex Len","23.2"
"Allen Crabbe","6.6"
"Amir Johnson","25.7"
"Anthony Brown","0"
"Anthony Morrow","9.3"
"Archie Goodwin","22.2"
"Avery Bradley","25.2"
"Boris Diaw","30.1"
"Brandon Bass","11.8"
"Brandon Knight","70.5"
"Cameron Payne","4.7"
"Chandler Parsons","30.5"
"Charlie Villanueva","6.6"
"Chase Budinger","5.8"
"Chris Kaman","8.3"
"CJ McCollum","22.6"
"CJ Miles","23.4"
"Cliff Alexander","2"
"Clint Capela","20.9"
"Corey Brewer","21.6"
"Courtney Lee","11.2"
"D'Angelo Russell","23.8"
"D.J. Augustin","9.7"
"Damian Lillard","45.4"
"Danny Green","17.2"
"David Lee","3.6"
"David West","14.8"
"Deron Williams","24.6"
"Derrick Rose","40.4"
"Devin Booker","3"
"Devin Harris","20.6"
"Dion Waiters","24.4"
"Dirk Nowitzki","30"
"Doug McDermott","14.2"
"Dwight Howard","23.9"
"Dwight Powell","17.6"
"E'Twaun Moore","7.9"
"Ed Davis","2.8"
"Enes Kanter","24.9"
"Eric Bledsoe","25.7"
"Evan Turner","14"
"Gerald Henderson","4.9"
"Glenn Robinson","5.2"
"Hollis Thompson","18.6"
"Ian Mahinmi","27.9"
"Isaiah Canaan","6.7"
"Isaiah Thomas","38.6"
"Jae Crowder","22.6"
"Jahlil Okafor","35.7"
"JaKarr Sampson","9.4"
"James Harden","17.7"
"JaMychal Green","14.6"
"Jared Sullinger","22.7"
"Jason Terry","7.7"
"Jeff Green","31.5"
"Jerami Grant","15.6"
"Jeremy Evans","-1"
"Jimmy Butler","30.6"
"Joakim Noah","23.2"
"Joe Young","6.2"
"Jon Leuer","9.1"
"Jonas Jerebko","9.4"
"Jordan Clarkson","23.9"
"Jordan Hill","24.9"
"Jose Juan Barea","10.7"
"Julius Randle","11"
"Justin Anderson","0"
"Kawhi Leonard","42.3"
"Kelly Olynyk","19.2"
"Kirk Hinrich","14.7"
"KJ McDaniels","6.7"
"Kyle Anderson","5.1"
"Kyle Singler","2"
"LaMarcus Aldridge","16.7"
"Larry Nance Jr.","6.1"
"Lavoy Allen","19.2"
"Lou Williams","16.4"
"Manu Ginobili","28.3"
"Marc Gasol","31.2"
"Marcelo Huertas","11.6"
"Marcus Smart","28.8"
"Marcus Thornton","11.5"
"Mario Chalmers","33.9"
"Mason Plumlee","20.5"
"Matt Barnes","8.4"
"Maurice Harkless","6.2"
"Metta World Peace","18.3"
"Mike Conley","44.3"
"Mirza Teletovic","21.3"
"Monta Ellis","34.8"
"Montrezl Harrell","4.4"
"Nerlens Noel","28.9"
"Nick Collison","11.3"
"Nick Young","12.6"
"Nik Stauskas","2.9"
"Nikola Mirotic","12.2"
"Noah Vonleh","11.7"
"Patty Mills","13.1"
"Pau Gasol","26.1"
"Paul George","37.9"
"PJ Tucker","22.9"
"Rasual Butler","5"
"Raymond Felton","7.1"
"RJ Hunter","2"
"Robert Covington","14"
"Roy Hibbert","25.9"
"Russ Smith","0"
"Russell Westbrook","63.8"
"Serge Ibaka","32.8"
"Solomon Hill","4.2"
"Steven Adams","23.9"
"Taj Gibson","36.7"
"Tarik Black","0"
"Terrence Jones","31.6"
"Terry Rozier","2.5"
"Tim Duncan","25.8"
"TJ McConnell","32.4"
"TJ Warren","27.8"
"Tony Allen","16.2"
"Tony Parker","26.5"
"Tony Snell","14.6"
"Trevor Ariza","33.8"
"Ty Lawson","14.9"
"Tyler Zeller","15"
"Tyson Chandler","16.8"
"Wesley Matthews","12.9"
"Zach Randolph","26"
"Zaza Pachulia","12.2"
