Player_Name,FDFP
"Aaron Gordon","29.4"
"Alex Len","6.8"
"Anderson Varejao","4.7"
"Andre Drummond","45.8"
"Andre Iguodala","32.2"
"Andrea Bargnani","5.2"
"Andrew Bogut","45.6"
"Anthony Tolliver","13.3"
"Archie Goodwin","18"
"Aron Baynes","7.4"
"Austin Rivers","16.1"
"Blake Griffin","61.1"
"Boban Marjanovic","1.2"
"Bojan Bogdanovic","16.2"
"Boris Diaw","12.3"
"Brandon Knight","10.2"
"Brandon Rush","16.8"
"Brook Lopez","37.3"
"Channing Frye","11.6"
"Charlie Villanueva","30.5"
"Christian Wood","11.8"
"Clint Capela","22.5"
"Corey Brewer","9.9"
"Cory Jefferson","4.4"
"Danilo Gallinari","17.8"
"Danny Green","12"
"Darrell Arthur","5.2"
"David West","22.3"
"DeAndre Jordan","35.2"
"Deron Williams","23.9"
"Devin Booker","6.4"
"Devin Harris","24.8"
"Dewayne Dedmon","12.8"
"Draymond Green","54"
"Dwight Powell","31.3"
"Elfrid Payton","28.5"
"Emmanuel Mudiay","19.5"
"Eric Bledsoe","45.4"
"Ersan Ilyasova","22.4"
"Evan Fournier","36.2"
"Festus Ezeli","14.5"
"Garrett Temple","26.6"
"Gary Harris","10.2"
"Gary Neal","11.4"
"Giannis Antetokounmpo","34.7"
"Greg Monroe","40.9"
"Greivis Vasquez","21.6"
"Harrison Barnes","17.6"
"Hollis Thompson","11.1"
"Ian Clark","2"
"Isaiah Canaan","15.5"
"J.R. Smith","26.8"
"Jabari Parker","16.1"
"Jahlil Okafor","40.4"
"JaKarr Sampson","10.4"
"Jamal Crawford","55.2"
"Jameer Nelson","6.5"
"James Harden","48.4"
"James Jones","0"
"Jared Cunningham","0"
"Jared Dudley","12.5"
"Jarrett Jack","48.3"
"Jason Terry","19.5"
"Jerami Grant","19.8"
"Jeremy Evans","13.5"
"Jerryd Bayless","25.9"
"JJ Hickson","3.8"
"Joe Johnson","12.3"
"John Henson","21.7"
"John Jenkins","6.4"
"John Wall","35.1"
"Johnny O'Bryant","0"
"Jon Leuer","15"
"Jonathon Simmons","9.4"
"Jose Juan Barea","26.6"
"Josh Smith","5.2"
"Justin Anderson","2.2"
"Kelly Oubre","5.2"
"Kenneth Faried","10.4"
"Kentavious Caldwell-Pope","18.6"
"Kevin Love","43.8"
"Khris Middleton","22.3"
"Kostas Papanikolaou","13.7"
"Kris Humphries","32"
"Kyle Anderson","29.9"
"LaMarcus Aldridge","42.8"
"Lance Stephenson","-1"
"LeBron James","59.9"
"Luc Mbah a Moute","3.6"
"Marcin Gortat","28.5"
"Marcus Morris","11.4"
"Marcus Thornton","8"
"Mario Hezonja","10.9"
"Matt Bonner","1"
"Matthew Dellavedova","12.9"
"Michael Carter-Williams","34"
"Mike Miller","5.7"
"Miles Plumlee","0"
"Mirza Teletovic","24.3"
"Mo Williams","13"
"Montrezl Harrell","15.3"
"Nerlens Noel","13.6"
"Nik Stauskas","-2"
"Nikola Jokic","17.2"
"Nikola Vucevic","38.6"
"Otto Porter","36"
"Pablo Prigioni","1"
"Patty Mills","12.7"
"Paul Pierce","10.1"
"Phil Pressey","22.6"
"PJ Tucker","16.2"
"Ramon Sessions","14.3"
"Randy Foye","14.5"
"Rasual Butler","5.4"
"Ray McCallum","10.6"
"Raymond Felton","29.7"
"Reggie Jackson","32.7"
"Richard Jefferson","18.6"
"Rondae Hollis-Jefferson","30.6"
"Shabazz Napier","5.5"
"Shane Larkin","7.4"
"Shaun Livingston","10.2"
"Sonny Weems","4.7"
"Stanley Johnson","15.3"
"Stephen Curry","44.6"
"Steve Blake","7"
"Terrence Jones","37.7"
"Thaddeus Young","47.5"
"Thomas Robinson","0"
"Tim Duncan","31.8"
"Timofey Mozgov","18.8"
"TJ McConnell","16.5"
"TJ Warren","17.4"
"Tobias Harris","14"
"Tony Parker","20.9"
"Trevor Ariza","19.2"
"Tristan Thompson","10.8"
"Ty Lawson","18.1"
"Tyson Chandler","23.1"
"Wayne Ellington","7.2"
"Wesley Johnson","6.4"
"Will Barton","44.4"
"Zaza Pachulia","26.1"
