pos,name,gameDate,team,opp,salary,fppg,fpmax,fpmin,floor,ceil,average
PG,Aaron Brooks,11/16/2015,CHI,IND,4000,14.84,25.6,6.1,8.66,21.03,14.845
SF,Al-Farouq Aminu,11/16/2015,POR,SAS,5900,26.32,33.1,19.3,21.86,30.78,26.32
C,Alex Len,11/16/2015,PHO,LAL,3700,12.04,23.9,5.8,5.57,18.52,12.045
SG,Allen Crabbe,11/16/2015,POR,SAS,3600,12.93,23.4,4.6,7.59,18.27,12.93
C,Amir Johnson,11/16/2015,BOS,HOU,5200,20.01,45.6,6.3,8.38,31.64,20.01
SG,Andre Roberson,11/16/2015,OKC,MEM,3500,11.22,20.9,0.4,5.58,16.86,11.22
SF,Anthony Brown,11/16/2015,LAL,PHO,3500,3.5,5,2,2,5,3.5
SG,Anthony Morrow,11/16/2015,OKC,MEM,3500,8.28,15.2,1,3.22,13.35,8.285
PG,Archie Goodwin,11/16/2015,PHO,LAL,3600,8.05,18.5,1,0.62,15.48,8.05
SG,Avery Bradley,11/16/2015,BOS,HOU,5500,18.6,31.5,7.1,9.17,28.03,18.6
C,Boban Marjanovic,11/16/2015,SAS,POR,3500,3.78,11.5,1,-0.16,7.72,3.78
PF,Bobby Portis,11/16/2015,CHI,IND,3500,8.95,11.4,6.5,6.5,11.4,8.95
PF,Boris Diaw,11/16/2015,SAS,POR,3800,14.88,27,6.7,9.48,20.27,14.875
C,Brandan Wright,11/16/2015,MEM,OKC,3700,14.11,28.7,2,6.41,21.82,14.115
PF,Brandon Bass,11/16/2015,LAL,PHO,3800,12.1,24.5,3.2,5.71,18.49,12.1
PG,Brandon Knight,11/16/2015,PHO,LAL,6900,29.79,44.5,10.2,18.46,41.12,29.79
SG,C.J. McCollum,11/16/2015,POR,SAS,6500,29.55,47.7,21.2,22.35,36.75,29.55
SF,C.J. Miles,11/16/2015,IND,CHI,4500,17.97,24.5,11.5,13.03,22.91,17.97
PF,Cameron Bairstow,11/16/2015,CHI,IND,3500,2.8,3.2,2.4,2.4,3.2,2.8
PG,Cameron Payne,11/16/2015,OKC,MEM,3500,3,6.5,-1,-0.08,6.08,3
SF,Chandler Parsons,11/16/2015,DAL,PHI,5200,9.82,12.6,5.2,7.17,12.46,9.815
PF,Charlie Villanueva,11/16/2015,DAL,PHI,3900,14.93,30.5,6.4,6.45,23.42,14.935
SF,Chase Budinger,11/16/2015,IND,CHI,3600,9.73,18.6,1.2,3.93,15.53,9.73
C,Chris Kaman,11/16/2015,POR,SAS,3900,14.3,14.3,14.3,14.3,14.3,14.3
PF,Christian Wood,11/16/2015,PHI,DAL,3700,11.86,30.6,2.4,2.48,21.23,11.855
C,Clint Capela,11/16/2015,HOU,BOS,4500,19.37,36.4,8.2,11.54,27.2,19.37
SF,Corey Brewer,11/16/2015,HOU,BOS,3500,12.82,23.9,3,5.54,20.1,12.82
PF,Cory Jefferson,11/16/2015,PHO,LAL,3500,4.4,4.4,4.4,4.4,4.4,4.4
SG,Courtney Lee,11/16/2015,MEM,OKC,4000,17.65,22.4,10.9,13.85,21.46,17.655
PG,D'Angelo Russell,11/16/2015,LAL,PHO,5100,19.22,26.7,7.6,13.51,24.93,19.22
PG,D.J. Augustin,11/16/2015,OKC,MEM,3500,13.9,21.9,0.5,7.66,20.14,13.9
PG,Damian Lillard,11/16/2015,POR,SAS,9100,39.9,50.9,27.1,33.12,46.68,39.9
SG,Danny Green,11/16/2015,SAS,POR,4100,16.76,23.6,12,12.78,20.73,16.755
PF,David Lee,11/16/2015,BOS,HOU,4700,15.81,26.5,6.6,9.16,22.46,15.81
PF,David West,11/16/2015,SAS,POR,4200,12.29,27.8,2.4,4.03,20.55,12.29
PG,Deron Williams,11/16/2015,DAL,PHI,6200,24.23,28,13.5,19.99,28.48,24.235
PG,Derrick Rose,11/16/2015,CHI,IND,6800,23.73,43.5,11.9,15.08,32.39,23.735
SG,Devin Booker,11/16/2015,PHO,LAL,3500,6,19.6,-1,-0.81,12.81,6
SG,Devin Harris,11/16/2015,DAL,PHI,4200,17.6,24.8,1.7,11.18,24.02,17.6
SG,Dion Waiters,11/16/2015,OKC,MEM,4800,18.71,30,10.5,12.61,24.81,18.71
PF,Dirk Nowitzki,11/16/2015,DAL,PHI,6500,29.5,43.7,17.5,21.91,37.09,29.5
SF,Doug McDermott,11/16/2015,CHI,IND,3700,13.87,28.3,8.2,7.74,19.99,13.865
C,Dwight Howard,11/16/2015,HOU,BOS,8200,36.12,50.9,20.4,25.11,47.12,36.115
PF,Dwight Powell,11/16/2015,DAL,PHI,4900,24.47,31.3,15.7,18.83,30.11,24.47
PG,E'Twaun Moore,11/16/2015,CHI,IND,3500,10.41,17.3,3.4,5.54,15.29,10.415
PF,Ed Davis,11/16/2015,POR,SAS,4700,19.03,27.7,8.9,12.42,25.64,19.03
C,Enes Kanter,11/16/2015,OKC,MEM,6200,23.76,34.2,17.2,18.37,29.14,23.755
SG,Eric Bledsoe,11/16/2015,PHO,LAL,8700,39.78,55.6,21.8,30.02,49.54,39.78
SF,Evan Turner,11/16/2015,BOS,HOU,5800,21.19,35,10.3,11.66,30.71,21.185
PG,George Hill,11/16/2015,IND,CHI,6300,25.79,40.4,15.2,17.77,33.81,25.79
SG,Gerald Henderson,11/16/2015,POR,SAS,4700,9.3,14.4,4.2,4.2,14.4,9.3
SF,Hollis Thompson,11/16/2015,PHI,DAL,3600,15.85,26.2,7.6,9.76,21.94,15.85
C,Ian Mahinmi,11/16/2015,IND,CHI,4600,19.56,31.1,-1,10.92,28.2,19.56
PG,Isaiah Canaan,11/16/2015,PHI,DAL,4400,17.34,35.1,8.7,9.05,25.63,17.34
PG,Isaiah Thomas,11/16/2015,BOS,HOU,7200,32.84,46,21.6,23.91,41.76,32.835
PG,J.J. Barea,11/16/2015,DAL,PHI,4000,16.55,26.6,-0.8,8.93,24.17,16.55
SF,Jae Crowder,11/16/2015,BOS,HOU,5000,25.88,38,17.3,19.36,32.39,25.875
C,Jahlil Okafor,11/16/2015,PHI,DAL,6700,31.16,43.5,18.2,22.91,39.41,31.16
