Player_Name,FDFP
"Al Horford","32.5"
"Al Jefferson","41.5"
"Al-Farouq Aminu","15.6"
"Alec Burks","31.2"
"Alexis Ajinca","-1.8"
"Allen Crabbe","22.4"
"Alonzo Gee","10.3"
"Amir Johnson","17"
"Andre Drummond","41.9"
"Andre Miller","27.6"
"Andre Roberson","14.9"
"Andrew Wiggins","25.7"
"Anthony Davis","56.7"
"Anthony Morrow","2"
"Anthony Tolliver","5.7"
"Aron Baynes","10.2"
"Arron Afflalo","7.6"
"Avery Bradley","24.4"
"Ben McLemore","16.3"
"Bismack Biyombo","11.7"
"Brandon Bass","15.6"
"Brian Roberts","2.7"
"Cameron Payne","0"
"Carmelo Anthony","49.1"
"Chris Johnson","0"
"CJ McCollum","26.4"
"Cliff Alexander","10.8"
"Cody Zeller","14.2"
"Cory Joseph","26.8"
"Courtney Lee","18.2"
"D'Angelo Russell","17"
"D.J. Augustin","6.2"
"Damian Lillard","37.1"
"Dante Cunningham","12"
"David Lee","8.4"
"DeMar DeRozan","42.3"
"DeMarcus Cousins","57.5"
"DeMarre Carroll","22.8"
"Dennis Schroder","31.7"
"Derrick Favors","38.3"
"Derrick Williams","7.4"
"Dion Waiters","8.4"
"Ed Davis","19.5"
"Enes Kanter","15.9"
"Eric Gordon","16.4"
"Ersan Ilyasova","12.2"
"Evan Turner","12.1"
"Gerald Henderson","-0.8"
"Gordon Hayward","14.2"
"Gorgui Dieng","12"
"Isaiah Thomas","32.4"
"Ish Smith","10.1"
"Jae Crowder","13.6"
"James Johnson","9.1"
"JaMychal Green","23.9"
"Jared Sullinger","37.5"
"Jeff Green","28.3"
"Jeff Withey","2"
"Jeremy Lamb","26.5"
"Jeremy Lin","12.5"
"Jerian Grant","10.7"
"Joe Ingles","1"
"Jonas Jerebko","2.5"
"Jonas Valanciunas","10"
"Jordan Clarkson","23.7"
"Jose Calderon","14.9"
"Jrue Holiday","15.6"
"Julius Randle","22.6"
"Justin Holiday","3.5"
"Karl-Anthony Towns","25.3"
"Kelly Olynyk","22.9"
"Kemba Walker","28.3"
"Kent Bazemore","25.1"
"Kentavious Caldwell-Pope","20.6"
"Kevin Garnett","26"
"Kevin Martin","16.4"
"Kevin Seraphin","18.6"
"Kobe Bryant","40.1"
"Kosta Koufos","4.2"
"Kristaps Porzingis","18.8"
"Kyle Korver","18.3"
"Kyle Lowry","39.9"
"Kyle O'Quinn","5.7"
"Kyle Singler","9.4"
"Lance Thomas","7.2"
"Langston Galloway","23.1"
"Larry Nance Jr.","12.8"
"Lou Amundson","5.4"
"Lou Williams","11.4"
"Luis Scola","9.8"
"Luke Babbitt","7.7"
"Marc Gasol","30.4"
"Marco Belinelli","10.9"
"Marcus Morris","24.4"
"Marcus Smart","43.1"
"Mario Chalmers","21"
"Marvin Williams","24.6"
"Mason Plumlee","25.1"
"Matt Barnes","1.2"
"Maurice Harkless","9.9"
"Metta World Peace","7.7"
"Mike Conley","33.5"
"Mike Muscala","3.7"
"Mitch McGary","0"
"Nemanja Bjelica","5.2"
"Nick Collison","12.8"
"Nick Young","16.4"
"Nicolas Batum","46"
"Noah Vonleh","15.7"
"Norman Powell","-2"
"Omer Asik","1.2"
"Omri Casspi","24"
"Pat Connaughton","0"
"Patrick Patterson","13.8"
"Paul Millsap","41.2"
"PJ Hairston","5.2"
"Quincy Acy","7.1"
"Rajon Rondo","33.4"
"Raul Neto","3.7"
"Reggie Bullock","7.4"
"Reggie Jackson","13.3"
"Robin Lopez","16.5"
"Rodney Hood","25.5"
"Roy Hibbert","24.9"
"Rudy Gay","36.7"
"Rudy Gobert","34.7"
"Russell Westbrook","45.3"
"Ryan Anderson","19"
"Sasha Vujacic","1.2"
"Serge Ibaka","34"
"Seth Curry","3"
"Shabazz Muhammad","11.8"
"Shelvin Mack","12"
"Spencer Dinwiddie","24.4"
"Spencer Hawes","11.4"
"Stanley Johnson","12.1"
"Steven Adams","17.9"
"Tayshaun Prince","5.5"
"Thabo Sefolosha","15.2"
"Tiago Splitter","4.4"
"Tim Frazier","1.5"
"Toney Douglas","9"
"Tony Allen","12.7"
"Trevor Booker","18.4"
"Trey Burke","18.5"
"Willie Cauley-Stein","5.8"
"Zach LaVine","32.1"
"Zach Randolph","28.1"
