name,pos,team,opp,def_pos_Pts_48,projected_minutes,projected_FD_FP,FD_salary
"C","Steven Adams","OKC","MEM","0.806521","23","16.84","4300"
"SG","Jordan Adams","MEM","OKC","0.88412","3.5","2.48","3500"
"C","Furkan Aldemir","PHI","DAL","0.913646","3.3","2.35","0"
"PF","LaMarcus Aldridge","SA","POR","0.871271","36.1","37.98","8100"
"PF","Lavoy Allen","IND","CHI","0.77081","23.7","16.92","3600"
"SG","Tony Allen","MEM","OKC","0.88412","24.1","18.05","4300"
"SF","Justin Anderson","DAL","PHI","0.922604","9","6.67","3500"
"SF","Kyle Anderson","SA","POR","0.631813","1.5","0.67","3800"
"SF","Trevor Ariza","HOU","BOS","0.799531","33.2","24.7","5600"
"PG","D.J. Augustin","OKC","MEM","0.903896","19.2","12.52","3500"
"PF","Cameron Bairstow","CHI","IND","0.834167","0.9","0.44","3500"
"SF","Matt Barnes","MEM","OKC","0.744074","24.8","14.57","3500"
"PG","Patrick Beverley","HOU","BOS","0.683828","15.7","10.38","3500"
"SG","Eric Bledsoe","PHX","LAL","0.740718","33.9","36.92","8700"
"C","Matt Bonner","SA","POR","1.0954","2.9","1.81","3500"
"SG","Devin Booker","PHX","LAL","0.740718","10.3","7.54","3500"
"SG","Avery Bradley","BOS","HOU","0.794104","27.9","18.88","5500"
"SF","Corey Brewer","HOU","BOS","0.799531","25.3","18.3","3500"
"PG","Aaron Brooks","CHI","IND","0.720271","20.6","18.72","4000"
"SF","Chase Budinger","IND","CHI","0.839259","1.7","1.01","3600"
"SG","Jimmy Butler","CHI","IND","0.820509","38.3","33.85","7900"
"PG","Isaiah Canaan","PHI","DAL","0.8775","30","23.11","4400"
"C","Clint Capela","HOU","BOS","0.963802","17","15.29","4500"
"SF","Vince Carter","MEM","OKC","0.744074","15.2","9.69","3500"
"PG","Mario Chalmers","MEM","OKC","0.775394","19.4","13.6","4000"
"C","Tyson Chandler","PHX","LAL","1.11049","27.9","23.84","5600"
"PF","Rakeem Christmas","IND","CHI","0.77081","2","1.61","3500"
"PF","Nick Collison","OKC","MEM","1.0159","10.9","6.59","3600"
"PG","Mike Conley","MEM","OKC","0.775394","33.7","28.14","6300"
"SF","Robert Covington","PHI","DAL","0.623472","25.8","19.88","5800"
"SF","Jae Crowder","BOS","HOU","0.887583","28","20.68","5000"
"SF","Sam Dekker","HOU","BOS","0.799531","0.1","0","3500"
"PF","Boris Diaw","SA","POR","0.871271","18.2","13.26","3800"
"C","Tim Duncan","SA","POR","1.0954","32.3","33.64","6900"
"SF","Mike Dunleavy","CHI","IND","0.709437","0","0","4200"
"SF","Kevin Durant","OKC","MEM","0.842292","38","39.47","10300"
"SG","Monta Ellis","IND","CHI","0.750718","36.6","33.16","6600"
"SF","James Ennis","MEM","OKC","0.744074","0.9","0.42","3500"
"PF","Jeremy Evans","DAL","PHI","1.0625","17.8","14.67","3500"
"C","Cristiano Felicio","CHI","IND","0.989521","3.3","2.37","3500"
"PG","Raymond Felton","DAL","PHI","0.956146","26.6","19.35","3800"
"PF","Pau Gasol","CHI","IND","0.834167","35.4","37.74","8100"
"C","Marc Gasol","MEM","OKC","0.838356","34","35.01","7500"
"SF","Paul George","IND","CHI","0.839259","38.1","34.39","9200"
"PF","Taj Gibson","CHI","IND","0.834167","22.1","16.63","4200"
"SG","Manu Ginobili","SA","POR","0.781042","23.3","21.33","4800"
"PG","Archie Goodwin","PHX","LAL","0.87544","2.6","2.03","3600"
"PF","Jerami Grant","PHI","DAL","1.076","27.2","22.01","4400"
"SG","Danny Green","SA","POR","0.781042","29","22.14","4100"
"SF","Jeff Green","MEM","OKC","0.744074","23.7","14.63","3800"
