name,pos,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary
"Maurice Harkless","SF","SF","POR","PHX","16.3","9.27","3500"
"Erick Green","G","PG","DEN","MIN","10.9","7.03","3500"
"Doug McDermott","SF","SF","CHI","DET","12.7","7.17","4000"
"Mario Hezonja","SG","SG","ORL","OKC","8.9","7.08","4100"
"Allen Crabbe","SG","SG","POR","PHX","11.7","6.93","3900"
"Stanley Johnson","SF","SF","DET","CHI","9.7","6.6","4300"
"James Young","SG","SG","BOS","TOR","11.2","6.03","3500"
"Devin Booker","SG","SG","PHX","POR","7.9","6.43","3600"
"Miles Plumlee","FC","C","MIL","WSH","13.5","10.03","3500"
"Roy Devyn Marble","GF","SF","ORL","OKC","12.1","6.55","3500"
"Justise Winslow","SF","SF","MIA","CLE","9.5","6.22","3900"
"Jabari Brown","SG","SG","LAL","SAC","7.8","4.82","0"
"Joel Anthony","FC","C","DET","CHI","10.7","7.46","3500"
"T.J. McConnell","PG","PG","PHI","UTAH","7.1","4.82","3500"
"Danny Granger","SF","SF","DET","CHI","7.1","3.9","0"
"Donald Sloan","G","PG","BKN","SA","6","3.7","3500"
"Gerald Wallace","F","SF","PHI","UTAH","12.5","7.67","0"
"Bryce Cotton","PG","PG","UTAH","PHI","4.4","3.13","0"
"Frank Kaminsky","C","PF","CHA","ATL","6.3","3.53","4200"
"Cartier Martin","GF","SG","DET","CHI","8.5","4.05","0"
"C.J. Watson","PG","PG","ORL","OKC","4.2","2.93","3800"
"Darrell Arthur","FC","PF","DEN","MIN","4","3.16","3500"
"Marcelo Huertas","PG","PG","LAL","SAC","3.3","2.62","3500"
"David Stockton","PG","PG","SAC","LAL","4.1","2.8","0"
"Jason Terry","G","PG","HOU","GS","4.7","2.95","3500"
"Quincy Miller","SF","SF","BKN","SA","4.5","2.94","0"
