name,pos,team,opp,def_pos_Pts_48,projected_minutes,projected_FD_FP,FD_salary
"SG","Jordan Adams","MEM","LAC","0.748542","0","0","3500"
"C","Furkan Aldemir","PHI","CHI","1.03517","0","0","0"
"C","Cole Aldrich","LAC","MEM","0.889306","13.8","9.82","3600"
"PF","LaMarcus Aldridge","SA","SAC","1.04837","35.4","41.25","8200"
"PF","Lavoy Allen","IND","ORL","0.891285","25.1","20.64","3600"
"SG","Tony Allen","MEM","LAC","0.748542","24.2","16.75","4500"
"SF","Al-Farouq Aminu","POR","DEN","0.747125","30.7","27.73","5800"
"SF","Kyle Anderson","SA","SAC","0.664167","2.2","1.34","3500"
"PF","Darrell Arthur","DEN","POR","0.847257","3.2","2.32","3500"
"SG","Chris Babb","GS","DET","0.727875","0.1","0","0"
"PF","Cameron Bairstow","CHI","PHI","0.994042","1.5","0.81","3500"
"SG","Leandro Barbosa","GS","DET","0.727875","13","9.81","3600"
"SF","Harrison Barnes","GS","DET","0.678073","32.1","22.22","5300"
"SF","Matt Barnes","MEM","LAC","0.72925","23.7","15.54","3600"
"SG","Will Barton","DEN","POR","0.797569","27.3","22.73","5000"
"SG","Kent Bazemore","ATL","MIN","0.814375","29","20.13","5000"
"SF","Nemanja Bjelica","MIN","ATL","0.775536","0.1","0","4000"
"C","Andrew Bogut","GS","DET","0.779625","24.1","19.8","5400"
"C","Matt Bonner","SA","SAC","1.14504","2.1","1.23","3500"
"PG","Aaron Brooks","CHI","PHI","0.916667","19.4","16.51","4000"
"SF","Chase Budinger","IND","ORL","0.706563","2.4","1.51","3600"
"SG","Jimmy Butler","CHI","PHI","0.608437","35.7","36.17","7900"
"PG","Isaiah Canaan","PHI","CHI","0.935625","28.1","20.01","5000"
"SF","Vince Carter","MEM","LAC","0.72925","19.1","12.92","3500"
"SF","Wilson Chandler","DEN","POR","0.592882","0","0","6200"
"PF","Rakeem Christmas","IND","ORL","0.891285","1.3","0.79","3500"
"PG","Mike Conley","MEM","LAC","0.944792","33.2","26.73","6400"
"SG","Pat Connaughton","POR","DEN","0.927569","0.9","0.47","3500"
"SF","Robert Covington","PHI","CHI","1.04351","0","0","5800"
"SG","Allen Crabbe","POR","DEN","0.927569","19.6","10.45","3500"
"SG","Jamal Crawford","LAC","MEM","0.796285","25.5","20.47","4500"
