name,pos,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary
"Stephen Curry","G","PG","GS","NO","36.5","41.98","10400"
"Gordon Hayward","GF","SF","UTAH","IND","36.2","38.21","7200"
"Rudy Gay","F","SF","SAC","LAC","34.6","38.36","7900"
"Anthony Davis","FC","PF","NO","GS","36.2","42.2","11100"
"Carmelo Anthony","F","SF","NY","WSH","38.3","34.98","9300"
"George Hill","G","PG","IND","UTAH","34.6","33.21","6500"
"Chris Paul","PG","PG","LAC","SAC","35.3","42.03","9400"
"Klay Thompson","GF","SG","GS","NO","35.7","33.71","7100"
"DeMarcus Cousins","FC","PF","SAC","LAC","35.3","40.76","10900"
"Damian Lillard","PG","PG","POR","PHX","34.6","33.88","9100"
"Derrick Favors","FC","PF","UTAH","IND","32.4","33.84","7400"
"Eric Gordon","SG","SG","NO","GS","41.4","31.81","5300"
"Brook Lopez","C","C","BKN","MEM","34","33.71","7900"
"Jamal Crawford","GF","SG","LAC","SAC","28.9","26.57","5100"
"Marc Gasol","C","C","MEM","BKN","31.9","34.29","8000"
"Zach Randolph","FC","PF","MEM","BKN","31.4","32.34","6800"
"Brandon Knight","G","SG","PHX","POR","33.8","29.71","6400"
"J.J. Redick","SG","SG","LAC","SAC","33.5","24.11","4800"
"Bradley Beal","SG","SG","WSH","NY","31.8","25.48","7200"
"Paul George","F","SF","IND","UTAH","33.4","28.39","8600"
"C.J. McCollum","G","SG","POR","PHX","34.7","26.36","6000"
"Eric Bledsoe","G","PG","PHX","POR","34.4","29.93","7100"
"Mike Conley","PG","PG","MEM","BKN","32.8","27.42","6400"
"Darren Collison","PG","PG","SAC","LAC","32.3","27.85","5800"
"Thaddeus Young","F","PF","BKN","MEM","36.1","26.54","5500"
"Markieff Morris","FC","PF","PHX","POR","32.1","26.65","5800"
"John Wall","PG","PG","WSH","NY","34.6","33.06","9600"
"Arron Afflalo","GF","SG","NY","WSH","33.9","22.34","4600"
"Ryan Anderson","FC","PF","NO","GS","28.2","22.96","5600"
"Paul Pierce","F","SF","LAC","SAC","30.2","24.36","4400"
"Monta Ellis","G","SG","IND","UTAH","33.6","25.85","6300"
"C.J. Miles","GF","SF","IND","UTAH","28.8","21.89","4900"
"DeAndre Jordan","C","C","LAC","SAC","33.5","34.7","7700"
"Alec Burks","G","SG","UTAH","IND","32.3","22.92","5600"
"Jarrett Jack","G","PG","BKN","MEM","36.7","26.43","6200"
"Jordan Hill","FC","PF","IND","UTAH","27.2","26.35","4500"
"Draymond Green","F","PF","GS","NO","32.9","30.47","7800"
"Rodney Stuckey","G","PG","IND","UTAH","27.7","21.82","4900"
"Nene Hilario","FC","PF","WSH","NY","27.8","23.47","4200"
"Marcin Gortat","C","C","WSH","NY","28.8","27.37","6400"
"Joe Johnson","GF","SF","BKN","MEM","34.2","21.55","6800"
"Jeff Green","GF","SF","MEM","BKN","31.3","21.77","4500"
"Langston Galloway","G","PG","NY","WSH","28.8","19.78","4600"
"Marco Belinelli","GF","SG","SAC","LAC","24.7","18.65","3900"
"Ben McLemore","SG","SG","SAC","LAC","28.3","17.98","4500"
"Wayne Ellington","SG","SG","BKN","MEM","27.5","17.07","3900"
"Josh Smith","F","PF","LAC","SAC","23.9","23.76","4700"
"Kelly Oubre","SF","SF","WSH","NY","25.1","20.27","3500"
"Willie Cauley-Stein","C","C","SAC","LAC","27.4","22.06","5000"
"Harrison Barnes","F","SF","GS","NO","30","18.68","4600"
"Kristaps Porzingis","PF","PF","NY","WSH","26.3","19.78","4900"
"Gary Neal","G","SG","WSH","NY","25.3","16.66","3800"
"Tyson Chandler","C","C","PHX","POR","31.4","27.82","5900"
"Mason Plumlee","FC","C","POR","PHX","24.6","23.51","5000"
"Wesley Johnson","GF","SF","LAC","SAC","26.5","16.88","4700"
"Chris Kaman","FC","C","POR","PHX","19.9","19.68","4200"
"Trey Burke","PG","PG","UTAH","IND","21.7","18.21","5400"
"Jose Calderon","PG","PG","NY","WSH","27.2","18.97","4400"
"Andrea Bargnani","FC","PF","BKN","MEM","20.4","18.37","4600"
"Tony Allen","GF","SF","MEM","BKN","27","19.2","4800"
"Derrick Williams","F","SF","NY","WSH","24.3","14.76","4600"
"Omri Casspi","SF","SF","SAC","LAC","21.7","16.17","3900"
"Bojan Bogdanovic","GF","SF","BKN","MEM","25.5","14.76","4000"
"Courtney Lee","GF","SG","MEM","BKN","28.6","16.22","3800"
"Nate Robinson","G","PG","NO","GS","20.6","15.92","0"
"Robin Lopez","C","C","NY","WSH","26.6","21.9","4400"
"Kris Humphries","FC","PF","WSH","NY","19.8","17.04","4400"
"Rodney Hood","GF","SG","UTAH","IND","24.7","14.41","4300"
"Mirza Teletovic","F","PF","PHX","POR","22.3","16.37","3700"
"Beno Udrih","PG","PG","MEM","BKN","20.9","16.76","4000"
"Jrue Holiday","PG","PG","NO","GS","19.5","16.86","5800"
"Jared Dudley","GF","SF","WSH","NY","25.5","17.43","4000"
"P.J. Tucker","GF","SF","PHX","POR","30","19.72","4700"
"Al-Farouq Aminu","F","SF","POR","PHX","24.8","19.24","5200"
"Austin Rivers","G","SG","LAC","SAC","21.3","14.86","4000"
"T.J. Warren","SF","SF","PHX","POR","17.7","12.49","3900"
"Andre Iguodala","GF","SF","GS","NO","22.9","19.59","4300"
"Myles Turner","C","C","IND","UTAH","21.7","16.6","3500"
"Rudy Gobert","C","C","UTAH","IND","31.8","24.26","8100"
"Solomon Hill","GF","SF","IND","UTAH","24.2","14.84","3800"
"Ed Davis","FC","PF","POR","PHX","22","18.53","5300"
"Marreese Speights","FC","C","GS","NO","13.8","14.04","3900"
"Jerian Grant","PG","PG","NY","WSH","24.9","16.05","4500"
"Matt Barnes","SF","SF","MEM","BKN","23.6","14.7","3600"
"Rajon Rondo","PG","PG","SAC","LAC","22.1","19.69","5100"
"Raul Neto","PG","PG","UTAH","IND","21.6","13","3500"
"Andrew Bogut","C","C","GS","NO","25.3","21.33","5400"
"Ramon Sessions","G","PG","WSH","NY","22.1","15.98","4100"
"Leandro Barbosa","G","SG","GS","NO","16","12.7","3900"
"Brandan Wright","FC","C","MEM","BKN","22.2","17.69","4000"
"Kosta Koufos","FC","C","SAC","LAC","19.8","17.1","3700"
"Otto Porter","SF","SF","WSH","NY","21.8","14.17","5400"
"Shane Larkin","PG","PG","BKN","MEM","28.5","18.19","4600"
"Joe Ingles","GF","SF","UTAH","IND","24.5","14.63","3500"
"Meyers Leonard","FC","PF","POR","PHX","15.4","12.83","5000"
"Chase Budinger","GF","SF","IND","UTAH","19.9","12.36","4200"
"Lance Stephenson","GF","SF","LAC","SAC","18","14.17","3500"
"Trey Lyles","PF","PF","UTAH","IND","20.5","12.82","3500"
"Alex Len","C","C","PHX","POR","25.4","17.9","4100"
"Cole Aldrich","C","C","LAC","SAC","18.7","18.12","3600"
"Shaun Livingston","G","PG","GS","NO","20.1","13.83","4000"
"Caron Butler","SF","SF","SAC","LAC","21.7","11.29","3500"
"Kyle O'Quinn","FC","PF","NY","WSH","19.7","14.83","4800"
"Vince Carter","GF","SF","MEM","BKN","16.6","10.18","3500"
"Jason Thompson","FC","C","GS","NO","23.6","16.96","4800"
"Sergey Karasev","GF","SF","BKN","MEM","19.5","10.71","3500"
"Cleanthony Early","SF","SF","NY","WSH","17.1","10.5","3500"
"Sasha Vujacic","SG","SG","NY","WSH","15.2","9.76","3700"
"Thomas Robinson","PF","C","BKN","MEM","14.7","10.17","4500"
"Ian Mahinmi","C","C","IND","UTAH","18.8","12.49","5000"
"Markel Brown","SG","SG","BKN","MEM","17.4","8.48","3500"
"Kevin Seraphin","FC","C","NY","WSH","15.1","10.69","3700"
"Allen Crabbe","SG","SG","POR","PHX","12","7.03","3900"
