Wayne Ellington,name,gameDate,team,opp,salary,fppg,fpmax,fpmin,floor,ceil,average,stdev,ActualPTS,within_sigma,new_maxmin
PG,Ray McCallum,11/11/2015,SAS,POR,3500,2.23,5,0.5,0.26,4.21,2.235,1.975,,,
C,Tim Duncan,11/11/2015,SAS,POR,6800,26.99,42,20.6,20.44,33.54,26.99,6.55,,,
PG,Tony Parker,11/11/2015,SAS,POR,4800,17.16,24.4,9.3,12.67,21.64,17.155,4.485,,,
PF,Anthony Bennett,11/11/2015,TOR,PHI,3500,5.2,7.2,3.4,3.49,6.91,5.2,1.71,,,
C,Bismack Biyombo,11/11/2015,TOR,PHI,3800,13.83,17.4,9.2,11.27,16.38,13.825,2.555,,,
PG,Cory Joseph,11/11/2015,TOR,PHI,3700,16.71,32.2,3.9,8.09,25.34,16.715,8.625,,,
PG,Delon Wright,11/11/2015,TOR,PHI,3500,0.2,0.2,0.2,0.2,0.2,0.2,0,,,
SG,DeMar DeRozan,11/11/2015,TOR,PHI,7600,33.38,42,15.7,24.17,42.58,33.375,9.205,,,
SF,DeMarre Carroll,11/11/2015,TOR,PHI,6000,21.8,31.6,12.2,13.45,30.15,21.8,8.35,,,
SF,James Johnson,11/11/2015,TOR,PHI,3600,10.3,21.1,-1,0.71,19.89,10.3,9.59,,,
C,Jonas Valanciunas,11/11/2015,TOR,PHI,6300,27.94,39,19,22.44,33.43,27.935,5.495,,,
PG,Kyle Lowry,11/11/2015,TOR,PHI,8000,37.55,54,22.3,27.31,47.79,37.55,10.24,,,
C,Lucas Nogueira,11/11/2015,TOR,PHI,3500,5,5,5,5,5,5,0,,,
PF,Luis Scola,11/11/2015,TOR,PHI,4300,19.49,38.9,7.6,10.52,28.45,19.485,8.965,,,
SG,Norman Powell,11/11/2015,TOR,PHI,3500,2.2,3.2,1.2,1.2,3.2,2.2,1,,,
PF,Patrick Patterson,11/11/2015,TOR,PHI,3800,12.16,20.9,7.2,6.91,17.41,12.16,5.25,,,
SG,Terrence Ross,11/11/2015,TOR,PHI,3500,10.44,23.8,2,2.36,18.53,10.445,8.085,,,
