name,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary
"Kevin Durant","SF","OKC","CHI","40.3","0","44.69"
"Kemba Walker","PG","CHA","DAL","37.4","0","37.33"
"Chris Bosh","PF","MIA","MIN","34.5","0","36.12"
"Pau Gasol","C","CHI","OKC","33.6","0","36.87"
"Dirk Nowitzki","PF","DAL","CHA","34.5","0","31.06"
"C.J. McCollum","SG","POR","MEM","45.8","0","31.41"
"Damian Lillard","PG","POR","MEM","38.9","0","34.35"
"Jimmy Butler","SG","CHI","OKC","36.9","0","32.08"
"Mike Conley","PG","MEM","POR","32.5","0","31.9"
"Dwyane Wade","SG","MIA","MIN","31.8","0","31.62"
"Goran Dragic","PG","MIA","MIN","33.3","0","31.95"
"Marc Gasol","C","MEM","POR","34.7","0","36.66"
"Wesley Matthews","SG","DAL","CHA","34.5","0","26.47"
"Gordon Hayward","SF","UTAH","DEN","33.8","0","30.64"
"Kevin Martin","SG","MIN","MIA","30","0","23.59"
"Derrick Favors","PF","UTAH","DEN","31.2","0","34.06"
"Nikola Mirotic","PF","CHI","OKC","32.6","0","30.52"
"Andrew Wiggins","SG","MIN","MIA","36.4","0","24.92"
"Chandler Parsons","SF","DAL","CHA","33","0","24.96"
"Luol Deng","SF","MIA","MIN","33.4","0","25.92"
"Kenneth Faried","PF","DEN","UTAH","30.2","0","29.22"
"Zach Randolph","PF","MEM","POR","30.6","0","28.84"
"Danilo Gallinari","SF","DEN","UTAH","31.2","0","24.55"
"Al Jefferson","C","CHA","DAL","29.1","0","28.21"
"Shabazz Muhammad","SG","MIN","MIA","27.1","0","21.17"
"Gerald Green","SF","MIA","MIN","25.3","0","20.71"
"Serge Ibaka","PF","OKC","CHI","33.8","0","28.07"
"Derrick Rose","PG","CHI","OKC","29.8","0","24.13"
"Deron Williams","PG","DAL","CHA","31.2","0","26.98"
"Jeremy Lin","PG","CHA","DAL","30.8","0","23.85"
"Aaron Brooks","PG","CHI","OKC","25.2","0","21.8"
"Courtney Lee","SG","MEM","POR","30.2","0","18.33"
"Rodney Hood","SG","UTAH","DEN","28","0","18.82"
"Ricky Rubio","PG","MIN","MIA","31.6","0","26.76"
"Alec Burks","SG","UTAH","DEN","24.8","0","18.93"
"Hassan Whiteside","C","MIA","MIN","28.3","0","27.02"
"Gerald Henderson","SG","POR","MEM","27.8","0","17.21"
"Raul Neto","PG","UTAH","DEN","27.3","0","20.42"
"Kevin Garnett","PF","MIN","MIA","27","0","23.7"
"Jeff Green","SF","MEM","POR","21.5","0","14.84"
"Enes Kanter","C","OKC","CHI","23","0","22.28"
"J.J. Hickson","C","DEN","UTAH","27.7","0","22.39"
"Mario Chalmers","SG","MIA","MIN","27.3","0","22.16"
"Trey Burke","PG","UTAH","DEN","22.5","0","19.36"
"Emmanuel Mudiay","PG","DEN","UTAH","26.4","0","17.89"
"Randy Foye","SG","DEN","UTAH","24.6","0","16.62"
"Chris Kaman","C","POR","MEM","21.9","0","19.79"
"Nicolas Batum","SG","CHA","DAL","29.5","0","20.54"
"P.J. Hairston","SF","CHA","DAL","26.6","0","16.17"
"Karl-Anthony Towns","C","MIN","MIA","24.7","0","18.44"
