name,pos,team,opp,def_pos_Pts_48,projected_minutes,projected_FD_FP,FD_salary
"SG","Arron Afflalo","NY","CHA","0.760231","30.4","19.08","4500"
"C","Alexis Ajinca","NO","DEN","0.963313","11.2","9.87","3500"
"PF","Louis Amundson","NY","CHA","1.04234","2.9","1.99","3500"
"C","Chris Andersen","MIA","MIN","0.827896","1.8","1.2","3500"
"PF","Ryan Anderson","NO","DEN","0.897729","29.8","27.22","5900"
"SG","Alan Anderson","WSH","MIL","0.706042","0","0","3500"
"SF","Carmelo Anthony","NY","CHA","0.732755","36.4","36.67","9600"
"C","Joel Anthony","DET","CLE","0.797521","5.8","3.51","3500"
"C","Omer Asik","NO","DEN","0.963313","18.9","13.89","3500"
"SG","Chris Babb","GS","TOR","0.799271","0.1","0","0"
"SF","Luke Babbitt","NO","DEN","0.680347","24.5","15.13","3500"
"SG","Leandro Barbosa","GS","TOR","0.799271","0","0","3600"
"C","Andrea Bargnani","BKN","ATL","1.09061","21.3","17.2","3500"
"SF","Harrison Barnes","GS","TOR","0.741292","34.5","23.95","5300"
"C","Aron Baynes","DET","CLE","0.797521","11.3","7.69","3500"
"SG","Kent Bazemore","ATL","BKN","0.844229","0","0","5100"
"SF","Nemanja Bjelica","MIN","MIA","0.801667","27.2","17.17","4400"
"C","DeJuan Blair","WSH","MIL","0.908292","0.1","0","3500"
"PG","Steve Blake","DET","CLE","0.767771","12.7","7.59","3500"
"SF","Bojan Bogdanovic","BKN","ATL","0.705019","30.8","18.63","4200"
"C","Andrew Bogut","GS","TOR","1.02244","21.8","18.42","5200"
"PF","Chris Bosh","MIA","MIN","0.953812","33.9","36.35","8200"
"SG","Markel Brown","BKN","ATL","0.839417","17.1","10.01","3500"
"SF","Reggie Bullock","DET","CLE","0.775","5.1","2.96","3500"
"PG","Jose Calderon","NY","CHA","0.792778","26","18.27","4400"
"SG","Kentavious Caldwell-Pope","DET","CLE","0.7785","34.2","23.61","5100"
"PF","Dante Cunningham","NO","DEN","0.897729","24","13.92","3500"
"SG","Jared Cunningham","CLE","DET","0.809815","2.5","1.44","3500"
"PF","Anthony Davis","NO","DEN","0.897729","37.3","45.34","10900"
"PG","Matthew Dellavedova","CLE","DET","0.780718","26","15.84","4200"
"SF","Luol Deng","MIA","MIN","0.726921","28.9","21.3","5100"
"C","Gorgui Dieng","MIN","MIA","0.916458","24","21.21","3900"
"PG","Spencer Dinwiddie","DET","CLE","0.767771","2.2","1.69","3700"
"PG","Goran Dragic","MIA","MIN","0.832729","32.9","29.58","5600"
"C","Andre Drummond","DET","CLE","0.797521","35.2","34.12","9800"
"SF","Jared Dudley","WSH","MIL","0.782625","22.5","13.18","3500"
"SF","Cleanthony Early","NY","CHA","0.732755","0","0","3500"
"SG","Wayne Ellington","BKN","ATL","0.839417","2.5","1.39","3500"
"PG","Tyreke Evans","NO","DEN","0.896292","0","0","0"
"C","Festus Ezeli","GS","TOR","1.02244","22.5","17.58","4100"
"SG","Langston Galloway","NY","CHA","0.760231","28.5","21.77","4700"
"PF","Kevin Garnett","MIN","MIA","0.849514","17.3","13.15","3700"
"SF","Alonzo Gee","NO","DEN","0.680347","21.4","14.29","3500"
"PF","Drew Gooden","WSH","MIL","0.9755","2.3","1.87","3500"
"SG","Eric Gordon","NO","DEN","0.943979","36.2","25.85","6000"
"C","Marcin Gortat","WSH","MIL","0.908292","28.2","25.76","6000"
"SG","Danny Granger","DET","CLE","0.7785","1.2","0.64","0"
"PG","Jerian Grant","NY","CHA","0.792778","24.7","17.05","3800"
"PF","Draymond Green","GS","TOR","0.815718","36.1","34.57","8000"
"SG","Gerald Green","MIA","MIN","0.776229","25.2","18.77","3600"
"SG","Tim Hardaway Jr.","ATL","BKN","0.844229","0.1","0","3900"
"SG","Joe Harris","CLE","DET","0.809815","0.1","0","3500"
"PF","Udonis Haslem","MIA","MIN","0.953812","2.8","2.09","3500"
"PF","Nene Hilario","WSH","MIL","0.9755","21","17.37","4100"
"SG","Darrun Hilliard","DET","CLE","0.7785","1.4","0.91","3500"
"PG","Jrue Holiday","NO","DEN","0.896292","23.5","21.94","5600"
"SG","Justin Holiday","ATL","BKN","0.844229","24.2","15.47","3500"
"SF","Rondae Hollis-Jefferson","BKN","ATL","0.705019","23","15.35","3500"
"C","Al Horford","ATL","BKN","1.05629","31.9","32.77","7800"
"PF","Kris Humphries","WSH","MIL","0.9755","22.8","20.6","4000"
"SF","Andre Iguodala","GS","TOR","0.741292","29.3","22.17","4700"
"PF","Ersan Ilyasova","DET","CLE","0.805958","27.5","20.2","4200"
"PG","Jarrett Jack","BKN","ATL","0.834735","33.6","28.4","6400"
"PG","Reggie Jackson","DET","CLE","0.767771","35.6","33.12","7600"
"SF","LeBron James","CLE","DET","0.658657","35.9","40.55","10200"
"SF","Richard Jefferson","CLE","DET","0.658657","27.1","15.57","3500"
"SG","Joe Johnson","BKN","ATL","0.839417","36.1","27.22","6300"
"SF","Stanley Johnson","DET","CLE","0.775","22.7","14.28","3900"
"PG","Tyler Johnson","MIA","MIN","0.832729","23","16.3","4000"
"SF","James Jones","CLE","DET","0.658657","3.1","1.71","3500"
"PG","Tyus Jones","MIN","MIA","0.712639","2.1","1.21","3500"
"SF","Sergey Karasev","BKN","ATL","0.705019","0.2","0","3500"
"C","Sasha Kaun","CLE","DET","0.785069","0.1","0","3500"
"SG","Sean Kilpatrick","NO","DEN","0.943979","2","1.46","0"
"SG","Kyle Korver","ATL","BKN","0.844229","33.2","21.55","4800"
"PG","Shane Larkin","BKN","ATL","0.834735","19.8","12.57","4100"
"SG","Zach LaVine","MIN","MIA","0.646693","25.1","18.44","5900"
"PG","Shaun Livingston","GS","TOR","0.746875","20.6","14.61","3500"
"C","Brook Lopez","BKN","ATL","1.09061","35","38.15","8000"
"C","Robin Lopez","NY","CHA","0.976597","27","20.55","4500"
"PF","Kevin Love","CLE","DET","1.00883","35.3","35.99","7800"
"PG","Shelvin Mack","ATL","BKN","0.882375","2.2","1.59","3500"
"SG","Cartier Martin","DET","CLE","0.7785","3.1","1.8","0"
"SG","Kevin Martin","MIN","MIA","0.646693","26.6","19.76","4700"
"PF","James Michael McAdoo","GS","TOR","0.815718","0.8","0.54","3500"
"PF","Josh McRoberts","MIA","MIN","0.953812","1.9","1.35","3500"
"SG","Jodie Meeks","DET","CLE","0.7785","0","0","3600"
"PG","Andre Miller","MIN","MIA","0.712639","19.2","13.73","3900"
"PF","Paul Millsap","ATL","BKN","0.857731","34.4","37.94","8300"
"SF","Marcus Morris","DET","CLE","0.775","36.2","26.84","6100"
"C","Timofey Mozgov","CLE","DET","0.785069","24.7","21.02","4200"
"SF","Shabazz Muhammad","MIN","MIA","0.801667","23.3","17.19","3500"
"PF","Mike Muscala","ATL","BKN","0.857731","3.5","2.71","3500"
"SG","Gary Neal","WSH","MIL","0.706042","24.3","16.32","3500"
"C","Kyle O'Quinn","NY","CHA","0.976597","17.1","13.67","3800"
"SF","Kelly Oubre","WSH","MIL","0.782625","2.9","2","3500"
"PF","Adreian Payne","MIN","MIA","0.849514","3.4","2.21","3500"
"C","Nikola Pekovic","MIN","MIA","0.916458","0","0","4800"
"C","Kendrick Perkins","NO","DEN","0.963313","0","0","3500"
"SF","Quincy Pondexter","NO","DEN","0.680347","0","0","3900"
"SF","Otto Porter","WSH","MIL","0.782625","33","20.64","5500"
"PF","Kristaps Porzingis","NY","CHA","1.04234","25.7","18.9","5400"
"SF","Tayshaun Prince","MIN","MIA","0.801667","24.9","13.32","3500"
"SG","Josh Richardson","MIA","MIN","0.776229","2.8","1.8","3500"
"PF","Thomas Robinson","BKN","ATL","0.896174","11.8","10.03","3800"
"PG","Nate Robinson","NO","DEN","0.896292","0","0","0"
"PG","Ricky Rubio","MIN","MIA","0.712639","32.4","25.54","7400"
"SF","Damjan Rudez","MIN","MIA","0.801667","0.1","0","3500"
"SG","Brandon Rush","GS","TOR","0.799271","1.5","0.81","3500"
"PG","Dennis Schroder","ATL","BKN","0.882375","34.2","30.63","4800"
"SF","Mike Scott","ATL","BKN","0.775063","12.3","9.38","3500"
"SF","Thabo Sefolosha","ATL","BKN","0.775063","19","13.94","3900"
"PF","Kevin Seraphin","NY","CHA","1.04234","2.3","1.77","3600"
"PG","Ramon Sessions","WSH","MIL","0.81125","21.5","16.75","4100"
"PG","Donald Sloan","BKN","ATL","0.834735","3.8","1.93","3500"
"SG","J.R. Smith","CLE","DET","0.809815","29.8","21.64","5000"
"PF","Marreese Speights","GS","TOR","0.815718","1","0.54","3500"
"C","Tiago Splitter","ATL","BKN","1.05629","21","17.01","3500"
"PF","Jarnell Stokes","MIA","MIN","0.953812","0.9","0.56","3500"
"PF","Amar'e Stoudemire","MIA","MIN","0.953812","1.5","1.23","3900"
"C","Walter Tavares","ATL","BKN","1.05629","0.9","0.79","3500"
"PG","Jeff Teague","ATL","BKN","0.882375","0","0","7200"
"PG","Garrett Temple","WSH","MIL","0.81125","3.9","2.2","3500"
"SF","Lance Thomas","NY","CHA","0.732755","6","3.44","3500"
"PF","Tristan Thompson","CLE","DET","1.00883","27","22.45","5300"
"PF","Jason Thompson","GS","TOR","0.815718","0.5","0.44","4000"
"SG","Klay Thompson","GS","TOR","0.799271","36.1","31.56","6500"
"PF","Anthony Tolliver","DET","CLE","0.805958","22","14.79","3500"
"C","Karl-Anthony Towns","MIN","MIA","0.916458","31.4","22.95","6800"
"PG","Beno Udrih","MIA","MIN","0.832729","16.7","14.59","3500"
"C","Anderson Varejao","CLE","DET","0.785069","7.8","6.13","3500"
"SG","Sasha Vujacic","NY","CHA","0.760231","4.9","3.11","3500"
"SG","Dwyane Wade","MIA","MIN","0.776229","30.8","30.47","6900"
"PG","John Wall","WSH","MIL","0.81125","34.8","35.91","9200"
"SF","Martell Webster","WSH","MIL","0.782625","0","0","3500"
"C","Hassan Whiteside","MIA","MIN","0.827896","34.7","35.17","8300"
"SF","Andrew Wiggins","MIN","MIA","0.801667","36.8","24.27","7000"
"PG","Mo Williams","CLE","DET","0.780718","33.7","27.56","6100"
"PF","Derrick Williams","NY","CHA","1.04234","14.2","10.25","3500"
"SF","Justise Winslow","MIA","MIN","0.726921","29.3","21","3700"
"PF","Thaddeus Young","BKN","ATL","0.896174","32.6","24.84","5800"
