name,pos,team,opp,def_pos_Pts_48,projected_minutes,projected_FD_FP,FD_salary
"PF","Quincy Acy","SAC","BKN","0.825446","17.8","13.03","3500"
"C","Steven Adams","OKC","PHI","1.09259","25.8","23.53","4300"
"SG","Arron Afflalo","NY","CLE","0.784115","27.4","17.08","4600"
"C","Alexis Ajinca","NO","TOR","1.05785","14.2","12.33","3500"
"PF","Lavoy Allen","IND","MIN","0.901964","19.6","16.42","3500"
"SG","Tony Allen","MEM","POR","0.824653","26","17.75","4500"
"SF","Al-Farouq Aminu","POR","MEM","0.840394","33.9","27.42","5800"
"PF","Ryan Anderson","NO","TOR","0.86987","33.7","28.72","6200"
"SF","Justin Anderson","DAL","LAL","0.821432","8.5","6.44","3500"
"SF","Carmelo Anthony","NY","CLE","0.801354","37.1","32.74","9400"
"SF","Trevor Ariza","HOU","DEN","0.684107","33.5","24.02","5700"
"PF","Darrell Arthur","DEN","HOU","1.14807","4.6","3.3","3500"
"C","Omer Asik","NO","TOR","1.05785","26.2","19.6","3900"
"PG","D.J. Augustin","OKC","PHI","0.954141","20.2","15.32","3500"
"SF","Luke Babbitt","NO","TOR","0.766597","24.2","15.39","3500"
"C","Andrea Bargnani","BKN","SAC","1.08303","19.7","16.77","3500"
"SF","Matt Barnes","MEM","POR","0.61331","26","15.54","3600"
"SG","Will Barton","DEN","HOU","0.77638","29.2","24","4700"
"PF","Brandon Bass","LAL","DAL","1.10294","18.1","14.22","3600"
"SF","Nicolas Batum","CHA","CHI","0.819323","32.1","22.92","6600"
"SG","Kent Bazemore","ATL","BOS","0.899618","28.7","20.04","5100"
"SG","Marco Belinelli","SAC","BKN","0.86","31.6","21.51","3800"
"PG","Patrick Beverley","HOU","DEN","1.00914","25.2","19.27","3500"
"SF","Nemanja Bjelica","MIN","IND","0.735556","26.5","20.86","4600"
"C","Tarik Black","LAL","DAL","0.914167","16.2","12.58","3600"
"SF","Bojan Bogdanovic","BKN","SAC","0.83794","25","16.33","4200"
"PF","Trevor Booker","UTAH","ORL","0.843646","20.2","15.59","3900"
"SG","Avery Bradley","BOS","ATL","0.839417","24.9","18.01","5500"
"SF","Corey Brewer","HOU","DEN","0.684107","26.5","22.07","3700"
"PG","Aaron Brooks","CHI","CHA","0.797474","20.5","15.95","4200"
"SG","Markel Brown","BKN","SAC","0.836875","17.8","11.31","3500"
"SG","Kobe Bryant","LAL","DAL","0.715208","31.7","28.64","7400"
"PG","Trey Burke","UTAH","ORL","0.973449","22.5","16.35","5300"
"SG","Alec Burks","UTAH","ORL","0.713565","32","23.66","5500"
"SG","Jimmy Butler","CHI","CHA","0.75401","37.6","35.35","7800"
"SF","Caron Butler","SAC","BKN","0.801953","13.1","7.44","3500"
"PG","Jose Calderon","NY","CLE","0.756406","26.9","19.2","4500"
"PG","Isaiah Canaan","PHI","OKC","0.794792","27.4","20.17","4700"
"C","Clint Capela","HOU","DEN","1.00643","20.5","17.97","4600"
"SF","Vince Carter","MEM","POR","0.61331","17.2","10.51","3500"
"SF","Omri Casspi","SAC","BKN","0.801953","33","25.78","4300"
"C","Willie Cauley-Stein","SAC","BKN","0.988568","26.4","20.11","4600"
"PG","Mario Chalmers","MEM","POR","0.97213","24.6","16.75","3900"
"PG","Jordan Clarkson","LAL","DAL","0.873438","33.4","27.66","5800"
"PF","Nick Collison","OKC","PHI","1.02469","14.5","10.6","3500"
"PG","Darren Collison","SAC","BKN","0.863177","31.1","26.81","5500"
"PG","Mike Conley","MEM","POR","0.97213","33.1","31.15","6400"
"C","DeMarcus Cousins","SAC","BKN","0.988568","33.8","39.75","10200"
"SG","Allen Crabbe","POR","MEM","0.697824","21.5","10.78","3600"
"SF","Jae Crowder","BOS","ATL","0.6935","31","22.13","4800"
"PF","Dante Cunningham","NO","TOR","0.86987","20.5","11.76","3600"
"SG","Troy Daniels","CHA","CHI","0.730911","3.6","2.38","3500"
"PF","Ed Davis","POR","MEM","1.00227","22.2","18.52","4700"
"PF","Anthony Davis","NO","TOR","0.86987","31","34.4","10700"
"C","Gorgui Dieng","MIN","IND","0.989213","19","14.34","4100"
"SG","Wayne Ellington","BKN","SAC","0.836875","16.1","10.37","3500"
"SG","Monta Ellis","IND","MIN","0.772857","34.5","29.82","6400"
"PF","Jeremy Evans","DAL","LAL","1.07229","17.2","14.18","3500"
"PF","Kenneth Faried","DEN","HOU","1.14807","29.6","26.69","7000"
"PF","Derrick Favors","UTAH","ORL","0.843646","32.8","33.64","7800"
"C","Cristiano Felicio","CHI","CHA","0.918411","3.3","2.05","3500"
"PG","Raymond Felton","DAL","LAL","0.916979","24.2","17.77","3500"
"SG","Randy Foye","DEN","HOU","0.77638","18.1","11.34","3500"
"SF","Danilo Gallinari","DEN","HOU","0.909974","34.1","28.15","6500"
"SG","Langston Galloway","NY","CLE","0.784115","30.5","23.36","4600"
"PF","Kevin Garnett","MIN","IND","0.853958","16.9","12.81","3700"
"PF","Pau Gasol","CHI","CHA","1.02948","33.2","35.63","8000"
"C","Marc Gasol","MEM","POR","1.09708","34.2","36.73","7300"
"SF","Rudy Gay","SAC","BKN","0.801953","36.9","35.08","7500"
"SF","Paul George","IND","MIN","0.668854","34.6","33.65","9100"
"PF","Taj Gibson","CHI","CHA","1.02948","23","17.03","4300"
"C","Rudy Gobert","UTAH","ORL","0.944352","31.5","30.06","7700"
"SG","Eric Gordon","NO","TOR","0.784907","35.7","27.05","5800"
"PG","Jerian Grant","NY","CLE","0.756406","25.4","17.83","4000"
"PF","Jerami Grant","PHI","OKC","0.917813","27.2","21.88","4400"
"SF","Jeff Green","MEM","POR","0.61331","22.6","14.38","3600"
"SF","P.J. Hairston","CHA","CHI","0.819323","21","11.8","3500"
"SG","Tim Hardaway Jr.","ATL","BOS","0.899618","21.5","15.67","3900"
"SF","Maurice Harkless","POR","MEM","0.840394","20.8","12.47","3500"
"PF","Montrezl Harrell","HOU","DEN","0.858984","14.6","12.18","3500"
"SG","Devin Harris","DAL","LAL","0.74974","23.9","18.81","4000"
"SG","Gary Harris","DEN","HOU","0.77638","24.8","16.82","3800"
"C","Spencer Hawes","CHA","CHI","1.12195","18.9","13.59","3500"
"SF","Gordon Hayward","UTAH","ORL","0.72169","34.1","30.88","6600"
"SG","Gerald Henderson","POR","MEM","0.697824","26.1","17.15","5000"
"C","Roy Hibbert","LAL","DAL","0.914167","27.2","24.06","5300"
"PF","J.J. Hickson","DEN","HOU","1.14807","20.5","19.43","4400"
"C","Jordan Hill","IND","MIN","0.79753","27.2","26.13","4900"
"PG","George Hill","IND","MIN","0.770714","36.1","35.96","6500"
"SG","Kirk Hinrich","CHI","CHA","0.75401","18.5","8.98","3500"
