name,pos,team,opp,def_pos_Pts_48,projected_minutes,projected_FD_FP,FD_salary
"PF","Quincy Acy","SAC","TOR","0.815718","19.4","14.05","3500"
"C","Steven Adams","OKC","BOS","0.963802","24.4","20.33","4300"
"SG","Jordan Adams","MEM","MIN","0.793472","3.5","2.43","3500"
"SG","Tony Allen","MEM","MIN","0.793472","23","18.15","4300"
"SF","Al-Farouq Aminu","POR","CHA","0.732755","31.8","26.2","5900"
"C","Joel Anthony","DET","LAL","1.11049","5.5","4.4","3500"
"PG","D.J. Augustin","OKC","BOS","0.683828","21.4","15.44","3500"
"SF","Matt Barnes","MEM","MIN","0.738724","24.3","16.55","3500"
"PF","Brandon Bass","LAL","DET","0.964107","20.1","16.37","3800"
"SF","Nicolas Batum","CHA","POR","0.631813","31.1","21.01","6900"
"C","Aron Baynes","DET","LAL","1.11049","14.7","11.96","3500"
"SG","Marco Belinelli","SAC","TOR","0.799271","33","24.67","3900"
"PF","Anthony Bennett","TOR","SAC","0.964562","3.1","2.61","3500"
"C","Bismack Biyombo","TOR","SAC","1.06148","15.5","12.88","4000"
"SF","Nemanja Bjelica","MIN","MEM","0.842292","25.9","18.97","4700"
"C","Tarik Black","LAL","DET","0.769479","15.9","10.97","3600"
"PG","Steve Blake","DET","LAL","0.87544","17","10.75","3500"
"PF","Trevor Booker","UTAH","ATL","0.896174","19.9","14.62","3800"
"SG","Avery Bradley","BOS","OKC","0.88412","31.8","23.5","5500"
"SG","Kobe Bryant","LAL","DET","0.759479","33.6","31.12","7200"
"SF","Reggie Bullock","DET","LAL","0.81713","3","1.63","3500"
"PG","Trey Burke","UTAH","ATL","0.834735","24.8","18.86","5200"
"SG","Alec Burks","UTAH","ATL","0.839417","32","21.55","5400"
"SF","Caron Butler","SAC","TOR","0.741292","10.7","6.41","3500"
"SF","Bruno Caboclo","TOR","SAC","0.813896","0.1","0","3500"
"SG","Kentavious Caldwell-Pope","DET","LAL","0.740718","34.2","22.2","5100"
"SF","DeMarre Carroll","TOR","SAC","0.813896","30","24.11","5900"
"SF","Vince Carter","MEM","MIN","0.738724","15.2","9.95","3500"
"SF","Omri Casspi","SAC","TOR","0.741292","30","26.53","4100"
"C","Willie Cauley-Stein","SAC","TOR","1.02244","22.8","16.6","4500"
"PG","Mario Chalmers","MEM","MIN","0.806667","23.4","17.45","4000"
"PG","Jordan Clarkson","LAL","DET","0.838958","33.1","26.92","6000"
"PF","Nick Collison","OKC","BOS","0.860807","9.8","6.18","3600"
"PG","Darren Collison","SAC","TOR","0.746875","31","27.68","5500"
"PG","Mike Conley","MEM","MIN","0.806667","31.7","27.82","6300"
"SG","Pat Connaughton","POR","CHA","0.760231","1.2","0.76","3500"
"C","Jack Cooley","UTAH","ATL","1.09061","0.9","0.44","0"
"C","DeMarcus Cousins","SAC","TOR","1.02244","34.2","40.61","10500"
"SG","Allen Crabbe","POR","CHA","0.760231","23.1","12.69","3600"
"SF","Jae Crowder","BOS","OKC","0.744074","29.3","22.93","5000"
"SG","Seth Curry","SAC","TOR","0.799271","0.1","0","3500"
"SG","Troy Daniels","CHA","POR","0.781042","0.1","0.1","3500"
"PF","Ed Davis","POR","CHA","1.04234","22","17.11","4700"
"SG","DeMar DeRozan","TOR","SAC","0.824167","36","36","7600"
"C","Gorgui Dieng","MIN","MEM","0.806521","23","20.13","4000"
"PG","Spencer Dinwiddie","DET","LAL","0.87544","3.2","2.33","3500"
"C","Andre Drummond","DET","LAL","1.11049","31.5","32.02","9700"
"SF","Kevin Durant","OKC","BOS","0.799531","0","0","0"
"SF","James Ennis","MEM","MIN","0.738724","1.1","0.47","3500"
"PF","Derrick Favors","UTAH","ATL","0.896174","34.3","35.74","8300"
"PG","Tim Frazier","POR","CHA","0.792778","1.9","1.19","3500"
"PF","Kevin Garnett","MIN","MEM","1.0159","16.5","11.74","3500"
"C","Marc Gasol","MEM","MIN","0.828611","33.9","35.74","7500"
"SF","Rudy Gay","SAC","TOR","0.741292","37.5","35.81","7500"
"C","Rudy Gobert","UTAH","ATL","1.09061","28.1","24.66","7700"
"SG","Danny Granger","DET","LAL","0.740718","2","1.03","0"
"SF","Jeff Green","MEM","MIN","0.738724","24.4","17.08","3800"
"PF","JaMychal Green","MEM","MIN","0.945833","2.9","2.43","3500"
"SF","P.J. Hairston","CHA","POR","0.631813","20.3","11.98","3500"
"PF","Tyler Hansbrough","CHA","POR","0.871271","1.9","1.3","3500"
"SF","Maurice Harkless","POR","CHA","0.732755","23.5","13.79","3500"
"C","Spencer Hawes","CHA","POR","1.0954","19.9","14.46","3500"
"SF","Gordon Hayward","UTAH","ATL","0.705019","33.6","28.51","6800"
"SG","Gerald Henderson","POR","CHA","0.760231","30.9","22.55","4700"
"C","Roy Hibbert","LAL","DET","0.769479","26.8","22.35","5400"
"SG","Darrun Hilliard","DET","LAL","0.740718","1.5","0.91","3500"
"SG","Rodney Hood","UTAH","ATL","0.839417","26.1","17.11","4500"
"PG","Marcelo Huertas","LAL","DET","0.838958","3","1.68","3500"
"PF","Serge Ibaka","OKC","BOS","0.860807","32.1","28.48","7100"
"PF","Ersan Ilyasova","DET","LAL","1.04558","27.7","22.55","4300"
"SF","Joe Ingles","UTAH","ATL","0.705019","21.1","12.7","3500"
"PG","Reggie Jackson","DET","LAL","0.87544","33.9","30.5","8000"
"C","Al Jefferson","CHA","POR","1.0954","31.2","30.22","6600"
"PF","Jonas Jerebko","BOS","OKC","0.933009","2.7","2","3500"
"C","Amir Johnson","BOS","OKC","0.838356","22.4","18.52","5200"
"SF","James Johnson","TOR","SAC","0.813896","23.4","21.83","3800"
"SG","Chris Johnson","UTAH","ATL","0.839417","2.7","1.63","3500"
"SF","Stanley Johnson","DET","LAL","0.81713","22.8","16.24","4000"
"PG","Tyus Jones","MIN","MEM","0.903896","1.5","1.01","3500"
"PG","Cory Joseph","TOR","SAC","0.852208","26.7","20.39","4100"
"C","Chris Kaman","POR","CHA","0.976597","17","14.42","3900"
"PF","Frank Kaminsky","CHA","POR","0.871271","1.6","1.11","3500"
"C","Enes Kanter","OKC","BOS","0.963802","28.9","28.1","6200"
"SF","Ryan Kelly","LAL","DET","0.688984","16.3","9.78","3700"
"C","Kosta Koufos","SAC","TOR","1.02244","24.4","18.53","4100"
"SG","Jeremy Lamb","CHA","POR","0.781042","26.4","18.91","4500"
"SG","Zach LaVine","MIN","MEM","0.712563","23.9","17.12","5800"
"PF","David Lee","BOS","OKC","0.933009","20.5","19.29","4700"
"SG","Courtney Lee","MEM","MIN","0.793472","28.6","16.46","4000"
"C","Meyers Leonard","POR","CHA","0.976597","0","0","4400"
"PG","Damian Lillard","POR","CHA","0.792778","38.5","38.78","9100"
"PG","Jeremy Lin","CHA","POR","0.963875","24.8","21.08","4700"
"PG","Kyle Lowry","TOR","SAC","0.852208","36.1","37.24","8600"
"PF","Trey Lyles","UTAH","ATL","0.896174","7.3","4.63","3500"
"SG","Cartier Martin","DET","LAL","0.740718","1.4","0.67","0"
"PF","Jarell Martin","MEM","MIN","0.945833","7.2","5.23","3500"
"SG","Kevin Martin","MIN","MEM","0.712563","33.3","25.27","4800"
"SG","C.J. McCollum","POR","CHA","0.760231","33.9","25.04","6500"
"PF","Mitch McGary","OKC","BOS","0.860807","12.5","10.63","3500"
"SG","Ben McLemore","SAC","TOR","0.799271","18.3","11.52","3600"
"SG","Jodie Meeks","DET","LAL","0.740718","0","0","3600"
"PF","Jordan Mickey","BOS","OKC","0.933009","1.1","1.01","3500"
"PG","Andre Miller","MIN","MEM","0.903896","16.1","10.42","3700"
"SF","Elijah Millsap","UTAH","ATL","0.705019","1.1","0.47","3500"
"SF","Luis Montero","POR","CHA","0.732755","5.7","3.5","3500"
"SF","Marcus Morris","DET","LAL","0.81713","34.9","26.21","6100"
"SG","Anthony Morrow","OKC","BOS","0.817768","9.5","5.84","3500"
"SF","Shabazz Muhammad","MIN","MEM","0.842292","22.7","16.8","3600"
"PF","Larry Nance Jr.","LAL","DET","0.964107","4.2","2.44","3500"
"PG","Raul Neto","UTAH","ATL","0.834735","24.9","17.78","3600"
"C","Lucas Nogueira","TOR","SAC","1.06148","0.1","0","3500"
"SF","Steve Novak","OKC","BOS","0.799531","1.2","0.69","3500"
"C","Kelly Olynyk","BOS","OKC","0.838356","18.8","15.27","3700"
"PF","Patrick Patterson","TOR","SAC","0.964562","23.6","17.6","3700"
"PF","Adreian Payne","MIN","MEM","1.0159","17.6","11.65","3500"
"C","Nikola Pekovic","MIN","MEM","0.806521","0","0","4800"
"C","Tibor Pleiss","UTAH","ATL","1.09061","3.5","2.19","3500"
"C","Mason Plumlee","POR","CHA","0.976597","26.8","22.92","5500"
"SG","Norman Powell","TOR","SAC","0.824167","1.5","1.01","3500"
"SF","Tayshaun Prince","MIN","MEM","0.842292","22.6","13.11","3500"
"PF","Julius Randle","LAL","DET","0.964107","31.5","26.81","5800"
"PF","Zach Randolph","MEM","MIN","0.945833","30.5","29.49","7000"
"SG","Andre Roberson","OKC","BOS","0.817768","20.9","12.99","3500"
"PG","Brian Roberts","CHA","POR","0.963875","5","2.55","3500"
"PG","Rajon Rondo","SAC","TOR","0.746875","31.8","29.77","7500"
"SG","Terrence Ross","TOR","SAC","0.824167","0","0","3500"
"PG","Terry Rozier","BOS","OKC","0.775394","2.5","1.63","3500"
"PG","Ricky Rubio","MIN","MEM","0.903896","30.3","23.77","7400"
"SF","Damjan Rudez","MIN","MEM","0.842292","0.1","0","3500"
"PG","D'Angelo Russell","LAL","DET","0.838958","26","18.2","5100"
"C","Robert Sacre","LAL","DET","0.769479","3","2.07","3500"
"PF","Luis Scola","TOR","SAC","0.964562","26.3","27.62","4500"
"SF","Kyle Singler","OKC","BOS","0.799531","12.3","7.11","3500"
"PG","Marcus Smart","BOS","OKC","0.775394","29.5","21.68","5300"
"PG","Russ Smith","MEM","MIN","0.806667","1.8","1.27","3500"
"PF","Jared Sullinger","BOS","OKC","0.933009","25.4","23.84","5600"
"PG","Isaiah Thomas","BOS","OKC","0.775394","35.5","35.42","7200"
"PF","Anthony Tolliver","DET","LAL","1.04558","21.6","13.48","3600"
"C","Karl-Anthony Towns","MIN","MEM","0.806521","30.2","24.5","6900"
"SF","Evan Turner","BOS","OKC","0.744074","25.3","20.44","5800"
"C","Jonas Valanciunas","TOR","SAC","1.06148","29","27.5","6400"
"PF","Noah Vonleh","POR","CHA","1.04234","2.8","1.69","3500"
"SG","Dion Waiters","OKC","BOS","0.817768","26.7","18.78","4800"
"PG","Kemba Walker","CHA","POR","0.963875","34.1","31.97","7000"
"SF","Andrew Wiggins","MIN","MEM","0.842292","29.9","20.37","7100"
"PF","Marvin Williams","CHA","POR","0.871271","28.8","18.19","5200"
"SG","Louis Williams","LAL","DET","0.759479","33","29.36","5100"
"C","Jeff Withey","UTAH","ATL","1.09061","9.9","7.31","3600"
"SF","Metta World Peace","LAL","DET","0.688984","12.5","8.87","3500"
"PG","Delon Wright","TOR","SAC","0.852208","1.3","0.91","3500"
"C","Brandan Wright","MEM","MIN","0.828611","21","18.18","3700"
"SF","James Young","BOS","OKC","0.744074","0.1","0","3500"
"SG","Nick Young","LAL","DET","0.759479","23.8","17.87","3600"
"C","Tyler Zeller","BOS","OKC","0.838356","2.1","1.43","3800"
"PF","Cody Zeller","CHA","POR","0.871271","24.1","18.85","4200"
