name,pos,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary
"Marc Gasol","C","C","MEM","SAC","31.4","36.46","7700"
"Zach Randolph","PF","PF","MEM","SAC","32.6","31.28","6800"
"Mike Conley","PG","PG","MEM","SAC","32.3","28.56","6600"
"Tony Allen","SG","SF","MEM","SAC","28.4","23.27","4800"
"Jeff Green","SF","SF","MEM","SAC","25.2","17.68","4600"
"Beno Udrih","PG","PG","MEM","SAC","21.7","15.83","4000"
"Brandan Wright","C","C","MEM","SAC","22.4","19.41","3900"
"Courtney Lee","SG","SG","MEM","SAC","29","15.88","3900"
"Russ Smith","PG","SG","MEM","SAC","3.8","3.05","3500"
"Jarnell Stokes","PF","PF","MEM","SAC","2.4","1.99","3500"
"JaMychal Green","PF","SF","MEM","SAC","3.1","2.87","3500"
"Vince Carter","SF","SF","MEM","SAC","19.4","11.38","3500"
"Matt Barnes","SF","SF","MEM","SAC","27.2","16.77","3500"
"Jarell Martin","PF","PF","MEM","SAC","0","0","3500"
"Jordan Adams","SG","SG","MEM","SAC","1.9","1.24","3500"
"Paul Millsap","PF","PF","ATL","MIA","34.7","36.82","7900"
"Jeff Teague","PG","PG","ATL","MIA","34.9","35.44","7100"
"Al Horford","C","C","ATL","MIA","33.5","35.46","7500"
"Kyle Korver","SG","SF","ATL","MIA","32.2","22.64","5300"
"Dennis Schroder","PG","SG","ATL","MIA","25.1","20.72","4500"
"Thabo Sefolosha","SF","SG","ATL","MIA","0","0","4100"
"Tiago Splitter","C","C","ATL","MIA","24.6","20.33","4000"
"Tim Hardaway Jr.","SG","SG","ATL","MIA","23","14.46","3900"
"Mike Muscala","PF","PF","ATL","MIA","3.1","2.27","3800"
"Kent Bazemore","SG","SG","ATL","MIA","22.9","13.55","4700"
"Shelvin Mack","PG","PG","ATL","MIA","2.7","2.06","3500"
"Justin Holiday","SG","SG","ATL","MIA","2.4","1.61","3500"
"Mike Scott","SF","PF","ATL","MIA","18.1","11.04","3500"
"Walter Tavares","C","C","ATL","MIA","0.9","0.44","3500"
"Derrick Rose","PG","PG","CHI","CHA","30.1","23.67","7300"
"Pau Gasol","PF","C","CHI","CHA","33.6","35.75","7800"
"Joakim Noah","C","C","CHI","CHA","28.1","21.24","5300"
"Nikola Mirotic","SF","PF","CHI","CHA","28.1","24.86","6200"
"Taj Gibson","PF","PF","CHI","CHA","29.7","23.65","4400"
"Aaron Brooks","PG","PG","CHI","CHA","25.4","21.57","4100"
"Mike Dunleavy","SF","SF","CHI","CHA","0","0","4200"
"Doug McDermott","SF","SF","CHI","CHA","13.5","7.53","3700"
"Tony Snell","SG","SF","CHI","CHA","23.6","13.51","3700"
"Kirk Hinrich","SG","PG","CHI","CHA","0","0","3500"
"E'Twaun Moore","PG","SG","CHI","CHA","2.7","1.34","3500"
"Bobby Portis","PF","PF","CHI","CHA","1.1","0.76","3800"
"Cameron Bairstow","PF","C","CHI","CHA","1.3","0.71","3500"
"Andre Drummond","C","C","DET","IND","30.6","31.92","8900"
"Reggie Jackson","PG","PG","DET","IND","29.2","27.41","8200"
"Marcus Morris","SF","SF","DET","IND","29.1","19.27","5800"
"Ersan Ilyasova","PF","PF","DET","IND","30.7","24.21","4700"
"Kentavious Caldwell-Pope","SG","SG","DET","IND","28.9","18.33","4900"
"Stanley Johnson","SF","SF","DET","IND","7.6","4.61","4200"
"Anthony Tolliver","PF","PF","DET","IND","23.6","14.67","4100"
"Aron Baynes","C","C","DET","IND","15.8","11.27","3700"
"Jodie Meeks","SG","SG","DET","IND","0","0","3600"
"Steve Blake","PG","PG","DET","IND","19.9","13.49","3700"
"Spencer Dinwiddie","PG","PG","DET","IND","2","1.17","3500"
"Joel Anthony","C","C","DET","IND","6.5","3.79","3500"
"Danny Granger","SG","SF","DET","IND","2.2","1.23","0"
"Darrun Hilliard","SG","SF","DET","IND","2.1","1.53","3500"
"Cartier Martin","SG","SG","DET","IND","3.7","1.9","0"
"Reggie Bullock","SF","SF","DET","IND","2.3","1.23","3500"
"Anthony Davis","PF","PF","NO","ORL","34.1","39.1","10700"
"Tyreke Evans","PG","SF","NO","ORL","0","0","0"
"Jrue Holiday","PG","PG","NO","ORL","32","26.95","5900"
"Ryan Anderson","PF","PF","NO","ORL","28.3","24","5700"
"Eric Gordon","SG","SG","NO","ORL","30.4","20.23","5200"
"Omer Asik","C","C","NO","ORL","27.5","23.73","4200"
"Dante Cunningham","PF","SF","NO","ORL","27","14.18","4000"
"Sean Kilpatrick","SG","SG","NO","ORL","2.7","1.66","0"
"Quincy Pondexter","SF","SG","NO","ORL","0","0","3900"
"Alonzo Gee","SF","SF","NO","ORL","2.9","2.25","3500"
"Norris Cole","PG","PG","NO","ORL","0","0","3500"
"Luke Babbitt","SF","PF","NO","ORL","3.8","2.49","3500"
"Alexis Ajinca","C","C","NO","ORL","16.8","15.78","3500"
"Nate Robinson","PG","PG","NO","ORL","14.4","9.53","0"
"Kendrick Perkins","C","C","NO","ORL","0","0","3500"
