name,pos,team,opp,def_pos_Pts_48,projected_minutes,projected_FD_FP,FD_salary
"SG","Jordan Adams","MEM","HOU","0.801753","3","2.23","3500"
"SG","Arron Afflalo","NY","OKC","0.859337","30.3","21.74","4600"
"C","Cole Aldrich","LAC","POR","1.07384","8.5","5.56","3500"
"SG","Tony Allen","MEM","HOU","0.801753","24.1","17.22","4200"
"SF","Al-Farouq Aminu","POR","LAC","0.713958","28.5","22.21","5800"
"SF","Carmelo Anthony","NY","OKC","0.728617","35.6","32.21","9600"
"C","Joel Anthony","DET","MIN","0.898576","7.4","5.68","3500"
"SF","Trevor Ariza","HOU","MEM","0.775399","30.5","22.17","6000"
"SG","Leandro Barbosa","GS","CHI","0.777159","17.3","11.23","3600"
"C","Andrea Bargnani","BKN","BOS","0.965187","20.3","17.35","3500"
"SF","Harrison Barnes","GS","CHI","0.836174","30.5","18.21","5100"
"SF","Matt Barnes","MEM","HOU","0.885747","20.1","12.59","3500"
"PF","Brandon Bass","LAL","TOR","0.837614","21.9","16.92","3700"
"SF","Nicolas Batum","CHA","PHI","0.996094","31.5","24.45","7000"
"C","Aron Baynes","DET","MIN","0.898576","11.2","9.24","3500"
"PG","Patrick Beverley","HOU","MEM","0.93783","15.1","8.71","3500"
"C","Bismack Biyombo","TOR","LAL","1.07924","17.4","13.73","3500"
"SF","Nemanja Bjelica","MIN","DET","0.672333","25","16.52","4000"
"C","Tarik Black","LAL","TOR","0.993524","10.8","8.61","3500"
"PG","Steve Blake","DET","MIN","0.846163","18.6","13.47","3500"
"SG","Eric Bledsoe","PHX","DEN","0.925521","36.2","39.04","8500"
"SF","Bojan Bogdanovic","BKN","BOS","0.812354","26.8","16.61","3900"
"C","Andrew Bogut","GS","CHI","1.02886","25.4","22.58","5200"
"SG","Devin Booker","PHX","DEN","0.925521","2.5","1.43","3500"
"PF","Trevor Booker","UTAH","DAL","1.03948","18.3","13.53","3700"
"SG","Avery Bradley","BOS","BKN","0.814253","28.1","19.32","5700"
"SF","Corey Brewer","HOU","MEM","0.775399","20.7","12.95","3700"
"SG","Markel Brown","BKN","BOS","0.80456","16.9","9.25","3500"
"SG","Kobe Bryant","LAL","TOR","0.797535","31.6","26.18","7400"
"PG","Trey Burke","UTAH","DAL","0.845937","27.5","21.84","5000"
"SG","Alec Burks","UTAH","DAL","0.734653","28.9","20.94","5400"
"PG","Jose Calderon","NY","OKC","0.842443","27.2","18.51","4400"
"SG","Kentavious Caldwell-Pope","DET","MIN","0.767865","32.6","22.3","5000"
"PG","Isaiah Canaan","PHI","CHA","0.802008","29","21.38","4000"
"C","Clint Capela","HOU","MEM","0.833333","19.9","14.73","4300"
"SF","DeMarre Carroll","TOR","LAL","0.843125","35.3","28.16","5900"
"SF","Vince Carter","MEM","HOU","0.885747","16.9","9.69","3500"
"PG","Mario Chalmers","MEM","HOU","0.921719","20.4","15.14","4400"
"C","Tyson Chandler","PHX","DEN","1.01441","28.9","26.1","5400"
"PG","Jordan Clarkson","LAL","TOR","0.781111","31.1","25.13","6000"
"PG","Mike Conley","MEM","HOU","0.921719","31.9","28.38","6700"
"SF","Robert Covington","PHI","CHA","0.742557","27.5","18.56","5500"
"SG","Allen Crabbe","POR","LAC","0.852583","24.1","13.62","3700"
"SG","Jamal Crawford","LAC","POR","0.852274","29","24.84","4400"
"SF","Jae Crowder","BOS","BKN","0.793941","30.2","23.14","5200"
"PG","Stephen Curry","GS","CHI","0.910333","36.5","40.59","11000"
"PF","Ed Davis","POR","LAC","0.874141","22.9","18.98","4200"
"SG","DeMar DeRozan","TOR","LAL","0.754458","36.4","35.77","7800"
"C","Gorgui Dieng","MIN","DET","0.78875","20.3","15.7","4100"
"PG","Spencer Dinwiddie","DET","MIN","0.846163","3.3","2.24","3500"
"C","Andre Drummond","DET","MIN","0.898576","30.9","32.36","10100"
"SG","Wayne Ellington","BKN","BOS","0.80456","3.6","2.3","3500"
"C","Festus Ezeli","GS","CHI","1.02886","21.6","17.78","4300"
"PF","Derrick Favors","UTAH","DAL","1.03948","31","29.84","8300"
"SG","Langston Galloway","NY","OKC","0.859337","31.2","24.67","4700"
"PF","Kevin Garnett","MIN","DET","0.997708","15","11.26","3700"
"C","Marc Gasol","MEM","HOU","0.994514","34.2","37.18","7500"
"C","Rudy Gobert","UTAH","DAL","0.904375","29.6","27.45","7400"
"PG","Archie Goodwin","PHX","DEN","0.914271","16.9","13.35","3500"
"SG","Danny Granger","DET","MIN","0.767865","3.1","1.9","0"
"PG","Jerian Grant","NY","OKC","0.842443","24.4","17.62","3600"
"PF","Jerami Grant","PHI","CHA","1.06667","26.4","21.54","4400"
"PF","Draymond Green","GS","CHI","0.766042","30.9","26.87","7900"
"SF","Jeff Green","MEM","HOU","0.885747","28.2","18.18","4300"
"PF","JaMychal Green","MEM","HOU","1.05915","18.7","14.44","3700"
"SF","P.J. Hairston","CHA","PHI","0.996094","18.3","11.58","3500"
"PF","Tyler Hansbrough","CHA","PHI","1.03731","3.1","2.95","3500"
"SG","James Harden","HOU","MEM","0.729913","39.3","41.97","10300"
"SF","Maurice Harkless","POR","LAC","0.713958","21.4","14.28","3500"
"PF","Montrezl Harrell","HOU","MEM","1.00675","2.7","1.73","3500"
"C","Spencer Hawes","CHA","PHI","1.01275","19","14.79","3700"
"SF","Gordon Hayward","UTAH","DAL","0.63733","35.1","31.83","6500"
"SG","Gerald Henderson","POR","LAC","0.852583","26.8","18.07","3800"
"C","Roy Hibbert","LAL","TOR","0.993524","26.3","22.07","5400"
"SF","Rondae Hollis-Jefferson","BKN","BOS","0.812354","22","16.32","3500"
"SG","Rodney Hood","UTAH","DAL","0.734653","28.8","20.38","4700"
"C","Dwight Howard","HOU","MEM","0.833333","33.2","30.42","8100"
"PG","Marcelo Huertas","LAL","TOR","0.781111","4","2.74","3500"
"SF","Andre Iguodala","GS","CHI","0.836174","28.8","20.71","4700"
"PF","Ersan Ilyasova","DET","MIN","0.897066","29.9","24.13","4500"
"SF","Joe Ingles","UTAH","DAL","0.63733","14.2","9.2","3500"
"PG","Jarrett Jack","BKN","BOS","0.694354","31.1","24.95","6600"
"PG","Reggie Jackson","DET","MIN","0.846163","33.4","31.33","7800"
"C","Al Jefferson","CHA","PHI","1.01275","29.5","30.92","6900"
"PF","Jonas Jerebko","BOS","BKN","0.841193","3.8","2.79","3500"
"SG","Joe Johnson","BKN","BOS","0.80456","34.1","23.18","6400"
"C","Amir Johnson","BOS","BKN","1.04536","24.7","21.46","5100"
"SF","Wesley Johnson","LAC","POR","0.68566","3.8","2.3","3600"
"SF","James Johnson","TOR","LAL","0.843125","14.7","13.65","3500"
"SF","Stanley Johnson","DET","MIN","0.730758","22.7","15.54","3800"
"PF","Terrence Jones","HOU","MEM","1.00675","25.9","21.12","5700"
"C","DeAndre Jordan","LAC","POR","1.07384","30.6","27.33","7600"
"PG","Cory Joseph","TOR","LAL","0.940813","27.5","20.12","4400"
"C","Chris Kaman","POR","LAC","1.01348","17.4","14.6","3700"
"PF","Frank Kaminsky","CHA","PHI","1.03731","3.4","2.4","3600"
"SF","Ryan Kelly","LAL","TOR","0.718542","4.5","3.15","3700"
"PG","Brandon Knight","PHX","DEN","0.914271","35.8","35.97","7500"
"SG","Jeremy Lamb","CHA","PHI","0.67526","26.7","21.11","4600"
"PG","Shane Larkin","BKN","BOS","0.694354","16.1","10.92","4200"
"SG","Zach LaVine","MIN","DET","0.79575","28.5","22.32","5800"
"PG","Ty Lawson","HOU","MEM","0.93783","34.6","27.14","5600"
"PF","David Lee","BOS","BKN","0.841193","21.3","19.21","4200"
"SG","Courtney Lee","MEM","HOU","0.801753","26.5","15.26","3900"
"C","Alex Len","PHX","DEN","1.01441","14.9","13.12","4000"
"PF","Jon Leuer","PHX","DEN","0.882014","21.3","19.38","3500"
"PG","Damian Lillard","POR","LAC","0.82625","38.1","38.71","9000"
"PG","Jeremy Lin","CHA","PHI","0.921553","25.6","21.62","4700"
"PG","Shaun Livingston","GS","CHI","0.910333","21.9","13.49","3500"
"C","Brook Lopez","BKN","BOS","0.965187","32.9","34.36","8200"
