name,pos,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary
"James Harden","GF","SG","HOU","MIA","37.5","43.78","10400"
"Russell Westbrook","PG","PG","OKC","DEN","35.3","44.04","11200"
"LaMarcus Aldridge","FC","PF","SA","BOS","34.4","39.87","8300"
"Jeff Teague","PG","PG","ATL","CHA","35.5","38.08","7100"
"Nikola Vucevic","FC","C","ORL","CHI","37.1","38.62","7900"
"Dirk Nowitzki","FC","PF","DAL","LAL","34.8","33.46","6300"
"Paul Millsap","FC","PF","ATL","CHA","34.6","38.96","7900"
"Jimmy Butler","GF","SG","CHI","ORL","38.4","34.19","7800"
"Tim Duncan","FC","C","SA","BOS","32.4","40.87","7200"
"DeMar DeRozan","GF","SG","TOR","MIL","36.2","32.39","8200"
"Kyle Lowry","PG","PG","TOR","MIL","35.8","34.46","7700"
"Pau Gasol","FC","C","CHI","ORL","31.7","38.06","7900"
"Al Horford","FC","C","ATL","CHA","33.6","36.43","7400"
"Louis Williams","SG","PG","LAL","DAL","30.9","27.14","4900"
"Chris Bosh","FC","PF","MIA","HOU","34.2","32.79","8000"
"Kawhi Leonard","GF","SF","SA","BOS","33.2","33.63","8000"
"Victor Oladipo","G","SG","ORL","CHI","35.8","30.45","8100"
"Danilo Gallinari","SF","SF","DEN","OKC","32.8","27.67","6600"
"Kobe Bryant","GF","SF","LAL","DAL","35.6","30.98","7900"
"Dwyane Wade","G","SG","MIA","HOU","33.2","29.93","7100"
"Derrick Rose","PG","PG","CHI","ORL","32.2","31.1","7500"
"Chandler Parsons","F","SF","DAL","LAL","32.3","26.5","7000"
"Tobias Harris","F","PF","ORL","CHI","33.8","27.38","7100"
"Greg Monroe","FC","C","MIL","TOR","34.9","32.47","8300"
"Serge Ibaka","FC","PF","OKC","DEN","32.5","33.55","6900"
"Isaiah Thomas","PG","PG","BOS","SA","30.7","27.08","7400"
"DeMarre Carroll","F","SF","TOR","MIL","34.7","28.62","6300"
"Goran Dragic","G","PG","MIA","HOU","34.2","28.88","6300"
"David Lee","FC","PF","BOS","SA","33.1","30.27","5300"
"Dion Waiters","GF","SG","OKC","DEN","28.8","24.85","4700"
"Tony Parker","PG","PG","SA","BOS","28.7","24.92","5300"
"Enes Kanter","C","C","OKC","DEN","26.6","28.43","6800"
"Kemba Walker","PG","PG","CHA","ATL","33","27.57","7200"
"Nick Young","GF","SF","LAL","DAL","27.3","21.37","4100"
"Al Jefferson","FC","C","CHA","ATL","31.4","29.35","7500"
"Deron Williams","PG","PG","DAL","LAL","32.4","27.23","6900"
"Jordan Clarkson","G","SG","LAL","DAL","28.6","23.6","6600"
"Gerald Green","GF","SF","MIA","HOU","25.9","21.2","3800"
"Dwight Howard","FC","C","HOU","MIA","31.7","29.88","8200"
"Dennis Schroder","PG","SG","ATL","CHA","26","22.98","4600"
"Avery Bradley","G","SG","BOS","SA","31.5","23.51","5700"
"Terrence Jones","F","PF","HOU","MIA","34.4","30.82","5700"
"Ty Lawson","PG","PG","HOU","MIA","35.2","29.48","7100"
"David West","PF","PF","SA","BOS","30.4","26.08","4500"
"Nikola Mirotic","F","PF","CHI","ORL","29.8","26.45","6200"
"Jabari Parker","F","SF","MIL","TOR","32.5","24.14","6200"
"Luol Deng","F","SF","MIA","HOU","31.8","22.01","5700"
"Hassan Whiteside","C","C","MIA","HOU","33","32","7400"
"Trevor Ariza","GF","SF","HOU","MIA","34.9","27.12","5500"
"Tim Hardaway Jr.","SG","SG","ATL","CHA","29.5","21.86","3900"
"Emmanuel Mudiay","PG","PG","DEN","OKC","29.4","25.52","5500"
"Giannis Antetokounmpo","F","SF","MIL","TOR","31.7","28.11","6500"
"Danny Green","GF","SG","SA","BOS","30.4","24.45","4100"
"Kyle Korver","GF","SG","ATL","CHA","32.7","23.53","5500"
"Aaron Brooks","PG","PG","CHI","ORL","26.2","23.15","4200"
"Khris Middleton","GF","SG","MIL","TOR","32.4","23.21","5900"
"Jeremy Lin","G","PG","CHA","ATL","29.2","24.52","4800"
"Michael Carter-Williams","PG","PG","MIL","TOR","31.3","29.39","7000"
"Nicolas Batum","GF","SG","CHA","ATL","35.3","24.42","6300"
"Devin Harris","G","PG","DAL","LAL","25","21.19","4300"
"Manu Ginobili","GF","SG","SA","BOS","24.2","20.89","4400"
"Elfrid Payton","PG","PG","ORL","CHI","30.2","26.07","7400"
"Roy Hibbert","C","C","LAL","DAL","24.6","22.41","5400"
"Randy Foye","G","SG","DEN","OKC","24.6","19.55","3800"
"Mario Hezonja","SG","SG","ORL","CHI","27.6","21","3800"
"O.J. Mayo","G","SG","MIL","TOR","26.4","20.46","3800"
"Evan Fournier","SG","SF","ORL","CHI","28.3","16.43","4300"
