name,pos,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary
"James Harden","GF","SG","HOU","GS","38","42.84","10700"
"LeBron James","F","SF","CLE","MIA","37.3","42.28","10700"
"Stephen Curry","G","PG","GS","HOU","36.3","42.84","10400"
"LaMarcus Aldridge","FC","PF","SA","BKN","34.2","38.86","8400"
"DeMar DeRozan","GF","SG","TOR","BOS","36.3","36.11","8100"
"Kyle Lowry","PG","PG","TOR","BOS","37.7","38.64","7500"
"Klay Thompson","GF","SG","GS","HOU","32.4","33.03","7100"
"Jeff Teague","PG","PG","ATL","CHA","35.5","37.98","7200"
"Jimmy Butler","GF","SG","CHI","DET","38.3","33.8","7700"
"Gordon Hayward","GF","SF","UTAH","PHI","35.2","36.72","7200"
"Rudy Gay","F","SF","SAC","LAL","34.7","33.72","7900"
"Russell Westbrook","PG","PG","OKC","ORL","34.4","38.89","10800"
"Paul Millsap","FC","PF","ATL","CHA","34.6","38.96","7700"
"Damian Lillard","PG","PG","POR","PHX","34.6","33.88","9100"
"Pau Gasol","FC","C","CHI","DET","32","37.63","7800"
"Nikola Vucevic","FC","C","ORL","OKC","35.1","37.69","7700"
"Louis Williams","G","PG","LAL","SAC","31.9","28.65","4900"
"Reggie Jackson","G","PG","DET","CHI","37.3","33.06","8100"
"Chris Bosh","FC","PF","MIA","CLE","35.5","31.23","8100"
"DeMarcus Cousins","FC","PF","SAC","LAL","35.7","40.68","10900"
"Al Horford","FC","C","ATL","CHA","33.6","36.43","7200"
"Derrick Favors","FC","PF","UTAH","PHI","31.9","33.68","7400"
"Kobe Bryant","GF","SF","LAL","SAC","35","34.09","8200"
"Dwyane Wade","G","SG","MIA","CLE","32.7","31.71","7000"
"Andre Drummond","FC","C","DET","CHI","36","34.79","8900"
"Andrew Wiggins","GF","SG","MIN","DEN","34.4","28.46","7100"
"Kevin Martin","GF","SG","MIN","DEN","29.4","25.81","5200"
"Tim Duncan","FC","C","SA","BKN","31.9","36.12","7300"
"Brook Lopez","C","C","BKN","SA","33","33.38","7900"
"Kawhi Leonard","GF","SF","SA","BKN","33.3","34.08","8100"
"John Wall","PG","PG","WSH","MIL","34.8","34.81","9600"
