name,pos,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary
"Marc Gasol","C","C","MEM","SAC","32","38.31","7700"
"Zach Randolph","PF","PF","MEM","SAC","31.9","30.11","6800"
"Mike Conley","PG","PG","MEM","SAC","33","29.81","6600"
"Tony Allen","SG","SF","MEM","SAC","28.6","22.29","4800"
"Jeff Green","SF","SF","MEM","SAC","29.2","19.91","4600"
"Beno Udrih","PG","PG","MEM","SAC","20.5","14.86","4000"
"Brandan Wright","C","C","MEM","SAC","22.3","18.84","3900"
"Courtney Lee","SG","SG","MEM","SAC","30.9","18.19","3900"
"Russ Smith","PG","SG","MEM","SAC","4.2","3.2","3500"
"Jarnell Stokes","PF","PF","MEM","SAC","2.3","1.87","3500"
"JaMychal Green","PF","SF","MEM","SAC","3","2.55","3500"
"Vince Carter","SF","SF","MEM","SAC","19.5","13.08","3500"
"Matt Barnes","SF","SF","MEM","SAC","23.6","13.2","3500"
"Jarell Martin","PF","PF","MEM","SAC","0","0","3500"
"Jordan Adams","SG","SG","MEM","SAC","2.3","1.44","3500"
"Paul Millsap","PF","PF","ATL","MIA","34.1","36.4","7900"
"Jeff Teague","PG","PG","ATL","MIA","32.9","35.37","7100"
"Al Horford","C","C","ATL","MIA","33.7","34.9","7500"
"Kyle Korver","SG","SF","ATL","MIA","31.7","22.99","5300"
"Dennis Schroder","PG","SG","ATL","MIA","23.7","19.32","4500"
"Thabo Sefolosha","SF","SG","ATL","MIA","0","0","4100"
"Tiago Splitter","C","C","ATL","MIA","24","19.91","4000"
"Tim Hardaway Jr.","SG","SG","ATL","MIA","27.4","18.74","3900"
"Mike Muscala","PF","PF","ATL","MIA","3.3","2.61","3800"
"Kent Bazemore","SG","SG","ATL","MIA","30.4","17.65","4700"
"Shelvin Mack","PG","PG","ATL","MIA","3.2","2.33","3500"
"Justin Holiday","SG","SG","ATL","MIA","2.1","1.31","3500"
"Mike Scott","SF","PF","ATL","MIA","21","13.47","3500"
"Derrick Rose","PG","PG","CHI","CHA","30","26.37","7300"
"Pau Gasol","PF","C","CHI","CHA","31.2","34.01","7800"
"Joakim Noah","C","C","CHI","CHA","28","22.32","5300"
"Nikola Mirotic","SF","PF","CHI","CHA","32.8","28.68","6200"
"Taj Gibson","PF","PF","CHI","CHA","23.4","20.24","4400"
"Aaron Brooks","PG","PG","CHI","CHA","25.9","22.45","4100"
"Mike Dunleavy","SF","SF","CHI","CHA","0","0","4200"
"Doug McDermott","SF","SF","CHI","CHA","23.2","12.54","3700"
"Tony Snell","SG","SF","CHI","CHA","2.1","0.89","3700"
"Kirk Hinrich","SG","PG","CHI","CHA","21.7","11.9","3500"
"E'Twaun Moore","PG","SG","CHI","CHA","2.7","1.36","3500"
"Bobby Portis","PF","PF","CHI","CHA","1.2","0.76","3800"
"Cameron Bairstow","PF","C","CHI","CHA","1.6","0.81","3500"
"Andre Drummond","C","C","DET","IND","37.4","39.22","8900"
"Reggie Jackson","PG","PG","DET","IND","33.7","31.01","8200"
"Marcus Morris","SF","SF","DET","IND","24","15.1","5800"
"Ersan Ilyasova","PF","PF","DET","IND","37.4","29.66","4700"
"Kentavious Caldwell-Pope","SG","SG","DET","IND","27.7","16.68","4900"
"Stanley Johnson","SF","SF","DET","IND","9","5.2","4200"
"Anthony Tolliver","PF","PF","DET","IND","9.4","5.83","4100"
"Aron Baynes","C","C","DET","IND","16.1","12.73","3700"
"Jodie Meeks","SG","SG","DET","IND","0","0","3600"
"Steve Blake","PG","PG","DET","IND","18.8","12.66","3700"
"Spencer Dinwiddie","PG","PG","DET","IND","2","1.17","3500"
"Joel Anthony","C","C","DET","IND","6.9","5.09","3500"
"Danny Granger","SG","SF","DET","IND","0","0","0"
"Darrun Hilliard","SG","SF","DET","IND","2","1.55","3500"
"Cartier Martin","SG","SG","DET","IND","26.4","13.12","0"
"Reggie Bullock","SF","SF","DET","IND","2.3","1.23","3500"
"Anthony Davis","PF","PF","NO","ORL","34.2","40.22","10700"
"Tyreke Evans","PG","SF","NO","ORL","0","0","0"
"Jrue Holiday","PG","PG","NO","ORL","16","14.87","5900"
"Ryan Anderson","PF","PF","NO","ORL","25.5","20.72","5700"
"Eric Gordon","SG","SG","NO","ORL","35.4","25.03","5200"
"Omer Asik","C","C","NO","ORL","0","0","4200"
"Dante Cunningham","PF","SF","NO","ORL","3.5","1.97","4000"
"Sean Kilpatrick","SG","SG","NO","ORL","2.3","1.46","0"
"Quincy Pondexter","SF","SG","NO","ORL","0","0","3900"
"Alonzo Gee","SF","SF","NO","ORL","2.4","1.53","3500"
"Norris Cole","PG","PG","NO","ORL","0","0","3500"
"Luke Babbitt","SF","PF","NO","ORL","3.1","2.17","3500"
"Alexis Ajinca","C","C","NO","ORL","0","0","3500"
"Nate Robinson","PG","PG","NO","ORL","0","0","0"
"Kendrick Perkins","C","C","NO","ORL","2.7","1.79","3500"
