name,pos,team,opp,def_pos_Pts_48,projected_minutes,projected_FD_FP,FD_salary
"PF","Quincy Acy","SAC","DET","0.964107","15.6","11.45","3500"
"SG","Arron Afflalo","NY","CHA","0.778958","24.9","15.29","4600"
"C","Alexis Ajinca","NO","ATL","1.09146","17.8","15.8","3500"
"C","Cole Aldrich","LAC","DAL","0.935243","11.5","10.17","3600"
"PF","LaMarcus Aldridge","SA","POR","0.864974","36.7","37.46","8100"
"PF","Lavoy Allen","IND","BOS","0.884542","20.6","16.43","3600"
"PF","Ryan Anderson","NO","ATL","0.922107","33.3","27.6","5800"
"SF","Justin Anderson","DAL","LAC","0.741637","7.6","5.11","3500"
"SG","Giannis Antetokounmpo","MIL","DEN","0.901875","38","31.54","7000"
"SF","Carmelo Anthony","NY","CHA","0.71934","34","33.2","9400"
"C","Joel Anthony","DET","SAC","1.13578","6.6","4.75","3500"
"SF","Trevor Ariza","HOU","BKN","0.848661","33.4","23.04","5800"
"C","Omer Asik","NO","ATL","1.09146","25.7","20.04","4200"
"SF","Luke Babbitt","NO","ATL","0.730648","22.4","13.01","3600"
"SG","Leandro Barbosa","GS","MEM","0.705677","13.1","9.22","3700"
"C","Andrea Bargnani","BKN","HOU","0.994167","18.7","15.82","3500"
"SF","Harrison Barnes","GS","MEM","0.823932","35","20.97","5100"
"SG","Will Barton","DEN","MIL","0.765298","27.7","20.88","4900"
"PF","Brandon Bass","LAL","ORL","0.811696","21.1","16","3700"
"PG","Jerryd Bayless","MIL","DEN","1.03455","27.6","21.7","3700"
"C","Aron Baynes","DET","SAC","1.13578","10.4","8.7","3500"
"SG","Marco Belinelli","SAC","DET","0.821726","29.2","20.01","4000"
"PG","Patrick Beverley","HOU","BKN","0.872113","22.1","14.34","3600"
"C","Bismack Biyombo","TOR","PHI","1.03819","20.3","17.76","3800"
"C","Tarik Black","LAL","ORL","0.936875","22.5","19.46","3900"
"PG","Steve Blake","DET","SAC","0.816641","17.1","10.51","3500"
"SF","Bojan Bogdanovic","BKN","HOU","0.901577","24.1","14.3","3800"
"C","Andrew Bogut","GS","MEM","0.856094","22.4","19.3","5400"
"C","Matt Bonner","SA","POR","1.07841","2.8","1.51","3500"
"SG","Avery Bradley","BOS","IND","0.819818","29.6","19.43","5800"
"SF","Corey Brewer","HOU","BKN","0.848661","24.2","17.04","3900"
"SG","Markel Brown","BKN","HOU","0.760089","16.5","10.03","3500"
"SG","Kobe Bryant","LAL","ORL","0.719375","31.9","27.08","7400"
"SF","Chase Budinger","IND","BOS","0.802333","3.1","1.95","3500"
