pos,name,gameDate,team,opp,salary,fppg,fpmax,fpmin,floor,ceil,average
"PF","Adreian Payne","2015-11-17","MIN","MIA","3500","12.9","19","2","5.17","20.63","12.9"
"C","Al Horford","2015-11-17","ATL","BKN","7800","34.88","44.1","26.7","29.41","40.35","34.88"
"C","Al Jefferson","2015-11-17","CHA","NYK","6800","25.31","43.3","13","17.16","33.46","25.31"
"C","Alexis Ajinca","2015-11-17","NOP","DEN","3500","10.06","21.8","-1.8","3.63","16.49","10.06"
"SF","Alonzo Gee","2015-11-17","NOP","DEN","3500","9.16","18.5","1.2","3.7","14.62","9.16"
"PF","Amar'e Stoudemire","2015-11-17","MIA","MIN","3900","5.6","5.6","5.6","5.6","5.6","5.6"
"C","Anderson Varejao","2015-11-17","CLE","DET","3500","5.32","12","-2","1.22","9.42","5.32"
"C","Andre Drummond","2015-11-17","DET","CLE","9800","47.07","70.4","33.4","34.94","59.19","47.065"
"SF","Andre Iguodala","2015-11-17","GSW","TOR","4700","23.09","34.2","13.5","17.16","29.03","23.095"
"PG","Andre Miller","2015-11-17","MIN","MIA","3900","14.7","27.6","2.5","4.71","24.69","14.7"
"C","Andrea Bargnani","2015-11-17","BKN","ATL","3500","8.07","28.4","-1","0.38","15.76","8.07"
"C","Andrew Bogut","2015-11-17","GSW","TOR","5200","25.4","45.6","9.9","13.53","37.27","25.4"
"SF","Andrew Wiggins","2015-11-17","MIN","MIA","7000","26.73","44","8.2","16.9","36.57","26.735"
"PF","Anthony Bennett","2015-11-17","TOR","GSW","3500","4.23","7.2","0.2","1.93","6.54","4.235"
"PF","Anthony Davis","2015-11-17","NOP","DEN","10900","45.04","72.5","29.2","31.5","58.58","45.04"
"PF","Anthony Tolliver","2015-11-17","DET","CLE","3500","10.56","19.8","0.2","3.92","17.21","10.565"
"C","Aron Baynes","2015-11-17","DET","CLE","3500","8.78","12.7","3.2","5.7","11.85","8.775"
"SG","Arron Afflalo","2015-11-17","NYK","CHA","4500","17.3","23.6","7.6","10.34","24.26","17.3"
"PG","Beno Udrih","2015-11-17","MIA","MIN","3500","11.1","25.4","3","3.9","18.3","11.1"
"C","Bismack Biyombo","2015-11-17","TOR","GSW","3900","15.44","28","9.2","10.63","20.25","15.44"
"SF","Bojan Bogdanovic","2015-11-17","BKN","ATL","4200","17.1","36.3","7.2","8.9","25.3","17.1"
"SG","Bradley Beal","2015-11-17","WAS","MIL","7300","31.38","42","19.2","24.43","38.34","31.385"
"SG","Brandon Rush","2015-11-17","GSW","TOR","3500","11.18","16.8","4.4","6.62","15.73","11.175"
"PG","Brian Roberts","2015-11-17","CHA","NYK","3500","3.22","7.7","1","0.71","5.73","3.22"
"C","Brook Lopez","2015-11-17","BKN","ATL","8000","34.5","44.7","26","27.99","41.01","34.5"
"SF","Carmelo Anthony","2015-11-17","NYK","CHA","9600","38.35","51.4","25.8","30.61","46.08","38.345"
"C","Chris Andersen","2015-11-17","MIA","MIN","3500","5.8","5.8","5.8","5.8","5.8","5.8"
"PF","Chris Bosh","2015-11-17","MIA","MIN","8200","36.21","45.6","23.6","29.89","42.53","36.21"
"SF","Chris Copeland","2015-11-17","MIL","WAS","3500","8.84","11.4","3.9","6.1","11.58","8.84"
"SF","Cleanthony Early","2015-11-17","NYK","CHA","3500","4.3","6.7","1.2","2","6.6","4.3"
"PF","Cody Zeller","2015-11-17","CHA","NYK","4100","17.86","25.7","9.4","12.18","23.54","17.86"
"PG","Cory Joseph","2015-11-17","TOR","GSW","4300","17.62","32.2","3.9","9.53","25.71","17.62"
"SF","Damien Inglis","2015-11-17","MIL","WAS","3500","5.4","10.3","1.2","1.85","8.95","5.4"
"SF","Damjan Rudez","2015-11-17","MIN","MIA","3500","2.28","5.7","-1","-0.2","4.75","2.275"
"SF","Danilo Gallinari","2015-11-17","DEN","NOP","6600","27.42","45.1","12.9","17.23","37.61","27.42"
"PF","Dante Cunningham","2015-11-17","NOP","DEN","3500","11.11","15.7","5.6","8.04","14.18","11.11"
"PF","Darrell Arthur","2015-11-17","DEN","NOP","3500","11.38","17.8","5.2","7.83","14.93","11.38"
"C","DeJuan Blair","2015-11-17","WAS","MIL","3500","5.47","15.8","-0.8","-1.9","12.83","5.465"
"PG","Delon Wright","2015-11-17","TOR","GSW","3500","1.27","2.4","0.2","0.37","2.17","1.27"
"SG","DeMar DeRozan","2015-11-17","TOR","GSW","7800","32.75","42","15.7","23.61","41.89","32.75"
"SF","DeMarre Carroll","2015-11-17","TOR","GSW","5800","21.61","31.6","12.2","13.87","29.35","21.61"
"PG","Dennis Schroder","2015-11-17","ATL","BKN","4800","20.54","32.6","8.9","14.42","26.65","20.535"
"PF","Derrick Williams","2015-11-17","NYK","CHA","3500","13.17","33.9","2","4.93","21.41","13.17"
"PG","Donald Sloan","2015-11-17","BKN","ATL","3500","3.7","6.4","1","1","6.4","3.7"
"PF","Draymond Green","2015-11-17","GSW","TOR","8000","35.4","56.6","20.5","23.93","46.87","35.4"
"PF","Drew Gooden","2015-11-17","WAS","MIL","3500","12.98","29.2","5.6","4.27","21.69","12.98"
"SG","Dwyane Wade","2015-11-17","MIA","MIN","6900","29.09","38","19.6","22.56","35.62","29.09"
"PG","Emmanuel Mudiay","2015-11-17","DEN","NOP","5900","25.64","37.1","16.3","18.96","32.32","25.64"
"SG","Eric Gordon","2015-11-17","NOP","DEN","6000","27.28","36.1","16.4","21.1","33.46","27.28"
"PF","Ersan Ilyasova","2015-11-17","DET","CLE","4200","15.2","27.9","6.9","8.71","21.69","15.2"
"C","Festus Ezeli","2015-11-17","GSW","TOR","4100","20.1","30.4","10","13.84","26.36","20.1"
"PF","Frank Kaminsky","2015-11-17","CHA","NYK","3500","8.05","16.1","-1","2.31","13.79","8.05"
"PG","Garrett Temple","2015-11-17","WAS","MIL","3500","9.78","26.6","1","0.06","19.5","9.78"
"SG","Gary Harris","2015-11-17","DEN","NOP","3700","15.04","25.5","7.7","8.65","21.43","15.04"
"SG","Gary Neal","2015-11-17","WAS","MIL","3500","10.91","18.4","1.2","5.22","16.6","10.91"
"SG","Gerald Green","2015-11-17","MIA","MIN","3600","10.63","19.7","5.2","4.18","17.09","10.635"
"SG","Giannis Antetokounmpo","2015-11-17","MIL","WAS","7000","31.06","40.8","19.6","24.38","37.73","31.055"
"PG","Goran Dragic","2015-11-17","MIA","MIN","5600","20.04","32","6.9","13.1","26.99","20.045"
"C","Gorgui Dieng","2015-11-17","MIN","MIA","3900","13.81","20.2","4.2","8.78","18.84","13.81"
"C","Greg Monroe","2015-11-17","MIL","WAS","8200","37.39","52.8","19.9","29.34","45.44","37.39"
"PG","Greivis Vasquez","2015-11-17","MIL","WAS","4200","17.42","30.9","3.2","8.76","26.08","17.42"
"SF","Harrison Barnes","2015-11-17","GSW","TOR","5300","23.92","34.3","14.4","17.91","29.93","23.92"
"C","Hassan Whiteside","2015-11-17","MIA","MIN","8300","36.17","51.5","13.2","24.7","47.63","36.165"
"SG","Ian Clark","2015-11-17","GSW","TOR","3500","6.62","20.1","-0.8","-0.08","13.31","6.615"
"PG","Ish Smith","2015-11-17","NOP","DEN","5400","25.74","40.6","7.9","14.54","36.94","25.74"
"PF","J.J. Hickson","2015-11-17","DEN","NOP","4400","18.09","42.1","3.8","5.17","31","18.085"
"SG","J.R. Smith","2015-11-17","CLE","DET","5000","14.61","28.9","-2","4.02","25.21","14.615"
"PF","Jabari Parker","2015-11-17","MIL","WAS","5600","12.92","23.1","7.7","7.01","18.83","12.92"
"PG","Jameer Nelson","2015-11-17","DEN","NOP","4600","16.85","24.7","6.5","11.05","22.65","16.85"
"SF","James Johnson","2015-11-17","TOR","GSW","3700","12.34","21.1","-1","2.84","21.84","12.34"
"SF","James Jones","2015-11-17","CLE","DET","3500","4.48","13.2","-1","0.02","8.93","4.475"
"PF","James Michael McAdoo","2015-11-17","GSW","TOR","3500","6.25","18.9","1.5","0.02","12.48","6.25"
"SG","Jared Cunningham","2015-11-17","CLE","DET","3500","6.47","15.7","1","1.9","11.04","6.47"
"SF","Jared Dudley","2015-11-17","WAS","MIL","3500","11.34","19.2","6.1","6.36","16.32","11.34"
"PF","Jarnell Stokes","2015-11-17","MIA","MIN","3500","2.4","2.4","2.4","2.4","2.4","2.4"
"PG","Jarrett Jack","2015-11-17","BKN","ATL","6400","30.11","48.3","15.2","18.73","41.49","30.11"
"PF","Jason Thompson","2015-11-17","GSW","TOR","4000","6.24","14.8","1.2","1.36","11.12","6.24"
"PG","Jeff Teague","2015-11-17","ATL","BKN","7200","31.31","45.7","12.3","21.91","40.71","31.31"
"SG","Jeremy Lamb","2015-11-17","CHA","NYK","4600","21.5","32.3","6.8","14.5","28.5","21.5"
"PG","Jeremy Lin","2015-11-17","CHA","NYK","4600","20.28","28","10.7","14.54","26.01","20.275"
"PG","Jerian Grant","2015-11-17","NYK","CHA","3800","15.19","24.7","10.2","10.59","19.79","15.19"
"PG","Jerryd Bayless","2015-11-17","MIL","WAS","4300","21.86","41.2","5.2","11.73","31.99","21.86"
"SG","Jimmer Fredette","2015-11-17","NOP","DEN","3500","4","4","4","4","4","4"
"SG","Jodie Meeks","2015-11-17","DET","CLE","3600","3.4","3.4","3.4","3.4","3.4","3.4"
"SG","Joe Harris","2015-11-17","CLE","DET","3500","2.4","3.9","1.2","1.3","3.5","2.4"
"SG","Joe Johnson","2015-11-17","BKN","ATL","6300","23.18","39.4","6.9","14.07","32.29","23.18"
"PF","Joffrey Lauvergne","2015-11-17","DEN","NOP","4000","21.93","24.9","19","19.52","24.34","21.93"
"PF","John Henson","2015-11-17","MIL","WAS","4000","15.28","36.5","5.6","4.49","26.08","15.285"
"PG","John Wall","2015-11-17","WAS","MIL","9200","37.81","49.4","22.9","30.09","45.53","37.81"
"C","Johnny O'Bryant","2015-11-17","MIL","WAS","3700","13.46","28.3","3.6","6.48","20.43","13.455"
