name,pos,team,opp,def_pos_Pts_48,projected_minutes,projected_FD_FP,FD_salary
"SG","Arron Afflalo","NY","TOR","0.755167","27.4","17.36","4600"
"C","Alexis Ajinca","NO","DAL","0.958458","20","17.87","3500"
"PF","Louis Amundson","NY","TOR","0.79059","2.7","1.89","3500"
"C","Chris Andersen","MIA","LAL","1.1675","21.2","18.88","3500"
"PF","Ryan Anderson","NO","DAL","1.13583","29.6","24.26","5800"
"SG","Alan Anderson","WSH","OKC","0.868854","0","0","3500"
"SG","Giannis Antetokounmpo","MIL","BOS","0.85","31.1","25.03","7000"
"SF","Carmelo Anthony","NY","TOR","0.771736","35.3","30.87","9400"
"C","Omer Asik","NO","DAL","0.958458","24.2","16.86","4200"
"SF","Luke Babbitt","NO","DAL","0.711979","25.1","15.29","3600"
"PF","Brandon Bass","LAL","MIA","0.898681","18.4","14.41","3700"
"SF","Nicolas Batum","CHA","MIN","0.602569","32.6","25.12","6500"
"PG","Jerryd Bayless","MIL","BOS","0.777458","28.1","19.68","3700"
"SF","Nemanja Bjelica","MIN","CHA","0.65","27.5","21.15","4000"
"C","Tarik Black","LAL","MIA","0.858333","21.5","17.24","3900"
"C","DeJuan Blair","WSH","OKC","0.922208","0.1","0","3500"
"PF","Trevor Booker","UTAH","CLE","0.750208","18.6","13.53","4100"
"PF","Chris Bosh","MIA","LAL","0.995542","34.2","36.7","7900"
"SG","Avery Bradley","BOS","MIL","0.73401","29.4","20.43","5800"
"SG","Kobe Bryant","LAL","MIA","0.657569","31.6","28.42","7400"
"PG","Trey Burke","UTAH","CLE","0.727604","25.3","17.9","5300"
"SG","Alec Burks","UTAH","CLE","0.748792","32","22.55","5400"
"PG","Jose Calderon","NY","TOR","0.813681","28","19.79","4400"
"PG","Michael Carter-Williams","MIL","BOS","0.777458","29.8","26.61","7000"
"PG","Mario Chalmers","MIA","LAL","1.00454","21.1","15.52","3900"
"PG","Jordan Clarkson","LAL","MIA","0.72","35.5","30.45","6300"
"C","Jack Cooley","UTAH","CLE","0.902639","1.6","1.08","0"
"SF","Chris Copeland","MIL","BOS","0.841","14.1","9.22","3500"
"SF","Jae Crowder","BOS","MIL","0.747833","26.4","19.2","4700"
"PF","Dante Cunningham","NO","DAL","1.13583","22","12.61","3900"
"SG","Troy Daniels","CHA","MIN","0.814375","2.9","2.18","3500"
"PF","Anthony Davis","NO","DAL","1.13583","39.4","47.44","10800"
"SF","Luol Deng","MIA","LAL","0.994583","30.7","22.59","5100"
"C","Gorgui Dieng","MIN","CHA","0.944708","20.7","14.71","4400"
