name,pos,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary
"Tyler Zeller","C","BOS","IND","24.2","0","20.7"
"Mason Plumlee","C","POR","UTAH","29.8","0","25.97"
"Tyson Chandler","C","PHX","SAC","29","0","27.84"
"Evan Fournier","SF","ORL","HOU","25","0","17.13"
"D.J. Augustin","PG","OKC","TOR","25.4","0","19.28"
"Mario Hezonja","SG","ORL","HOU","24.4","0","18"
"Dennis Schroder","SG","ATL","BKN","22.6","0","18.07"
"Andrea Bargnani","PF","BKN","ATL","19.5","0","19.33"
"Rodney Hood","SG","UTAH","POR","25.1","0","17.28"
"Myles Turner","C","IND","BOS","24.4","0","18.92"
"Evan Turner","SF","BOS","IND","28.4","0","23.47"
"Jason Smith","PF","ORL","HOU","24.8","0","18.59"
"Jared Dudley","SF","WSH","SA","28","0","17.89"
"Rondae Hollis-Jefferson","PF","BKN","ATL","28","0","19.56"
"Wayne Ellington","SG","BKN","ATL","28.8","0","16.82"
"Ed Davis","PF","POR","UTAH","27.3","0","23.01"
"Greivis Vasquez","SG","MIL","PHI","22.1","0","17.3"
"Bojan Bogdanovic","SF","BKN","ATL","27","0","15.62"
"Wesley Johnson","SF","LAC","GS","27","0","17.05"
"Raul Neto","PG","UTAH","POR","26.4","0","16.11"
"Jerryd Bayless","SG","MIL","PHI","25","0","19.16"
"Patrick Beverley","PG","HOU","ORL","26.3","0","18.98"
"Ray McCallum","PG","SA","WSH","22.1","0","17.5"
"Trey Burke","PG","UTAH","POR","19.7","0","15.73"
"Jonas Valanciunas","C","TOR","OKC","26.9","0","22.97"
"Robin Lopez","C","NY","CLE","26.6","0","20.68"
"Kent Bazemore","SG","ATL","BKN","31","0","18.69"
"Omri Casspi","SF","SAC","PHX","21.5","0","17.05"
"Timofey Mozgov","C","CLE","NY","26.6","0","20.48"
"Andrew Bogut","C","GS","LAC","24.6","0","21.87"
"Jahlil Okafor","C","PHI","MIL","24.3","0","16.02"
"Tristan Thompson","PF","CLE","NY","24.7","0","20.95"
"Kris Humphries","PF","WSH","SA","21.5","0","17.68"
"Al-Farouq Aminu","SF","POR","UTAH","26.2","0","19.89"
"Amir Johnson","PF","BOS","IND","25.6","0","20.65"
"Mirza Teletovic","PF","PHX","SAC","22.2","0","16.27"
"Andre Iguodala","SF","GS","LAC","23","0","17.61"
"T.J. Warren","SF","PHX","SAC","20.9","0","14.31"
"Chase Budinger","SF","IND","BOS","22.5","0","14.27"
"Hollis Thompson","SF","PHI","MIL","26.6","0","15.8"
"Rudy Gobert","C","UTAH","POR","29.5","0","25.53"
"Rajon Rondo","PG","SAC","PHX","22.3","0","19.43"
"Jordan Hill","PF","IND","BOS","16.5","0","16.21"
"Luis Scola","PF","TOR","OKC","14.6","0","13.59"
"Sasha Vujacic","SG","NY","CLE","26.4","0","15.18"
"Marcus Smart","PG","BOS","IND","25.2","0","16.76"
"Jared Sullinger","C","BOS","IND","16","0","15.78"
"Derrick Williams","SF","NY","CLE","19.2","0","11.84"
"Tiago Splitter","C","ATL","BKN","20.9","0","16.26"
"Jae Crowder","SF","BOS","IND","19.3","0","13.29"
"James Johnson","SF","TOR","OKC","19","0","17.7"
"Alex Len","C","PHX","SAC","22.2","0","19.75"
"John Henson","PF","MIL","PHI","20.6","0","18.42"
"Jason Thompson","C","GS","LAC","21.2","0","17.25"
"Meyers Leonard","PF","POR","UTAH","20.3","0","16.72"
"Terrence Ross","SG","TOR","OKC","18.8","0","11.64"
"Chris Kaman","C","POR","UTAH","18.4","0","15.85"
"Ramon Sessions","PG","WSH","SA","21.7","0","14.52"
