POS,name,team,Minutes,FP,FP/M,Salary,opp
SF,Carmelo Anthony,NY,35,32.9,0.94,9700,SA
SG,Langston Galloway,NY,27,18.63,0.69,4800,SA
PF,Kristaps Porzingis,NY,24.5,16.66,0.68,4800,SA
C,Robin Lopez,NY,27.2,21.488,0.79,4500,SA
PG,Jose Calderon,NY,26.7,20.826,0.78,4300,SA
SG,Sasha Vujacic,NY,26.5,14.75775862,0.556896552,3700,SA
C,Kyle O'Quinn,NY,16.5,10.3125,0.625,4700,SA
PF,Derrick Williams,NY,22.5,14.0625,0.625,4400,SA
PF,Kevin Seraphin,NY,0,0,0.625,3700,SA
PG,Jerian Grant,NY,21,11.34,0.54,4400,SA
SF,Cleanthony Early,NY,0,0,0.455,3500,SA
PF,Lance Thomas,NY,9,2.7,0.3,3500,SA
SF,Kevin Durant,OKC,37,37,1,10400,HOU
PG,Russell Westbrook,OKC,37.2,36.27,0.975,11200,HOU
PF,Serge Ibaka,OKC,35.6,32.574,0.915,6900,HOU
C,Enes Kanter,OKC,18.4,12.512,0.68,6800,HOU
PG,D.J. Augustin,OKC,18,10.35,0.575,4000,HOU
SG,Dion Waiters,OKC,22,12.232,0.556,4700,HOU
C,Steven Adams,OKC,21,14.007,0.667,4400,HOU
C,Nick Collison,OKC,18.1,8.2355,0.455,3500,HOU
SF,Kyle Singler,OKC,21,9.555,0.455,3500,HOU
SG,Anthony Morrow,OKC,16,8.4,0.525,3900,HOU
SF,Robert Covington,PHI,15,8.325,0.555,5800,CLE
PG,Kendall Marshall,PHI,0,0,0.555,3900,CLE
PF,Nerlens Noel,PHI,34,29.07,0.855,7500,CLE
C,Jahlil Okafor,PHI,34,27.166,0.799,5700,CLE
PG,Isaiah Canaan,PHI,32.25,24.8325,0.77,5200,CLE
SF,Hollis Thompson,PHI,28.75,18.83125,0.655,3900,CLE
PF,Jerami Grant,PHI,18.5,12.58,0.68,3900,CLE
SG,Nik Stauskas,PHI,22.5,14.49,0.644,3800,CLE
SF,JaKarr Sampson,PHI,18,12.24,0.68,3900,CLE
SG,Eric Bledsoe,PHX,35.6,33.82,0.95,7900,LAC
PG,Brandon Knight,PHX,34.6,30.275,0.875,7000,LAC
C,Tyson Chandler,PHX,31.3,23.9445,0.765,6100,LAC
PF,Markieff Morris,PHX,28.5,24.51,0.86,5900,LAC
SF,P.J. Tucker,PHX,31.5,24.129,0.766,4400,LAC
C,Alex Len,PHX,18.5,13.32,0.72,4000,LAC
PF,Mirza Teletovic,PHX,12,7.5,0.625,3500,LAC
SF,T.J. Warren,PHX,18.1,10.86,0.6,3700,LAC
PG,Ronnie Price,PHX,12.6,7.56,0.6,3500,LAC
SG,Devin Booker,PHX,6.8,2.72,0.4,3500,LAC
SG,Archie Goodwin,PHX,1.4,0.56,0.4,3500,LAC
PG,Damian Lillard,POR,35.75,35.75,1,8900,MIN
SG,C.J. McCollum,POR,34,27.2,0.8,6400,MIN
C,Mason Plumlee,POR,25.7,18.8895,0.735,5100,MIN
PF,Ed Davis,POR,23.1,16.9785,0.735,5000,MIN
SF,Al-Farouq Aminu,POR,28,21.56,0.77,5700,MIN
C,Chris Kaman,POR,8,5.24,0.655,4200,MIN
C,Meyers Leonard,POR,30.5,22.4175,0.735,4600,MIN
SF,Maurice Harkless,POR,20,11.1,0.555,3500,MIN
SG,Allen Crabbe,POR,16.5,8.6625,0.525,3700,MIN
PF,LaMarcus Aldridge,SA,35,33.25,0.95,8300,NY
C,Tim Duncan,SA,30.7,25.174,0.82,7200,NY
SF,Kawhi Leonard,SA,34,31.45,0.925,8000,NY
PF,David West,SA,13.5,8.4375,0.625,4500,NY
SG,Danny Green,SA,29,23.2,0.8,4100,NY
SG,Manu Ginobili,SA,22,15.84,0.72,4400,NY
PG,Tony Parker,SA,27,22.14,0.82,5300,NY
PF,Boris Diaw,SA,22.5,15.3,0.68,4100,NY
PG,Ray McCallum,SA,12,6.66,0.555,3500,NY
PG,Patrick Mills,SA,12,7.2,0.6,3800,NY
C,Matt Bonner,SA,3,1.365,0.455,3500,NY
SG,marcus Thornton,HOU,22,16.786,0.763,3700,
