pos,name,gameDate,team,opp,salary,fppg,fpmax,fpmin,floor,ceil,average
"PF","Amar'e Stoudemire","2015-11-20","MIA","SAC","3900","5.6","5.6","5.6","5.6","5.6","5.6"
"C","Anderson Varejao","2015-11-20","CLE","MIL","3500","5.32","12","-2","1.22","9.42","5.32"
"SF","Andre Iguodala","2015-11-20","GSW","LAC","4700","22.84","34.2","13.5","17.1","28.58","22.84"
"C","Andrew Bogut","2015-11-20","GSW","LAC","5200","25.37","45.6","9.9","14.54","36.2","25.37"
"PG","Austin Rivers","2015-11-20","LAC","GSW","3800","13.95","30.7","-2","6.09","21.81","13.95"
"SG","Ben McLemore","2015-11-20","SAC","MIA","3600","10.77","24.8","1.2","3.61","17.93","10.77"
"PG","Beno Udrih","2015-11-20","MIA","SAC","3500","11.1","25.4","3","3.9","18.3","11.1"
"PF","Blake Griffin","2015-11-20","LAC","GSW","9700","44.75","61.1","22.6","34.05","55.45","44.75"
"SG","Brandon Rush","2015-11-20","GSW","LAC","3500","11.18","16.8","4.4","6.62","15.73","11.175"
"SF","Caron Butler","2015-11-20","SAC","MIA","3500","6.63","15.8","1","1.13","12.13","6.63"
"C","Chris Andersen","2015-11-20","MIA","SAC","3500","5.8","5.8","5.8","5.8","5.8","5.8"
"PF","Chris Bosh","2015-11-20","MIA","SAC","7900","34.53","45.6","19.4","26.7","42.36","34.53"
"SF","Chris Copeland","2015-11-20","MIL","CLE","3500","8.28","11.4","3.9","5.49","11.07","8.28"
"PG","Chris Paul","2015-11-20","LAC","GSW","8900","31.71","45.1","22.1","22.67","40.75","31.71"
"C","Cole Aldrich","2015-11-20","LAC","GSW","3500","3.9","6.8","1","1","6.8","3.9"
"SF","Damien Inglis","2015-11-20","MIL","CLE","3500","5.4","10.3","1.2","1.85","8.95","5.4"
"PG","Darren Collison","2015-11-20","SAC","MIA","5500","23.83","36.5","18.9","18.17","29.48","23.825"
"C","DeAndre Jordan","2015-11-20","LAC","GSW","7600","32.33","53.1","22.2","24","40.66","32.33"
"C","DeMarcus Cousins","2015-11-20","SAC","MIA","10700","42.47","58.1","25.3","33.53","51.42","42.475"
"PF","Draymond Green","2015-11-20","GSW","LAC","7900","34.81","56.6","20.5","23.65","45.96","34.805"
"SG","Dwyane Wade","2015-11-20","MIA","SAC","6700","27.9","38","18.4","20.89","34.91","27.9"
"PF","Eric Moreland","2015-11-20","SAC","MIA","3500","2.53","5.2","1.2","0.65","4.42","2.535"
"C","Festus Ezeli","2015-11-20","GSW","LAC","4300","20.65","30.4","10","14.39","26.91","20.65"
"SG","Gerald Green","2015-11-20","MIA","SAC","3500","10.05","19.7","5.2","4.37","15.73","10.05"
"SG","Giannis Antetokounmpo","2015-11-20","MIL","CLE","6900","30.5","40.8","19.6","23.95","37.05","30.5"
"PG","Goran Dragic","2015-11-20","MIA","SAC","5700","21.23","32","6.9","13.74","28.72","21.23"
"C","Greg Monroe","2015-11-20","MIL","CLE","7800","35.35","52.8","15","25.34","45.37","35.355"
"PG","Greivis Vasquez","2015-11-20","MIL","CLE","4200","17.55","30.9","3.2","9.28","25.83","17.555"
"SF","Harrison Barnes","2015-11-20","GSW","LAC","5100","23.03","34.3","13.3","16.57","29.5","23.035"
"C","Hassan Whiteside","2015-11-20","MIA","SAC","8600","38.03","54.8","13.2","25.8","50.26","38.03"
"SG","Ian Clark","2015-11-20","GSW","LAC","3500","6.67","20.1","-0.8","0.47","12.87","6.67"
"SG","J.J. Redick","2015-11-20","LAC","GSW","4600","18.49","28","12","13.5","23.47","18.485"
"SG","J.R. Smith","2015-11-20","CLE","MIL","5000","15.56","28.9","-2","5.34","25.78","15.56"
"PF","Jabari Parker","2015-11-20","MIL","CLE","5600","12.92","23.1","7.7","7.01","18.83","12.92"
"SG","Jamal Crawford","2015-11-20","LAC","GSW","4400","19.41","55.2","7","6.6","32.22","19.41"
"SG","James Anderson","2015-11-20","SAC","MIA","3500","6.56","19","1","0.84","12.27","6.555"
"SF","James Jones","2015-11-20","CLE","MIL","3500","5.43","13.2","-1","0.44","10.43","5.435"
"PF","James Michael McAdoo","2015-11-20","GSW","LAC","3500","6.25","18.9","1.5","0.02","12.48","6.25"
"SG","Jared Cunningham","2015-11-20","CLE","MIL","3500","6.47","15.7","1","1.9","11.04","6.47"
"PF","Jarnell Stokes","2015-11-20","MIA","SAC","3500","2.4","2.4","2.4","2.4","2.4","2.4"
"PF","Jason Thompson","2015-11-20","GSW","LAC","4000","6.24","14.8","1.2","1.36","11.12","6.24"
"PG","Jerryd Bayless","2015-11-20","MIL","CLE","4400","22.3","41.2","5.2","12.55","32.05","22.3"
"SG","Joe Harris","2015-11-20","CLE","MIL","3500","2.4","3.9","1.2","1.3","3.5","2.4"
"PF","John Henson","2015-11-20","MIL","CLE","4000","15.91","36.5","5.6","5.8","26.03","15.915"
"C","Johnny O'Bryant","2015-11-20","MIL","CLE","3500","12.66","28.3","3.6","5.62","19.7","12.66"
"PF","Josh McRoberts","2015-11-20","MIA","SAC","3500","7.94","18.1","0.4","2.28","13.6","7.94"
"SG","Josh Richardson","2015-11-20","MIA","SAC","3500","5.53","11.6","-1","0.38","10.69","5.535"
"PF","Josh Smith","2015-11-20","LAC","GSW","3900","12.42","18.5","5.2","7.67","17.17","12.42"
"SF","Justise Winslow","2015-11-20","MIA","SAC","3700","15.76","24.1","5.8","10.63","20.89","15.76"
"PF","Kevin Love","2015-11-20","CLE","MIL","7800","35.5","51.8","22.2","26.15","44.85","35.5"
"SF","Khris Middleton","2015-11-20","MIL","CLE","5600","22.92","36.3","8.4","14.7","31.14","22.92"
"SG","Klay Thompson","2015-11-20","GSW","LAC","6400","24.65","33.5","13.4","18.49","30.8","24.645"
"C","Kosta Koufos","2015-11-20","SAC","MIA","3800","20.11","29.4","8.6","14.25","25.96","20.105"
"SG","Lance Stephenson","2015-11-20","LAC","GSW","3600","11.65","22","-1","4.93","18.37","11.65"
"SG","Leandro Barbosa","2015-11-20","GSW","LAC","3600","11.89","18.5","8","8.63","15.15","11.89"
"SF","LeBron James","2015-11-20","CLE","MIL","10100","46.03","59.9","30.9","36.97","55.08","46.025"
"SF","Luc Richard Mbah a Moute","2015-11-20","LAC","GSW","3500","5.43","13.4","1.5","0.75","10.1","5.425"
"SF","Luol Deng","2015-11-20","MIA","SAC","5300","19.27","30.8","9.4","12.1","26.44","19.27"
"SG","Marco Belinelli","2015-11-20","SAC","MIA","3800","17.46","26.6","8","11.07","23.86","17.465"
"PF","Marreese Speights","2015-11-20","GSW","LAC","3500","10.53","22.3","3","4.54","16.52","10.53"
"PG","Matthew Dellavedova","2015-11-20","CLE","MIL","4000","18.16","28.5","8.5","12.12","24.21","18.165"
"PG","Michael Carter-Williams","2015-11-20","MIL","CLE","6600","27.22","39.7","9.2","17.73","36.7","27.215"
"C","Miles Plumlee","2015-11-20","MIL","CLE","3500","5.22","20.6","0.2","-1.1","11.55","5.225"
"PG","Mo Williams","2015-11-20","CLE","MIL","6200","26.87","44.2","11.5","17.16","36.59","26.875"
"SF","Omri Casspi","2015-11-20","SAC","MIA","4200","18.89","30.3","9.1","12.19","25.59","18.89"
"PG","Pablo Prigioni","2015-11-20","LAC","GSW","3600","6.75","19.3","1","-0.65","14.15","6.75"
"SF","Paul Pierce","2015-11-20","LAC","GSW","3700","13.69","24.1","2.9","6.71","20.67","13.69"
"PF","Quincy Acy","2015-11-20","SAC","MIA","3500","5.44","10.6","2.7","2.4","8.48","5.44"
"PG","Rajon Rondo","2015-11-20","SAC","MIA","7600","35.92","56","18.2","22.63","49.2","35.915"
"SG","Rashad Vaughn","2015-11-20","MIL","CLE","3500","4.3","13.4","-1","-0.26","8.86","4.3"
"SF","Richard Jefferson","2015-11-20","CLE","MIL","3500","11.45","19.2","1.7","5.37","17.52","11.445"
