Player_Name,FDFP
"Aaron Brooks","16.7"
"Aaron Gordon","13.4"
"Adreian Payne","6.5"
"Al Horford","21.7"
"Al Jefferson","33.6"
"Al-Farouq Aminu","35"
"Alec Burks","20.4"
"Alex Len","17.5"
"Alexis Ajinca","28.5"
"Allen Crabbe","24"
"Alonzo Gee","13.2"
"Amir Johnson","15"
"Andre Roberson","20.1"
"Andrea Bargnani","8"
"Andrew Nicholson","16.4"
"Andrew Wiggins","37.5"
"Anthony Morrow","11.4"
"Archie Goodwin","0"
"Avery Bradley","35.7"
"Ben McLemore","14.2"
"Bismack Biyombo","4.4"
"Bojan Bogdanovic","10.3"
"Boris Diaw","6.9"
"Brandon Knight","29.6"
"Brook Lopez","36.5"
"Chandler Parsons","12.4"
"Channing Frye","1.2"
"Chase Budinger","28.7"
"Chris Johnson","1.2"
"Christian Wood","12.1"
"CJ McCollum","35.6"
"CJ Miles","29.4"
"Cliff Alexander","2"
"Clint Capela","12.8"
"Cody Zeller","8"
"Corey Brewer","19.8"
"Cory Joseph","12.6"
"D.J. Augustin","12.7"
"Damian Lillard","27.6"
"Danilo Gallinari","25.1"
"Danny Green","18.6"
"Dante Cunningham","23.2"
"Darrell Arthur","14"
"Darren Collison","18.9"
"David Lee","15.7"
"David West","13.6"
"DeMar DeRozan","26.6"
"DeMarcus Cousins","39.9"
"DeMarre Carroll","19.2"
"Dennis Schroder","32.4"
"Deron Williams","34.6"
"Derrick Favors","34.7"
"Devin Booker","11.2"
"Devin Harris","12.9"
"Dewayne Dedmon","3"
"Dion Waiters","11.8"
"Dirk Nowitzki","32.9"
"Doug McDermott","16"
"Dwight Howard","37.8"
"Dwight Powell","16.7"
"E'Twaun Moore","7.7"
"Ed Davis","6.6"
"Elfrid Payton","48.4"
"Emmanuel Mudiay","17.1"
"Enes Kanter","39.8"
"Eric Bledsoe","40.7"
"Eric Gordon","32.9"
"Evan Fournier","38.3"
"Evan Turner","13.1"
"Frank Kaminsky","17.1"
"Gary Harris","22.9"
"Gerald Henderson","9"
"Glenn Robinson","15.6"
"Gordon Hayward","27.9"
"Gorgui Dieng","29.9"
"Hollis Thompson","19.8"
"Ian Mahinmi","23.4"
"Isaiah Canaan","4"
"Isaiah Thomas","31.2"
"Ish Smith","29.6"
"Jae Crowder","25.7"
"Jahlil Okafor","20.2"
"JaKarr Sampson","8.6"
"Jameer Nelson","14.4"
"James Harden","78.1"
"James Johnson","6.7"
"Jared Sullinger","37.9"
"Jarrett Jack","40.1"
"Jason Smith","18.5"
"Jason Terry","14.3"
"Jeff Withey","4.2"
"Jerami Grant","23.3"
"Jeremy Evans","-1"
"Jeremy Lamb","13.1"
"Jeremy Lin","27.8"
"Jimmer Fredette","-1"
"Jimmy Butler","43.2"
"JJ Hickson","17.9"
"Joakim Noah","15.2"
"Joe Ingles","4.4"
"Joe Johnson","25.3"
"Joe Young","11.7"
"Jon Leuer","5.4"
"Jonas Jerebko","2.4"
"Jonas Valanciunas","26.8"
"Jordan Hill","19.9"
"Jose Juan Barea","12.1"
"Justin Holiday","11.1"
"Karl-Anthony Towns","43.4"
"Kawhi Leonard","40.1"
"Kelly Olynyk","12.6"
"Kemba Walker","36.9"
"Kenneth Faried","29.9"
"Kevin Martin","20.3"
"Kirk Hinrich","26.4"
"Kosta Koufos","22.2"
"Kostas Papanikolaou","0"
"Kyle Anderson","3.5"
"Kyle Korver","19"
"Kyle Lowry","33.6"
"Kyle Singler","9.4"
"Lamar Patterson","19"
"LaMarcus Aldridge","30.9"
"Lavoy Allen","20.2"
"Luis Scola","29.5"
"Luke Babbitt","14.7"
"Marco Belinelli","11.6"
"Marcus Smart","9.3"
"Marcus Thornton","6.9"
"Mario Hezonja","7.4"
"Markel Brown","0"
"Markieff Morris","16.5"
"Marvin Williams","30.8"
"Mason Plumlee","30.8"
"Maurice Harkless","17.1"
"Mike Muscala","6"
"Mirza Teletovic","11.1"
"Monta Ellis","27.1"
"Montrezl Harrell","2"
"Nemanja Bjelica","9.3"
"Nerlens Noel","3.6"
"Nick Collison","12.6"
"Nicolas Batum","39.2"
"Nik Stauskas","11.7"
"Nikola Jokic","47.4"
"Nikola Mirotic","23.5"
"Nikola Vucevic","19.9"
"Noah Vonleh","10.2"
"Norman Powell","2"
"Omri Casspi","13.8"
"Patrick Patterson","7"
"Patty Mills","31.7"
"Pau Gasol","31.1"
"Paul George","57.1"
"Paul Millsap","54.7"
"Phil Pressey","19.1"
"PJ Tucker","28.4"
"Quincy Acy","3.7"
"Rajon Rondo","36.4"
"Randy Foye","-0.5"
"Rasual Butler","15.1"
"Raul Neto","11"
"Raymond Felton","20.4"
"Ricky Rubio","39.4"
"Robert Covington","17.5"
"Rodney Hood","27.2"
"Rondae Hollis-Jefferson","9.9"
"Ronnie Price","11.4"
"Rudy Gay","27.7"
"Rudy Gobert","15.5"
