name,pos,team,opp,def_pos_Pts_48,projected_minutes,projected_FD_FP,FD_salary
"SG","Arron Afflalo","NY","CHA","0.760231","32.6","21.12","4500"
"C","Alexis Ajinca","NO","DEN","0.963313","12.2","11.08","3500"
"PF","Louis Amundson","NY","CHA","1.04234","3.1","2.23","3500"
"C","Chris Andersen","MIA","MIN","0.827896","19.1","16.31","3500"
"PF","Ryan Anderson","NO","DEN","0.897729","33.4","30.7","5900"
"SG","Alan Anderson","WSH","MIL","0.706042","0","0","3500"
"SF","Carmelo Anthony","NY","CHA","0.732755","36.1","34.71","9600"
"C","Joel Anthony","DET","CLE","0.797521","6.1","3.61","3500"
"C","Omer Asik","NO","DEN","0.963313","24.6","18.19","3500"
"SG","Chris Babb","GS","TOR","0.799271","0.1","0","0"
"SF","Luke Babbitt","NO","DEN","0.680347","26.4","16.64","3500"
"SG","Leandro Barbosa","GS","TOR","0.799271","0","0","3600"
"C","Andrea Bargnani","BKN","ATL","1.09061","20.7","16.14","3500"
"SF","Harrison Barnes","GS","TOR","0.741292","28.5","19.89","5300"
"C","Aron Baynes","DET","CLE","0.797521","11.1","7.29","3500"
"SG","Kent Bazemore","ATL","BKN","0.844229","29.4","19.04","5100"
"SF","Nemanja Bjelica","MIN","MIA","0.801667","27.6","18.42","4400"
"C","DeJuan Blair","WSH","MIL","0.908292","0.1","0","3500"
"PG","Steve Blake","DET","CLE","0.767771","15.7","10.41","3500"
"SF","Bojan Bogdanovic","BKN","ATL","0.705019","28.4","17.7","4200"
"C","Andrew Bogut","GS","TOR","1.02244","21.6","18.32","5200"
"PF","Chris Bosh","MIA","MIN","0.953812","33.7","36.07","8200"
"SG","Markel Brown","BKN","ATL","0.839417","15.9","9.04","3500"
"SF","Reggie Bullock","DET","CLE","0.775","5.1","2.96","3500"
"PG","Jose Calderon","NY","CHA","0.792778","26.3","17.69","4400"
"SG","Kentavious Caldwell-Pope","DET","CLE","0.7785","34.7","23.69","5100"
"PF","Dante Cunningham","NO","DEN","0.897729","24.5","14.22","3500"
"SG","Jared Cunningham","CLE","DET","0.809815","2.1","1.24","3500"
"PF","Anthony Davis","NO","DEN","0.897729","32.4","36.67","10900"
"PG","Matthew Dellavedova","CLE","DET","0.780718","24.9","16.37","4200"
"SF","Luol Deng","MIA","MIN","0.726921","31.8","22.45","5100"
"C","Gorgui Dieng","MIN","MIA","0.916458","23.2","20.37","3900"
"PG","Spencer Dinwiddie","DET","CLE","0.767771","1.5","0.92","3700"
"PG","Goran Dragic","MIA","MIN","0.832729","31.9","28.61","5600"
"C","Andre Drummond","DET","CLE","0.797521","34.2","34.01","9800"
"SF","Jared Dudley","WSH","MIL","0.782625","22.3","13.18","3500"
"SF","Cleanthony Early","NY","CHA","0.732755","1.3","0.57","3500"
"SG","Wayne Ellington","BKN","ATL","0.839417","2.7","1.49","3500"
"PG","Tyreke Evans","NO","DEN","0.896292","29.2","27.06","0"
"C","Festus Ezeli","GS","TOR","1.02244","22.4","17.6","4100"
"SG","Langston Galloway","NY","CHA","0.760231","26.4","19.03","4700"
"PF","Kevin Garnett","MIN","MIA","0.849514","15","11.3","3700"
"SF","Alonzo Gee","NO","DEN","0.680347","5.1","3.34","3500"
"PF","Drew Gooden","WSH","MIL","0.9755","1.9","1.45","3500"
"SG","Eric Gordon","NO","DEN","0.943979","33.8","24.14","6000"
"C","Marcin Gortat","WSH","MIL","0.908292","28.1","25.22","6000"
"SG","Danny Granger","DET","CLE","0.7785","1.2","0.64","0"
"PG","Jerian Grant","NY","CHA","0.792778","21.8","14.9","3800"
"PF","Draymond Green","GS","TOR","0.815718","33.7","32.88","8000"
"SG","Gerald Green","MIA","MIN","0.776229","25.7","18.46","3600"
"SG","Tim Hardaway Jr.","ATL","BKN","0.844229","0.1","0","3900"
"SG","Joe Harris","CLE","DET","0.809815","0.1","0","3500"
"PF","Udonis Haslem","MIA","MIN","0.953812","14.3","10.49","3500"
"PF","Nene Hilario","WSH","MIL","0.9755","21.3","17.87","4100"
"SG","Darrun Hilliard","DET","CLE","0.7785","2","1.46","3500"
"PG","Jrue Holiday","NO","DEN","0.896292","29.5","27.51","5600"
"SG","Justin Holiday","ATL","BKN","0.844229","1.6","0.99","3500"
"SF","Rondae Hollis-Jefferson","BKN","ATL","0.705019","22.9","15.57","3500"
"C","Al Horford","ATL","BKN","1.05629","31.7","32.87","7800"
"PF","Kris Humphries","WSH","MIL","0.9755","26.4","23.85","4000"
"SF","Andre Iguodala","GS","TOR","0.741292","28.4","21.53","4700"
"PF","Ersan Ilyasova","DET","CLE","0.805958","27.7","20.18","4200"
"PG","Jarrett Jack","BKN","ATL","0.834735","30.1","25.81","6400"
"PG","Reggie Jackson","DET","CLE","0.767771","32.9","29.64","7600"
"SF","LeBron James","CLE","DET","0.658657","35.9","40.51","10200"
"SF","Richard Jefferson","CLE","DET","0.658657","26.7","15.87","3500"
"SG","Joe Johnson","BKN","ATL","0.839417","35.7","26.68","6300"
"SF","Stanley Johnson","DET","CLE","0.775","21.9","13.96","3900"
"PG","Tyler Johnson","MIA","MIN","0.832729","22.3","15.18","4000"
"SF","James Jones","CLE","DET","0.658657","3.7","1.81","3500"
"PG","Tyus Jones","MIN","MIA","0.712639","2.4","1.53","3500"
"SF","Sergey Karasev","BKN","ATL","0.705019","0.2","0","3500"
"C","Sasha Kaun","CLE","DET","0.785069","0.1","0","3500"
"SG","Sean Kilpatrick","NO","DEN","0.943979","2","1.46","0"
"SG","Kyle Korver","ATL","BKN","0.844229","31.4","21.35","4800"
"PG","Shane Larkin","BKN","ATL","0.834735","19","11.68","4100"
"SG","Zach LaVine","MIN","MIA","0.646693","25.9","18.46","5900"
"PG","Shaun Livingston","GS","TOR","0.746875","20.6","14.56","3500"
"C","Brook Lopez","BKN","ATL","1.09061","35.3","37.87","8000"
"C","Robin Lopez","NY","CHA","0.976597","27.2","21.05","4500"
"PF","Kevin Love","CLE","DET","1.00883","35.5","35.72","7800"
