name,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary
"Meyers Leonard","PF","POR","UTAH","30.2","23.62","4600"
"Al-Farouq Aminu","SF","POR","UTAH","30.6","23.19","5700"
"Tyson Chandler","C","PHX","SAC","29","27.59","6100"
"Luis Scola","PF","TOR","OKC","22.3","21.44","4100"
"Trey Burke","PG","UTAH","POR","23.5","17.87","5400"
"Rajon Rondo","PG","SAC","PHX","28.6","24.98","6400"
"Terrence Jones","PF","HOU","ORL","25.4","23.38","5700"
"Mason Plumlee","C","POR","UTAH","28.5","23.11","5100"
"Robin Lopez","C","NY","CLE","27","21.4","4500"
"Bojan Bogdanovic","SF","BKN","ATL","28","17.47","4000"
"P.J. Tucker","SF","PHX","SAC","29.8","21.05","4400"
"Marco Belinelli","SG","SAC","PHX","25.2","16.79","3800"
"Kristaps Porzingis","PF","NY","CLE","24.6","18.71","4800"
"Ben McLemore","SG","SAC","PHX","28.4","17.65","4000"
"Nik Stauskas","SG","PHI","MIL","28","17.66","3800"
"Manu Ginobili","SG","SA","WSH","19.5","18.46","4600"
"T.J. Warren","SF","PHX","SAC","24.2","16.94","3700"
"Dion Waiters","SG","OKC","TOR","22.8","15.78","4700"
"Jonas Valanciunas","C","TOR","OKC","30.5","25.9","6200"
"Matthew Dellavedova","PG","CLE","NY","29.5","19.19","4200"
"David Lee","PF","BOS","IND","23.1","21.3","5100"
"Festus Ezeli","C","GS","LAC","21.7","21.1","3500"
"Andre Iguodala","SF","GS","LAC","27","19.18","4600"
"Kosta Koufos","PF","SAC","PHX","30.2","23.8","3800"
"Sasha Vujacic","SG","NY","CLE","24.7","17.85","3700"
"Evan Turner","SF","BOS","IND","26.9","22.57","5700"
"Ed Davis","PF","POR","UTAH","26.2","21.54","5000"
"Kris Humphries","PF","WSH","SA","23.2","18.32","4000"
"Amir Johnson","PF","BOS","IND","25.8","20.52","5200"
"Timofey Mozgov","C","CLE","NY","26","20.32","4500"
"Tristan Thompson","PF","CLE","NY","24.7","20.95","5100"
"Otto Porter","SF","WSH","SA","32.5","20","5500"
"Paul Pierce","SF","LAC","GS","21.1","15.72","4100"
"Rudy Gobert","C","UTAH","POR","31.1","26.78","8100"
"Derrick Williams","SF","NY","CLE","20","12.28","4400"
"Jose Calderon","PG","NY","CLE","22.4","16.11","4300"
"Gary Neal","SG","WSH","SA","18.2","13.1","3600"
"Omri Casspi","SF","SAC","PHX","20.8","15.78","4000"
"Richard Jefferson","SF","CLE","NY","23.5","14.16","3500"
"Raul Neto","PG","UTAH","POR","24.9","17.41","3500"
"Mirza Teletovic","PF","PHX","SAC","20.3","16.34","3500"
"Hollis Thompson","SF","PHI","MIL","26.9","15.87","3900"
"Patrick Patterson","PF","TOR","OKC","24.4","18.54","4100"
"Jerian Grant","PG","NY","CLE","25.4","15.12","4400"
"Andrew Bogut","C","GS","LAC","22.1","19.87","5400"
"Alex Len","C","PHX","SAC","22.2","20.25","4000"
"Terrence Ross","SG","TOR","OKC","22.7","13.67","3800"
"Tiago Splitter","C","ATL","BKN","20.8","16.18","4000"
"Nene Hilario","PF","WSH","SA","19","15.09","4200"
"Kelly Olynyk","C","BOS","IND","17.4","14.33","3900"
"Tyler Zeller","C","BOS","IND","17.2","15.28","4300"
"Josh Smith","PF","LAC","GS","17.1","15.77","4400"
"Patrick Beverley","PG","HOU","ORL","24","16.06","3800"
"Solomon Hill","SF","IND","BOS","25.8","15.11","3500"
"Jerami Grant","SG","PHI","MIL","24.1","16.59","3900"
"Ray McCallum","PG","SA","WSH","18.5","13.52","3500"
"Marreese Speights","C","GS","LAC","12.6","13.23","3800"
"Steven Adams","C","OKC","TOR","25.1","19.13","4200"
"Anthony Morrow","SG","OKC","TOR","16.6","11.71","3800"
"James Johnson","SF","TOR","OKC","18.5","16.38","3500"
"Patrick Mills","PG","SA","WSH","18.7","12","3700"
"Austin Rivers","SG","LAC","GS","19.3","11.83","3600"
"D.J. Augustin","PG","OKC","TOR","16.5","12.92","4100"
"Ramon Sessions","PG","WSH","SA","20.3","13.62","4100"
"Chris Copeland","PF","MIL","PHI","18.9","11.57","3500"
"David West","PF","SA","WSH","16.2","13.36","4200"
"Jared Dudley","SF","WSH","SA","20.6","13.15","3800"
"T.J. McConnell","PG","PHI","MIL","20.6","13.83","3500"
"Cory Joseph","PG","TOR","OKC","18.7","13.32","3800"
"Caron Butler","SF","SAC","PHX","20","12.96","3500"
"Lance Stephenson","SF","LAC","GS","19.7","12.9","3500"
"Trevor Booker","PF","UTAH","POR","19.9","13.23","4000"
"Shaun Livingston","PG","GS","LAC","19.7","13.39","3700"
"Clint Capela","C","HOU","ORL","17.8","15.44","4500"
"Boris Diaw","PF","SA","WSH","14.9","11.36","4100"
"Kyle Singler","SF","OKC","TOR","19.8","11.28","3500"
"Markel Brown","SG","BKN","ATL","15.9","10.2","3500"
"Thomas Robinson","C","BKN","ATL","16.7","15.2","4400"
"Leandro Barbosa","SG","GS","LAC","12.4","9.48","3800"
"Jason Thompson","C","GS","LAC","18.2","14.11","4600"
"Chris Kaman","C","POR","UTAH","16","13.31","4200"
"Anderson Varejao","C","CLE","NY","14.4","11.76","3700"
"Sergey Karasev","SF","BKN","ATL","19.2","9.53","3500"
"JaKarr Sampson","SG","PHI","MIL","16.4","10.93","3900"
"Aaron Gordon","SF","ORL","HOU","17.9","12.5","4100"
"Allen Crabbe","SG","POR","UTAH","16.3","9.26","3700"
"Mario Hezonja","SG","ORL","HOU","11.6","8.51","3500"
"Andre Roberson","SG","OKC","TOR","18.7","13.08","3600"
"Miles Plumlee","C","MIL","PHI","15.5","12.56","3600"
"Kyle O'Quinn","PF","NY","CLE","17.5","12.43","4700"
"Maurice Harkless","SF","POR","UTAH","18.6","10.49","3500"
"Bismack Biyombo","C","TOR","OKC","20.3","14.98","4000"
"Mike Scott","PF","ATL","BKN","11.9","8.49","3500"
"Cole Aldrich","C","LAC","GS","14.6","11.95","3600"
"Johnny O'Bryant III","PF","MIL","PHI","14.8","9.85","3500"
"Dewayne Dedmon","C","ORL","HOU","16","12.91","3700"
"Shane Larkin","PG","BKN","ATL","15.2","9.5","4300"
"Myles Turner","C","IND","BOS","11","8.15","3500"
"Channing Frye","PF","ORL","HOU","12.6","8.1","3600"
"Mitch McGary","PF","OKC","TOR","11.2","8.83","3500"
"Wesley Johnson","SF","LAC","GS","10.5","6.9","4300"
"Wayne Ellington","SG","BKN","ATL","10.8","5.99","3500"
"Devin Booker","SG","PHX","SAC","9","6.51","3500"
"Nick Collison","C","OKC","TOR","15.6","10.15","3500"
"Montrezl Harrell","PF","HOU","ORL","8.2","6.57","3600"
"Shabazz Napier","PG","ORL","HOU","11.8","8.36","3500"
"Jeff Withey","C","UTAH","POR","11.1","8.31","3500"
"Joe Ingles","SF","UTAH","POR","12.8","7.56","3600"
"Trey Lyles","PF","UTAH","POR","8.9","5.18","3500"
"Roy Devyn Marble","SF","ORL","HOU","12.4","6.17","3500"
"Andrew Nicholson","PF","ORL","HOU","7.5","5.39","3500"
"Gerald Wallace","SF","PHI","MIL","9.8","5.96","0"
"Bryce Cotton","PG","UTAH","POR","4.8","3.4","0"
"Jason Smith","PF","ORL","HOU","4.7","3.65","3800"
"Quincy Miller","SF","BKN","ATL","4.9","3.06","0"
"Jon Leuer","PF","PHX","SAC","3.7","3.27","3700"
"Lance Thomas","PF","NY","CLE","5.8","3.11","3500"
"C.J. Watson","PG","ORL","HOU","3.9","2.85","3600"
"Boban Marjanovic","","SA","WSH","4","3.23","3500"
"Lavoy Allen","PF","IND","BOS","4.6","3.78","3500"
"Chris Johnson","SF","UTAH","POR","4","2.47","3500"
"Jared Sullinger","C","BOS","IND","2.9","2.39","5000"
"Tibor Pleiss","","UTAH","POR","3.8","2.12","3500"
"Archie Goodwin","SG","PHX","SAC","2.8","2.13","3500"
"Jason Terry","PG","HOU","ORL","3.7","2.28","3500"
"Chase Budinger","SF","IND","BOS","3.2","2.52","4000"
"C.J. Wilcox","SF","LAC","GS","2.7","1.91","3500"
"Richaun Holmes","PF","PHI","MIL","3.2","2.24","3500"
"Rondae Hollis-Jefferson","PF","BKN","ATL","3.2","2.32","3500"
"Donald Sloan","PG","BKN","ATL","3.3","1.94","3500"
"Jonas Jerebko","PF","BOS","IND","3.3","2.1","3500"
"Luis Montero","","POR","UTAH","3.6","2.04","3500"
"Cory Jefferson","PF","PHX","SAC","2.9","2.31","3500"
"Quincy Acy","PF","SAC","PHX","3","2.19","3600"
"Jorge Gutierrez","PG","MIL","PHI","3.2","2.28","0"
"Lamar Patterson","SG","ATL","BKN","2.9","1.88","3500"
"Drew Gooden","PF","WSH","SA","3.7","2.68","3800"
"Glenn Robinson III","PF","IND","BOS","3.2","1.85","3500"
"James Michael McAdoo","PF","GS","LAC","2.7","2.43","3500"
"David Stockton","PG","SAC","PHX","2.9","1.74","0"
"Cleanthony Early","SF","NY","CLE","3.2","1.8","3500"
"James Jones","SF","CLE","NY","2.6","1.66","3500"
"Mike Muscala","PF","ATL","BKN","2.8","2.09","3800"
"Shelvin Mack","PG","ATL","BKN","2.2","1.81","3500"
"Perry Jones III","SF","BOS","IND","3.2","1.78","0"
"Ronnie Price","PG","PHX","SAC","2.7","1.76","3500"
"Tyler Harvey","SF","ORL","HOU","1.9","1.36","0"
"Guillermo Hernangomez","C","NY","CLE","2.4","1.53","0"
"Noah Vonleh","PF","POR","UTAH","3.1","2.03","3500"
"Christian Wood","PF","PHI","MIL","2.2","1.58","3500"
"Tim Frazier","PG","POR","UTAH","2.3","1.56","3500"
"Dakari Johnson","C","OKC","TOR","1.8","1.01","0"
"Norman Powell","SG","TOR","OKC","1.5","1.01","3500"
"Walter Tavares","C","ATL","BKN","1.5","1.01","3500"
"Garrett Temple","SG","WSH","SA","2.2","1.21","3600"
"Matt Bonner","C","SA","WSH","2.2","1.13","3500"
"Branden Dawson","PF","LAC","GS","1.2","0.79","3500"
"Luc Mbah a Moute","PF","LAC","GS","1.7","1.26","3600"
"Jack Cooley","PF","UTAH","POR","1.6","1.2","0"
"Phil Pressey","PG","UTAH","POR","1.9","1.44","0"
"Delon Wright","PG","TOR","OKC","1.2","0.91","3500"
"Rashad Vaughn","SG","MIL","PHI","1.5","0.91","3500"
"Damien Inglis","SF","MIL","PHI","1.4","0.91","3500"
"Joe Harris","SG","CLE","NY","1.6","0.67","3500"
"Shayne Whittington","C","IND","BOS","1.1","0.76","3500"
"Elijah Millsap","SG","UTAH","POR","1.4","0.77","3500"
"Anthony Bennett","PF","TOR","OKC","1","0.81","3500"
"Pierre Jackson","PG","PHI","MIL","1.5","0.81","0"
"Sasha Kaun","C","CLE","NY","1.1","0.69","3500"
"Kyle Anderson","SF","SA","WSH","1.5","0.57","3500"
"R.J. Hunter","SG","BOS","IND","0.9","0.54","3800"
