name,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary
"Russell Westbrook","PG","OKC","TOR","38.9","44.12","10800"
"Stephen Curry","PG","GS","LAC","38.2","40.38","10800"
"Blake Griffin","PF","LAC","GS","36.7","41.69","10000"
"Chris Paul","PG","LAC","GS","36.3","40.24","9300"
"LeBron James","SF","CLE","NY","34.9","39.01","10200"
"James Harden","SF","HOU","ORL","37.4","39.5","9900"
"Klay Thompson","SG","GS","LAC","34.6","32.1","6700"
"Rudy Gay","SF","SAC","PHX","37","34.92","7900"
"Damian Lillard","PG","POR","UTAH","36.4","35.37","8900"
"DeMar DeRozan","SG","TOR","OKC","36.5","33.31","8000"
"Carmelo Anthony","SF","NY","CLE","34.1","30.17","9500"
"Kyle Lowry","PG","TOR","OKC","36.2","35.14","7800"
"Monta Ellis","SG","IND","BOS","33.5","31.6","6300"
"LaMarcus Aldridge","PF","SA","WSH","33.6","34.28","8600"
"Nikola Vucevic","C","ORL","HOU","35.5","36.78","8000"
"Brook Lopez","C","BKN","ATL","34.6","35.64","7700"
"Derrick Favors","PF","UTAH","POR","34.6","35.33","8000"
"Victor Oladipo","SG","ORL","HOU","37.9","33.58","8100"
"Gordon Hayward","SF","UTAH","POR","33.9","32.06","6800"
"Kawhi Leonard","SF","SA","WSH","35.8","35.75","7900"
"Kevin Love","PF","CLE","NY","33.5","33.55","7600"
"George Hill","PG","IND","BOS","32.1","28.73","6400"
"Greg Monroe","C","MIL","PHI","34.2","35.06","8200"
"Eric Bledsoe","PG","PHX","SAC","33.9","34.55","7900"
"Paul Millsap","PF","ATL","BKN","33.7","34.92","7900"
"Bradley Beal","SG","WSH","SA","35.6","27.37","7200"
"John Wall","PG","WSH","SA","37.4","36.36","9400"
"Brandon Knight","SG","PHX","SAC","33.5","31.57","7000"
"Dwight Howard","C","HOU","ORL","33.5","35.15","8200"
"Paul George","PF","IND","BOS","35.9","29.98","8300"
"Jeff Teague","PG","ATL","BKN","32.1","31.84","7100"
"Tobias Harris","PF","ORL","HOU","34.5","27.56","6900"
"Jarrett Jack","PG","BKN","ATL","35.6","30.25","6300"
"Al Horford","C","ATL","BKN","31.5","32.24","7500"
"Isaiah Thomas","PG","BOS","IND","28.4","26.12","7200"
"Tim Duncan","C","SA","WSH","27.5","30.53","7100"
"Markieff Morris","PF","PHX","SAC","31","26.78","5900"
"C.J. McCollum","SG","POR","UTAH","34.8","23.95","6400"
"Ty Lawson","PG","HOU","ORL","33.5","28.89","6800"
"Alec Burks","SG","UTAH","POR","28.7","21.83","5400"
"Giannis Antetokounmpo","PF","MIL","PHI","35.6","30","6800"
"Darren Collison","PG","SAC","PHX","31.6","26.4","5700"
"Isaiah Canaan","PG","PHI","MIL","32.5","22.59","5200"
"Khris Middleton","SF","MIL","PHI","31.6","26.24","5600"
"DeMarre Carroll","SF","TOR","OKC","32","24.93","6100"
"Harrison Barnes","SF","GS","LAC","31.6","23.49","4800"
"Thaddeus Young","PF","BKN","ATL","31.5","23.76","5500"
"Draymond Green","PF","GS","LAC","32","30.27","7800"
"Greivis Vasquez","SG","MIL","PHI","30.5","23.57","4300"
"Joe Johnson","SF","BKN","ATL","32.6","23.65","6200"
"Serge Ibaka","PF","OKC","TOR","32.1","26.4","7100"
"Tony Parker","PG","SA","WSH","28.1","21.93","5000"
"Willie Cauley-Stein","C","SAC","PHX","31.7","25.92","5200"
"Jordan Hill","PF","IND","BOS","28.9","26.06","4500"
"Mo Williams","PG","CLE","NY","28.2","23.74","5500"
"J.J. Redick","SG","LAC","GS","28","19.66","4900"
"Jahlil Okafor","C","PHI","MIL","33.2","22.16","5700"
"Elfrid Payton","PG","ORL","HOU","34.3","27.82","7000"
"Evan Fournier","SF","ORL","HOU","33","21.57","4500"
"Nerlens Noel","PF","PHI","MIL","34.9","29.98","7500"
"Rodney Stuckey","PG","IND","BOS","25.2","21.55","4700"
"Avery Bradley","SG","BOS","IND","29.8","20.09","5700"
"Jamal Crawford","SG","LAC","GS","20.3","19.69","4900"
"Dennis Schroder","SG","ATL","BKN","25.3","23.23","4500"
"Langston Galloway","PG","NY","CLE","27.1","19.82","4800"
"Enes Kanter","C","OKC","TOR","22.7","21.6","6600"
"Jae Crowder","SF","BOS","IND","30.1","20.97","4700"
"Rodney Hood","SG","UTAH","POR","26.3","18.92","4500"
"Trevor Ariza","PF","HOU","ORL","32.1","24.48","5600"
"Danny Green","SG","SA","WSH","28.6","22.74","4200"
"Andrea Bargnani","PF","BKN","ATL","20.6","20.6","4000"
"Kent Bazemore","SG","ATL","BKN","32.2","21.61","4700"
"DeAndre Jordan","C","LAC","GS","32.9","29.57","8100"
"Jabari Parker","SF","MIL","PHI","26.5","20.03","6200"
"Jerryd Bayless","SG","MIL","PHI","31.3","22.75","3500"
"Marcin Gortat","C","WSH","SA","30.3","23.97","6100"
"Marcus Thornton","SG","HOU","ORL","23.5","16.17","3900"
"Corey Brewer","SF","HOU","ORL","27.1","20.94","4100"
