pos,name,gameDate,team,opp,salary,fppg,fpmax,fpmin,floor,ceil,average
PF,Adreian Payne,11/15/2015,MIN,MEM,3500,12.9,19,2,5.17,20.63,12.9
C,Al Horford,11/15/2015,ATL,UTA,7800,34.88,44.1,26.7,29.41,40.35,34.88
C,Al Jefferson,11/15/2015,CHA,POR,6600,25.31,43.3,13,17.16,33.46,25.31
SF,Al-Farouq Aminu,11/15/2015,POR,CHA,5900,26.32,33.1,19.3,21.86,30.78,26.32
SG,Alec Burks,11/15/2015,UTA,ATL,5400,23.54,31.1,12.2,17.03,30.06,23.545
C,Alexis Ajinca,11/15/2015,NOP,NYK,3600,11.38,21.8,4.4,6.03,16.73,11.38
SG,Allen Crabbe,11/15/2015,POR,CHA,3600,12.93,23.4,4.6,7.59,18.27,12.93
SF,Alonzo Gee,11/15/2015,NOP,NYK,3500,9.03,18.5,1.2,3.29,14.78,9.035
C,Amir Johnson,11/15/2015,BOS,OKC,5200,20.01,45.6,6.3,8.38,31.64,20.01
C,Andre Drummond,11/15/2015,DET,LAL,9700,47.07,70.4,33.4,34.94,59.19,47.065
PG,Andre Miller,11/15/2015,MIN,MEM,3700,11.48,21.3,2.5,2.94,20.01,11.475
SG,Andre Roberson,11/15/2015,OKC,BOS,3500,11.22,20.9,0.4,5.58,16.86,11.22
SF,Andrew Wiggins,11/15/2015,MIN,MEM,7100,26.86,44,8.2,16.44,37.29,26.865
PF,Anthony Bennett,11/15/2015,TOR,SAC,3500,4.23,7.2,0.2,1.93,6.54,4.235
SF,Anthony Brown,11/15/2015,LAL,DET,3500,3.5,5,2,2,5,3.5
PF,Anthony Davis,11/15/2015,NOP,NYK,10700,43.37,72.5,29.2,29.69,57.06,43.375
SG,Anthony Morrow,11/15/2015,OKC,BOS,3500,8.28,15.2,1,3.22,13.35,8.285
PF,Anthony Tolliver,11/15/2015,DET,LAL,3600,10.56,19.8,0.2,3.92,17.21,10.565
C,Aron Baynes,11/15/2015,DET,LAL,3500,8.78,12.7,3.2,5.7,11.85,8.775
SG,Arron Afflalo,11/15/2015,NYK,NOP,4700,22.15,23.6,20.7,20.7,23.6,22.15
SG,Avery Bradley,11/15/2015,BOS,OKC,5500,18.6,31.5,7.1,9.17,28.03,18.6
SG,Ben McLemore,11/15/2015,SAC,TOR,3600,10.39,24.8,1.2,2.93,17.84,10.385
C,Bismack Biyombo,11/15/2015,TOR,SAC,4000,15.44,28,9.2,10.63,20.25,15.44
C,Brandan Wright,11/15/2015,MEM,MIN,3700,14.11,28.7,2,6.41,21.82,14.115
PF,Brandon Bass,11/15/2015,LAL,DET,3800,12.1,24.5,3.2,5.71,18.49,12.1
PG,Brian Roberts,11/15/2015,CHA,POR,3500,3.22,7.7,1,0.71,5.73,3.22
SG,C.J. McCollum,11/15/2015,POR,CHA,6500,29.55,47.7,21.2,22.35,36.75,29.55
PG,Cameron Payne,11/15/2015,OKC,BOS,3500,3,6.5,-1,-0.08,6.08,3
SF,Carmelo Anthony,11/15/2015,NYK,NOP,9400,37.27,51.4,25.8,29.99,44.55,37.27
SF,Caron Butler,11/15/2015,SAC,TOR,3500,6.63,15.8,1,1.13,12.13,6.63
SG,Chris Johnson,11/15/2015,UTA,ATL,3500,4.92,9.5,2,2.03,7.81,4.92
C,Chris Kaman,11/15/2015,POR,CHA,3900,14.3,14.3,14.3,14.3,14.3,14.3
SF,Cleanthony Early,11/15/2015,NYK,NOP,3500,4.3,6.7,1.2,2,6.6,4.3
PF,Cody Zeller,11/15/2015,CHA,POR,4200,17.86,25.7,9.4,12.18,23.54,17.86
PG,Cory Joseph,11/15/2015,TOR,SAC,4100,17.62,32.2,3.9,9.53,25.71,17.62
SG,Courtney Lee,11/15/2015,MEM,MIN,4000,17.6,22.4,10.9,13.62,21.58,17.6
PG,D'Angelo Russell,11/15/2015,LAL,DET,5100,19.22,26.7,7.6,13.51,24.93,19.22
PG,D.J. Augustin,11/15/2015,OKC,BOS,3500,13.9,21.9,0.5,7.66,20.14,13.9
