name,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary
"Phil Pressey","PG","UTAH","DEN","3","1.91","0"
"Adreian Payne","PF","MIN","MIA","3.5","1.99","3500"
"James Ennis","SF","MIA","MIN","2.8","1.8","3500"
"Tim Frazier","PG","POR","MEM","2.9","2.01","3500"
"Bryce Cotton","PG","UTAH","DEN","1.5","1.02","0"
"Elijah Millsap","SG","UTAH","DEN","2.5","1.51","3500"
"Steve Novak","PF","OKC","CHI","1.9","1.31","3500"
"Jordan Adams","SG","MEM","POR","1.8","1.09","3500"
"Salah Mejri","C","DAL","CHA","1.6","1.01","3500"
"Jarnell Stokes","PF","MEM","POR","1.4","0.96","3500"
"Nikola Jokic","C","DEN","UTAH","1.5","0.91","3500"
"Tyus Jones","PG","MIN","MIA","1.5","0.91","3500"
"Cameron Payne","PG","OKC","CHI","1.4","1.11","3500"
"Tyler Hansbrough","PF","CHA","DAL","1.2","0.76","3500"
"Bobby Portis","PF","CHI","OKC","1.2","0.69","3700"
"Pat Connaughton","SG","POR","MEM","0.9","0.69","3500"
"Noah Vonleh","PF","POR","MEM","1.5","0.71","3500"
"Josh McRoberts","PF","MIA","MIN","1.4","0.71","3500"
"Jack Cooley","PF","UTAH","DEN","1.1","0.66","0"
"Nemanja Bjelica","SF","MIN","MIA","0.2","0.1","3600"
"Cameron Bairstow","C","CHI","OKC","0.5","0.22","3500"
"Jarell Martin","PF","MEM","POR","0","0","3500"
"Gerald Henderson","SG","POR","MEM","0","0","5100"
"Olivier Hanlan","PG","UTAH","DEN","0.1","0","0"
"Jusuf Nurkic","C","DEN","UTAH","0","0","4000"
"Mike Miller","SF","DEN","UTAH","0.1","0","3500"
"Wilson Chandler","SF","DEN","UTAH","0","0","6200"
"Damjan Rudez","SF","MIN","MIA","0.1","0","3500"
"Nikola Pekovic","C","MIN","MIA","0","0","4800"
"Mike Dunleavy","SF","CHI","OKC","0","0","4200"
