name,pos,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary
"Stephen Curry","PG","GS","LAC","38.2","0","40.38"
"Russell Westbrook","PG","OKC","TOR","37","0","42.37"
"Blake Griffin","PF","LAC","GS","36.3","0","41.37"
"Chris Paul","PG","LAC","GS","36.3","0","40.24"
"LeBron James","SF","CLE","NY","34.9","0","39.01"
"James Harden","SF","HOU","ORL","37.4","0","39.5"
"Carmelo Anthony","SF","NY","CLE","37.9","0","33.42"
"Monta Ellis","SG","IND","BOS","37.2","0","35.15"
"LaMarcus Aldridge","PF","SA","WSH","37.4","0","38.08"
"Klay Thompson","SG","GS","LAC","34.6","0","32.1"
"Rudy Gay","SF","SAC","PHX","37","0","34.92"
"Jamal Crawford","SG","LAC","GS","34","0","30.24"
"Damian Lillard","PG","POR","UTAH","34.6","0","33.58"
"DeMar DeRozan","SG","TOR","OKC","36.5","0","33.31"
"Kyle Lowry","PG","TOR","OKC","36.2","0","35.14"
"Nikola Vucevic","C","ORL","HOU","35.5","0","36.78"
"Brook Lopez","C","BKN","ATL","34.6","0","35.64"
"Derrick Favors","PF","UTAH","POR","34.6","0","35.33"
"Tim Duncan","C","SA","WSH","33.7","0","36.97"
"Andrea Bargnani","PF","BKN","ATL","32.5","0","32.86"
"Gordon Hayward","SF","UTAH","POR","33.9","0","32.06"
"Kawhi Leonard","SF","SA","WSH","35.8","0","35.75"
"Kevin Love","PF","CLE","NY","33.5","0","33.55"
"George Hill","PG","IND","BOS","32.1","0","28.73"
"Eric Bledsoe","PG","PHX","SAC","33.9","0","34.55"
"Paul Millsap","PF","ATL","BKN","33.7","0","34.92"
"Bradley Beal","SG","WSH","SA","35.6","0","27.37"
"John Wall","PG","WSH","SA","37.4","0","36.36"
"Brandon Knight","SG","PHX","SAC","33.5","0","31.57"
"Dwight Howard","C","HOU","ORL","33.5","0","35.15"
"Isaiah Thomas","PG","BOS","IND","31.6","0","28.98"
"Victor Oladipo","SG","ORL","HOU","34.4","0","30.5"
"Jeff Teague","PG","ATL","BKN","32.1","0","31.84"
"Alec Burks","SG","UTAH","POR","31.9","0","24.48"
