name,pos,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary
"James Harden","GF","SG","HOU","MIA","37.7","43.08","10400"
"Kevin Durant","F","SF","OKC","DEN","35.6","40.74","10400"
"Paul Millsap","FC","PF","ATL","CHA","35.5","40.3","7900"
"LaMarcus Aldridge","FC","PF","SA","BOS","35.2","36.64","8300"
"Jeff Teague","PG","PG","ATL","CHA","35.2","35.11","7100"
"Tim Duncan","FC","C","SA","BOS","32.3","39.69","7200"
"Nikola Vucevic","FC","C","ORL","CHI","34.8","35.05","7900"
"DeMar DeRozan","GF","SG","TOR","MIL","36","32.82","8200"
"Pau Gasol","FC","C","CHI","ORL","33.9","39.64","7900"
"Isaiah Thomas","PG","PG","BOS","SA","34.4","31.61","7400"
"Kyle Lowry","PG","PG","TOR","MIL","34.8","35.02","7700"
"Victor Oladipo","G","SG","ORL","CHI","36.8","32.06","8100"
"Dirk Nowitzki","FC","PF","DAL","LAL","30.1","29.34","6300"
"Kawhi Leonard","GF","SF","SA","BOS","33.2","34.32","8000"
"Louis Williams","SG","PG","LAL","DAL","30.2","26.09","4900"
"Danilo Gallinari","SF","SF","DEN","OKC","33.1","27.9","6600"
"Chris Bosh","FC","PF","MIA","HOU","34.2","31.79","8000"
"Jimmy Butler","GF","SG","CHI","ORL","35.5","30.26","7800"
"Al Horford","FC","C","ATL","CHA","33.3","35.34","7400"
"Derrick Rose","PG","PG","CHI","ORL","33","31.35","7500"
"Tobias Harris","F","PF","ORL","CHI","34","28.69","7100"
"Serge Ibaka","FC","PF","OKC","DEN","33.7","33.31","6900"
"Greg Monroe","FC","C","MIL","TOR","33.9","32.4","8300"
"Goran Dragic","G","PG","MIA","HOU","34.8","30.04","6300"
"Dwyane Wade","G","SG","MIA","HOU","31.2","27.53","7100"
"Kobe Bryant","GF","SF","LAL","DAL","30.1","28.06","7900"
"Chandler Parsons","F","SF","DAL","LAL","32.3","25.59","7000"
"Kemba Walker","PG","PG","CHA","ATL","34","29.09","7200"
"Jordan Clarkson","G","SG","LAL","DAL","30.3","26.65","6600"
"Nikola Mirotic","F","PF","CHI","ORL","30.8","28.99","6200"
"DeMarre Carroll","F","SF","TOR","MIL","31.1","24.73","6300"
"Ty Lawson","PG","PG","HOU","MIA","35.3","30.39","7100"
"Dennis Schroder","PG","SG","ATL","CHA","26.2","24.24","4600"
"Giannis Antetokounmpo","F","SF","MIL","TOR","33.8","30.34","6500"
"Enes Kanter","C","C","OKC","DEN","24.7","26.95","6800"
"Al Jefferson","FC","C","CHA","ATL","31.2","28.62","7500"
"Khris Middleton","GF","SG","MIL","TOR","32.9","24.61","5900"
"Gerald Green","GF","SF","MIA","HOU","26.8","20.07","3800"
"Tony Parker","PG","PG","SA","BOS","25.9","21.52","5300"
"Wesley Matthews","GF","SF","DAL","LAL","26.7","20.78","6000"
"Avery Bradley","G","SG","BOS","SA","31.3","22.4","5700"
"Kenneth Faried","FC","PF","DEN","OKC","31.3","29.1","6900"
"Michael Carter-Williams","PG","PG","MIL","TOR","31.8","30.53","7000"
"Luol Deng","F","SF","MIA","HOU","30.9","20.88","5700"
"Danny Green","GF","SG","SA","BOS","30.7","24.6","4100"
"Roy Hibbert","C","C","LAL","DAL","26.9","25.26","5400"
"Dion Waiters","GF","SG","OKC","DEN","24.3","20.62","4700"
"Elfrid Payton","PG","PG","ORL","CHI","30.4","25.88","7400"
"Trevor Ariza","GF","SF","HOU","MIA","31.7","24.94","5500"
"Emmanuel Mudiay","PG","PG","DEN","OKC","28.3","23.61","5500"
"Kyle Korver","GF","SG","ATL","CHA","32.7","23.26","5500"
"Deron Williams","PG","PG","DAL","LAL","26.6","23.57","6900"
"Evan Fournier","SG","SF","ORL","CHI","29.7","18.18","4300"
"David Lee","FC","PF","BOS","SA","24.4","22.46","5300"
"Corey Brewer","GF","SF","HOU","MIA","28.7","22.4","4100"
"Jeremy Lin","G","PG","CHA","ATL","28.7","22.85","4800"
"Hassan Whiteside","C","C","MIA","HOU","27","24.6","7400"
"Julius Randle","PF","PF","LAL","DAL","28.9","21.7","4400"
"Jonas Valanciunas","C","C","TOR","MIL","30.5","25.87","6100"
"D'Angelo Russell","PG","PG","LAL","DAL","28.6","20.22","5300"
"Nick Young","GF","SF","LAL","DAL","20.4","16.03","4100"
"Evan Turner","GF","SF","BOS","SA","29.2","23.48","5900"
"David West","PF","PF","SA","BOS","24","20.19","4500"
"Anthony Morrow","GF","SG","OKC","DEN","21.3","17.28","3900"
"Tyler Zeller","FC","C","BOS","SA","24.9","22.23","4600"
"Boris Diaw","FC","PF","SA","BOS","27.2","20.03","4100"
"Nicolas Batum","GF","SG","CHA","ATL","31.8","21.4","6300"
"D.J. Augustin","PG","PG","OKC","DEN","24","20.19","4000"
"O.J. Mayo","G","SG","MIL","TOR","23.7","18.21","3800"
"Joakim Noah","FC","C","CHI","ORL","30.2","27.25","5200"
"Joffrey Lauvergne","FC","C","DEN","OKC","28.4","22.9","3800"
"Jae Crowder","F","SF","BOS","SA","28.8","19.81","4800"
"Devin Harris","G","PG","DAL","LAL","20.8","17.86","4300"
"Brandon Bass","FC","PF","LAL","DAL","23","16.96","3700"
"Randy Foye","G","SG","DEN","OKC","20.8","15.52","3800"
"Aaron Brooks","PG","PG","CHI","ORL","20.1","17.15","4200"
"Greivis Vasquez","G","SG","MIL","TOR","22.9","17.34","4300"
"Zaza Pachulia","C","C","DAL","LAL","26.5","22.37","5300"
"Cody Zeller","FC","C","CHA","ATL","27.8","21.27","3900"
"Marcus Smart","PG","PG","BOS","SA","29.7","20.01","5600"
"Manu Ginobili","GF","SG","SA","BOS","18.1","16.03","4400"
"Luis Scola","FC","PF","TOR","MIL","18.6","17.59","4100"
"Steven Adams","C","C","OKC","DEN","26.6","21.67","4400"
"Ray McCallum","PG","PG","SA","BOS","21","16.02","3500"
"Mike Scott","PF","PF","ATL","CHA","19.2","13.41","3500"
"Jerryd Bayless","G","SG","MIL","TOR","23","17.65","3600"
"Patrick Mills","PG","PG","SA","BOS","17.2","13.65","3800"
"Patrick Patterson","FC","PF","TOR","MIL","25.2","18.42","4100"
"Will Barton","GF","SG","DEN","OKC","19.7","16.07","4900"
"Terrence Ross","GF","SG","TOR","MIL","23.4","14.45","3700"
"Juan Jose Barea","PG","PG","DAL","LAL","20.3","16.34","4500"
"Gary Harris","SG","SG","DEN","OKC","24.6","17.19","4100"
"J.J. Hickson","FC","C","DEN","OKC","18.5","16.19","3800"
"Kelly Olynyk","C","C","BOS","SA","20.1","15.77","4000"
"Clint Capela","FC","C","HOU","MIA","21.6","18.25","4500"
"Channing Frye","FC","PF","ORL","CHI","23.1","15.47","3800"
"Tony Snell","GF","SF","CHI","ORL","23.3","13.65","3800"
"Raymond Felton","G","PG","DAL","LAL","17.3","15.07","4100"
"Chris Copeland","F","PF","MIL","TOR","19","13.61","3600"
"Tiago Splitter","C","C","ATL","CHA","19.6","16.23","3900"
"Kyle Singler","GF","SF","OKC","DEN","21.8","13.75","3500"
"Taj Gibson","FC","PF","CHI","ORL","19.3","16.67","4500"
"P.J. Hairston","GF","SF","CHA","ATL","23.4","13.2","3500"
"Kent Bazemore","GF","SF","ATL","CHA","24.3","16.45","4000"
"Marvin Williams","F","PF","CHA","ATL","26.1","15.77","4500"
"Jameer Nelson","PG","PG","DEN","OKC","23.5","16.09","4600"
"Tarik Black","FC","C","LAL","DAL","19.8","16.27","4000"
"Bismack Biyombo","C","C","TOR","MIL","21.8","17.06","4000"
"Tim Hardaway Jr.","SG","SG","ATL","CHA","14.9","11.48","3900"
"Aaron Gordon","F","SF","ORL","CHI","21.3","15.15","4100"
"Jeremy Lamb","GF","SG","CHA","ATL","17.6","11.96","3900"
"Cory Joseph","PG","PG","TOR","MIL","20.6","13.81","3700"
"Patrick Beverley","G","PG","HOU","MIA","21.6","14.53","3900"
"Shabazz Napier","PG","PG","ORL","CHI","22","13.84","3500"
"Amir Johnson","FC","PF","BOS","SA","21.2","16.16","5300"
"Charlie Villanueva","PF","PF","DAL","LAL","12.2","11.26","3600"
