pos,name,gameDate,team,opp,salary,fppg,fpmax,fpmin,floor,ceil,average
"PF","Aaron Gordon","2015-11-12","ORL","LAL","3900","17.54","31.1","3.4","8.93","26.15","17.54"
"C","Al Horford","2015-11-12","ATL","NOP","7500","33.49","40.6","26.7","28.6","38.38","33.49"
"C","Al Jefferson","2015-11-12","CHA","NYK","7300","27.61","43.3","16.8","20.1","35.13","27.615"
"SF","Al-Farouq Aminu","2015-11-12","POR","SAS","5800","25.94","31.3","19.3","21.78","30.09","25.935"
"C","Alexis Ajinca","2015-11-12","NOP","ATL","3500","10.76","16.5","4.4","6.81","14.71","10.76"
"SG","Allen Crabbe","2015-11-12","POR","SAS","3700","12.69","23.4","4.6","7.12","18.25","12.685"
"SF","Alonzo Gee","2015-11-12","NOP","ATL","3500","8.61","18.5","1.2","2.2","15.03","8.615"
"C","Amir Johnson","2015-11-12","BOS","IND","4900","16.93","27.9","6.3","9.63","24.23","16.93"
"C","Andre Drummond","2015-11-12","DET","SAC","9900","49.2","70.4","35.4","36.65","61.75","49.2"
"SF","Andre Iguodala","2015-11-12","GSW","MEM","4700","22.85","34.2","13.5","16.96","28.74","22.85"
"C","Andrea Bargnani","2015-11-12","BKN","HOU","3500","7.71","28.4","-1","-1.22","16.65","7.715"
"C","Andrew Bogut","2015-11-12","GSW","MEM","5400","25.15","29.5","20.8","20.8","29.5","25.15"
"PF","Andrew Nicholson","2015-11-12","ORL","LAL","3500","0.2","0.2","0.2","0.2","0.2","0.2"
"PF","Anthony Bennett","2015-11-12","TOR","PHI","3500","5.2","7.2","3.4","3.49","6.91","5.2"
"SF","Anthony Brown","2015-11-12","LAL","ORL","3500","3.5","5","2","2","5","3.5"
"PF","Anthony Davis","2015-11-12","NOP","ATL","10800","43.37","72.5","29.2","29.69","57.06","43.375"
"PF","Anthony Tolliver","2015-11-12","DET","SAC","3500","8.57","18.6","0.2","2.29","14.85","8.57"
"C","Aron Baynes","2015-11-12","DET","SAC","3500","9.93","12.7","6.3","7.53","12.34","9.935"
"PG","Austin Rivers","2015-11-12","LAC","DAL","3500","11.04","19.9","-2","4.82","17.26","11.04"
"SG","Avery Bradley","2015-11-12","BOS","IND","5800","18.6","31.5","7.1","9.17","28.03","18.6"
"SG","Ben McLemore","2015-11-12","SAC","DET","3500","8.98","24.8","1.2","2.3","15.65","8.975"
"C","Bismack Biyombo","2015-11-12","TOR","PHI","3800","13.83","17.4","9.2","11.27","16.38","13.825"
"PF","Blake Griffin","2015-11-12","LAC","DAL","10200","46.79","57.8","39","40.39","53.19","46.79"
"C","Boban Marjanovic","2015-11-12","SAS","POR","3500","4.43","11.5","1","0.27","8.58","4.425"
"SF","Bojan Bogdanovic","2015-11-12","BKN","HOU","3800","14.41","25.4","7.2","8.42","20.41","14.415"
"PF","Boris Diaw","2015-11-12","SAS","POR","3900","14.94","27","6.7","8.96","20.93","14.945"
"C","Brandan Wright","2015-11-12","MEM","GSW","3700","14.11","28.7","2","6.41","21.82","14.115"
"PF","Brandon Bass","2015-11-12","LAL","ORL","3700","9.88","19","3.2","5.01","14.75","9.88"
"SG","Brandon Rush","2015-11-12","GSW","MEM","3500","9.3","13.3","4.4","5.61","12.99","9.3"
"PG","Brian Roberts","2015-11-12","CHA","NYK","3500","3.22","7.7","1","0.71","5.73","3.22"
"C","Brook Lopez","2015-11-12","BKN","HOU","7900","33.26","44.7","26","25.89","40.63","33.26"
"SG","C.J. McCollum","2015-11-12","POR","SAS","6500","30.26","47.7","21.6","22.87","37.66","30.265"
"SF","C.J. Miles","2015-11-12","IND","BOS","4600","17.96","23.7","13.4","13.8","22.12","17.96"
"PG","C.J. Watson","2015-11-12","ORL","LAL","3600","13.28","22.5","4.5","7.28","19.27","13.275"
"SF","Carmelo Anthony","2015-11-12","NYK","CHA","9400","36.81","51.4","25.8","28.74","44.89","36.815"
"SF","Caron Butler","2015-11-12","SAC","DET","3500","4.8","12.4","1","0.78","8.82","4.8"
"SF","Chandler Parsons","2015-11-12","DAL","LAC","5700","9.26","12.1","5.2","6.7","11.82","9.26"
"PF","Channing Frye","2015-11-12","ORL","LAL","3700","11.37","21.6","4.9","4.05","18.69","11.37"
"PF","Charlie Villanueva","2015-11-12","DAL","LAC","3500","14.12","29.8","6.4","6.54","21.69","14.115"
"SF","Chase Budinger","2015-11-12","IND","BOS","3500","7.65","14.6","1.2","3.14","12.16","7.65"
"SF","Chris Copeland","2015-11-12","MIL","DEN","3500","8.84","11.4","3.9","6.1","11.58","8.84"
"PG","Chris Paul","2015-11-12","LAC","DAL","9100","32.55","45.1","22.1","23.04","42.06","32.55"
"PF","Christian Wood","2015-11-12","PHI","TOR","3600","7.88","19.6","2.4","0.93","14.82","7.875"
"SF","Cleanthony Early","2015-11-12","NYK","CHA","3500","4.3","6.7","1.2","2","6.6","4.3"
"C","Clint Capela","2015-11-12","HOU","BKN","4700","21.17","36.4","8.2","13.16","29.18","21.17"
