pos,name,gameDate,team,opp,salary,fppg,fpmax,fpmin,floor,ceil,average
"PF","Aaron Gordon","2015-11-22","ORL","SAC","4000","18.68","31.1","3.4","9.76","27.59","18.675"
"C","Al Horford","2015-11-22","ATL","CLE","7500","33.57","44.1","21.7","27.4","39.74","33.57"
"PF","Amar'e Stoudemire","2015-11-22","MIA","PHI","3800","8.65","11.7","5.6","5.6","11.7","8.65"
"C","Anderson Varejao","2015-11-22","CLE","ATL","3500","6.08","12.9","-2","1.58","10.58","6.08"
"C","Andre Drummond","2015-11-22","DET","WAS","10100","46.49","70.4","33.4","34.98","58","46.49"
"PF","Andrew Nicholson","2015-11-22","ORL","SAC","3500","6.2","16.4","0.2","-1.05","13.45","6.2"
"PF","Anthony Tolliver","2015-11-22","DET","WAS","3500","9.4","19.8","0.2","3.02","15.78","9.4"
"C","Aron Baynes","2015-11-22","DET","WAS","3500","10.13","24.7","3.2","4.5","15.76","10.13"
"SG","Arron Afflalo","2015-11-22","NYK","HOU","4600","17.98","23.6","7.6","11.94","24.02","17.98"
"SG","Ben McLemore","2015-11-22","SAC","ORL","3700","11.49","24.8","1.2","4.29","18.69","11.49"
"PG","Beno Udrih","2015-11-22","MIA","PHI","3500","11.1","25.4","3","3.9","18.3","11.1"
"C","Boban Marjanovic","2015-11-22","SAS","MEM","3500","3.32","11.5","1","-0.42","7.06","3.32"
"PF","Boris Diaw","2015-11-22","SAS","MEM","3900","15.48","30.1","6.7","8.69","22.26","15.475"
"SG","Bradley Beal","2015-11-22","WAS","DET","7300","31.38","42","19.2","24.43","38.34","31.385"
"C","Brandan Wright","2015-11-22","MEM","SAS","3700","14.11","28.7","2","6.41","21.82","14.115"
"SF","C.J. Miles","2015-11-22","IND","MIL","4800","19.84","29.4","11.5","14.08","25.61","19.845"
"PG","C.J. Watson","2015-11-22","ORL","SAC","3600","13.28","22.5","4.5","7.28","19.27","13.275"
"SF","Carmelo Anthony","2015-11-22","NYK","HOU","9600","38.23","51.4","25.8","30.93","45.53","38.23"
"SF","Caron Butler","2015-11-22","SAC","ORL","3500","6.63","15.8","1","1.13","12.13","6.63"
"PF","Channing Frye","2015-11-22","ORL","SAC","3500","12.2","24","1.2","4.37","20.03","12.2"
"SF","Chase Budinger","2015-11-22","IND","MIL","3700","10.98","28.7","1.2","3.39","18.58","10.985"
"C","Chris Andersen","2015-11-22","MIA","PHI","3500","5.8","5.8","5.8","5.8","5.8","5.8"
"PF","Chris Bosh","2015-11-22","MIA","PHI","8100","35.32","45.6","19.4","27.45","43.19","35.32"
"SF","Chris Copeland","2015-11-22","MIL","IND","3500","8.28","11.4","3.9","5.49","11.07","8.28"
"PF","Christian Wood","2015-11-22","PHI","MIA","3700","10.79","30.6","2","1.95","19.62","10.785"
"SF","Cleanthony Early","2015-11-22","NYK","HOU","3500","4.3","6.7","1.2","2","6.6","4.3"
"C","Clint Capela","2015-11-22","HOU","NYK","4300","18.37","36.4","8.2","10.99","25.75","18.37"
"SF","Corey Brewer","2015-11-22","HOU","NYK","3700","13.28","23.9","3","5.68","20.87","13.275"
"SG","Courtney Lee","2015-11-22","MEM","SAS","3900","16.9","22.4","10.9","12.93","20.87","16.9"
"SF","Damien Inglis","2015-11-22","MIL","IND","3500","5.4","10.3","1.2","1.85","8.95","5.4"
"SG","Danny Green","2015-11-22","SAS","MEM","4200","17.23","23.6","12","13.64","20.81","17.225"
"PG","Darren Collison","2015-11-22","SAC","ORL","5200","22.16","36.5","10.5","15.28","29.05","22.165"
"PF","David West","2015-11-22","SAS","MEM","3900","12.37","27.8","2.4","5.12","19.61","12.365"
"C","DeJuan Blair","2015-11-22","WAS","DET","3500","5.48","15.8","-0.8","-0.9","11.85","5.475"
"C","DeMarcus Cousins","2015-11-22","SAC","ORL","10600","42.47","58.1","25.3","33.53","51.42","42.475"
"PG","Dennis Schroder","2015-11-22","ATL","CLE","5100","21.87","32.6","8.9","15.31","28.42","21.865"
"PF","Derrick Williams","2015-11-22","NYK","HOU","3500","12.73","33.9","2","4.9","20.57","12.735"
"SG","Devyn Marble","2015-11-22","ORL","SAC","3500","3.2","3.2","3.2","3.2","3.2","3.2"
"C","Dewayne Dedmon","2015-11-22","ORL","SAC","3700","16.11","30.8","3","9.49","22.73","16.11"
"PF","Drew Gooden","2015-11-22","WAS","DET","3500","10.65","29.2","-1","1.14","20.16","10.65"
"C","Dwight Howard","2015-11-22","HOU","NYK","8100","34.88","50.9","20.4","25.07","44.68","34.875"
"SG","Dwyane Wade","2015-11-22","MIA","PHI","7000","29.41","43","18.4","21.36","37.46","29.41"
"PG","Elfrid Payton","2015-11-22","ORL","SAC","6900","26.27","48.4","3.4","14.94","37.59","26.265"
"PF","Eric Moreland","2015-11-22","SAC","ORL","3500","2.53","5.2","1.2","0.65","4.42","2.535"
"PF","Ersan Ilyasova","2015-11-22","DET","WAS","4500","16.47","32.2","6.9","8.73","24.21","16.47"
"SG","Evan Fournier","2015-11-22","ORL","SAC","5900","29.81","44","12.3","19.73","39.89","29.81"
"PG","Garrett Temple","2015-11-22","WAS","DET","3600","11.38","26.6","1","1.81","20.96","11.385"
"SG","Gary Neal","2015-11-22","WAS","DET","3500","11.66","18.4","1.2","5.9","17.42","11.66"
"PG","George Hill","2015-11-22","IND","MIL","6300","25.79","40.4","15.2","17.77","33.81","25.79"
"SG","Gerald Green","2015-11-22","MIA","PHI","3500","10.58","19.7","5.2","5.39","15.77","10.58"
"SG","Giannis Antetokounmpo","2015-11-22","MIL","IND","7200","31.91","46","19.6","24.24","39.58","31.91"
"PG","Goran Dragic","2015-11-22","MIA","PHI","5600","21.05","32","6.9","13.88","28.21","21.045"
"C","Greg Monroe","2015-11-22","MIL","IND","7700","34.92","52.8","15","25.21","44.62","34.915"
"PG","Greivis Vasquez","2015-11-22","MIL","IND","4000","16.73","30.9","3.2","8.36","25.11","16.735"
"C","Hassan Whiteside","2015-11-22","MIA","PHI","8500","37.3","54.8","13.2","25.41","49.19","37.3"
"SF","Hollis Thompson","2015-11-22","PHI","MIA","3800","16.44","26.2","7.6","10.96","21.92","16.44"
"C","Ian Mahinmi","2015-11-22","IND","MIL","4800","20.66","31.1","-1","12.45","28.88","20.665"
"PG","Isaiah Canaan","2015-11-22","PHI","MIA","4000","15.27","35.1","4","6.8","23.74","15.27"
"SG","J.R. Smith","2015-11-22","CLE","ATL","5000","16.27","28.9","-2","6.43","26.11","16.27"
"PF","Jabari Parker","2015-11-22","MIL","IND","5500","14.12","23.1","7.7","8.09","20.14","14.115"
"C","Jahlil Okafor","2015-11-22","PHI","MIA","6500","29.68","43.5","18.2","21.11","38.26","29.685"
