POS,name,team,opp,Minutes,SP FP/M,SP FP,NF FP,NF FP/M,AV FP/M,AV FP,DEF/48,DEF +-/ ,SP w/ DEF,NF w/ DEF,AV w/ DEF,FD_salary
PF,Andrew Nicholson,ORL,TOR,2.5,,0,1.45,0.58,,,,#DIV/0!,#DIV/0!,,#DIV/0!,3500
SF,Damien Inglis,MIL,NY,2.2,,0,1.33,0.604545455,,,,#DIV/0!,#DIV/0!,,#DIV/0!,3500
PF,Rakeem Christmas,IND,MIA,1.9,,0,1.31,0.689473684,,,,#DIV/0!,#DIV/0!,,#DIV/0!,3500
SG,Justin Holiday,ATL,NO,2,,0,1.29,0.645,,,,#DIV/0!,#DIV/0!,,#DIV/0!,3600
PG,Spencer Dinwiddie,DET,PHX,2,,0,1.29,0.645,,,,#DIV/0!,#DIV/0!,,#DIV/0!,3500
SF,Anthony Brown,LAL,BKN,2.2,,0,1.23,0.559090909,,,,#DIV/0!,#DIV/0!,,#DIV/0!,3500
SG,Lamar Patterson,ATL,NO,1.7,,0,1.21,0.711764706,,,,#DIV/0!,#DIV/0!,,#DIV/0!,3500
SF,James Ennis,MIA,IND,2.3,,0,1.21,0.526086957,,,,#DIV/0!,#DIV/0!,,#DIV/0!,3500
SF,Chase Budinger,IND,MIA,2.1,,0,1.21,0.576190476,,,,#DIV/0!,#DIV/0!,,#DIV/0!,3600
SF,Darrun Hilliard,DET,PHX,1.5,,0,1.11,0.74,,,,#DIV/0!,#DIV/0!,,#DIV/0!,3500
C,Shayne Whittington,IND,MIA,1.5,,0,1.01,0.673333333,,,,#DIV/0!,#DIV/0!,,#DIV/0!,3500
SG,Josh Richardson,MIA,IND,1.4,,0,0.91,0.65,,,,#DIV/0!,#DIV/0!,,#DIV/0!,3500
SF,Tyler Harvey,ORL,TOR,1.6,,0,0.91,0.56875,,,,#DIV/0!,#DIV/0!,,#DIV/0!,0
PG,Ian Clark,GS,DEN,1.3,,0,0.67,0.515384615,,,,#DIV/0!,#DIV/0!,,#DIV/0!,3500
