pos,name,gameDate,team,opp,salary,fppg,fpmax,fpmin,floor,ceil,average
"PF","Aaron Gordon","2015-11-15","ORL","WAS","3800","18.13","31.1","3.4","9.14","27.12","18.13"
"C","Alex Len","2015-11-15","PHO","DEN","3900","12.7","23.9","5.8","6.12","19.28","12.7"
"C","Anderson Varejao","2015-11-15","CLE","MIL","3500","5.4","12","-2","1.06","9.74","5.4"
"C","Andre Drummond","2015-11-15","DET","LAC","9700","47.23","70.4","33.4","34.37","60.08","47.225"
"SF","Andre Iguodala","2015-11-15","GSW","BKN","4700","22.18","34.2","13.5","16.74","27.62","22.18"
"C","Andrea Bargnani","2015-11-15","BKN","GSW","3500","8.39","28.4","-1","0.34","16.44","8.39"
"C","Andrew Bogut","2015-11-15","GSW","BKN","5200","20.35","29.5","9.9","13.39","27.31","20.35"
"PF","Andrew Nicholson","2015-11-15","ORL","WAS","3500","1.1","2","0.2","0.2","2","1.1"
"PF","Anthony Tolliver","2015-11-15","DET","LAC","3600","10.17","19.8","0.2","3.15","17.19","10.17"
"PG","Archie Goodwin","2015-11-15","PHO","DEN","3500","6.06","18.5","1","-0.46","12.58","6.06"
"C","Aron Baynes","2015-11-15","DET","LAC","3500","8.97","12.7","3.2","5.73","12.21","8.97"
"PG","Austin Rivers","2015-11-15","LAC","DET","3800","13.71","30.7","-2","5.46","21.96","13.71"
"PF","Blake Griffin","2015-11-15","LAC","DET","9700","42.93","57.8","22.6","33.23","52.64","42.935"
"C","Boban Marjanovic","2015-11-15","SAS","PHI","3500","4.43","11.5","1","0.27","8.58","4.425"
"SF","Bojan Bogdanovic","2015-11-15","BKN","GSW","4200","17.2","36.3","7.2","8.56","25.84","17.2"
"PF","Boris Diaw","2015-11-15","SAS","PHI","3900","15.2","27","6.7","9.56","20.84","15.2"
"SG","Bradley Beal","2015-11-15","WAS","ORL","7300","31.38","42","19.2","24.43","38.34","31.385"
"PG","Brandon Knight","2015-11-15","PHO","DEN","7000","32.24","44.5","14.3","22.73","41.75","32.24"
"SG","Brandon Rush","2015-11-15","GSW","BKN","3500","9.3","13.3","4.4","5.61","12.99","9.3"
"C","Brook Lopez","2015-11-15","BKN","GSW","8000","34.19","44.7","26","27.4","40.98","34.19"
"PG","C.J. Watson","2015-11-15","ORL","WAS","3600","13.28","22.5","4.5","7.28","19.27","13.275"
"SF","Chandler Parsons","2015-11-15","DAL","HOU","5400","9.82","12.6","5.2","7.17","12.46","9.815"
"PF","Channing Frye","2015-11-15","ORL","WAS","3800","14.52","24","4.9","7.03","22.01","14.52"
"PF","Charlie Villanueva","2015-11-15","DAL","HOU","3700","12.99","29.8","6.4","6.14","19.84","12.99"
"SF","Chris Copeland","2015-11-15","MIL","CLE","3500","8.84","11.4","3.9","6.1","11.58","8.84"
"PG","Chris Paul","2015-11-15","LAC","DET","8900","31.71","45.1","22.1","22.67","40.75","31.71"
"PF","Christian Wood","2015-11-15","PHI","SAS","3500","11.87","30.6","2.4","1.74","21.99","11.865"
"C","Clint Capela","2015-11-15","HOU","DAL","4600","19.02","36.4","8.2","10.84","27.2","19.02"
"C","Cole Aldrich","2015-11-15","LAC","DET","3500","3.9","6.8","1","1","6.8","3.9"
"SF","Corey Brewer","2015-11-15","HOU","DAL","3700","13.14","23.9","3","5.54","20.75","13.145"
"SF","Damien Inglis","2015-11-15","MIL","CLE","3500","5.4","10.3","1.2","1.85","8.95","5.4"
"SF","Danilo Gallinari","2015-11-15","DEN","PHO","6500","28.49","45.1","12.9","18.3","38.68","28.49"
"SG","Danny Green","2015-11-15","SAS","PHI","4200","17.35","23.6","12.5","13.53","21.17","17.35"
"PF","Darrell Arthur","2015-11-15","DEN","PHO","3500","12.07","17.8","7.1","9.02","15.11","12.065"
"PF","David West","2015-11-15","SAS","PHI","4100","11.04","27.8","2.4","3.12","18.95","11.035"
"C","DeAndre Jordan","2015-11-15","LAC","DET","7600","32.01","53.1","22.2","23.29","40.73","32.01"
"C","DeJuan Blair","2015-11-15","WAS","ORL","3500","5.47","15.8","-0.8","-1.9","12.83","5.465"
"PG","Deron Williams","2015-11-15","DAL","HOU","6400","24.28","28","13.5","19.78","28.77","24.275"
"SG","Devin Booker","2015-11-15","PHO","DEN","3500","5.92","19.6","-1","-1.54","13.38","5.92"
"SG","Devin Harris","2015-11-15","DAL","HOU","4000","16.8","22.7","1.7","10.52","23.08","16.8"
"SG","Devyn Marble","2015-11-15","ORL","WAS","3500","3.2","3.2","3.2","3.2","3.2","3.2"
"C","Dewayne Dedmon","2015-11-15","ORL","WAS","4100","17.93","30.8","12.8","12.46","23.4","17.93"
"PF","Dirk Nowitzki","2015-11-15","DAL","HOU","6700","29.5","43.7","17.5","21.91","37.09","29.5"
"PG","Donald Sloan","2015-11-15","BKN","GSW","3500","3.7","6.4","1","1","6.4","3.7"
"PF","Draymond Green","2015-11-15","GSW","BKN","8000","33.54","56.6","20.5","23.21","43.87","33.54"
"PF","Drew Gooden","2015-11-15","WAS","ORL","3500","12.98","29.2","5.6","4.27","21.69","12.98"
"C","Dwight Howard","2015-11-15","HOU","DAL","8400","36.12","50.9","20.4","25.11","47.12","36.115"
"PF","Dwight Powell","2015-11-15","DAL","HOU","4500","23.71","30.5","15.7","18.28","29.15","23.715"
"PG","Elfrid Payton","2015-11-15","ORL","WAS","6500","23.83","35.9","3.4","13.91","33.75","23.83"
"PG","Emmanuel Mudiay","2015-11-15","DEN","PHO","6000","26.32","37.1","16.3","19.62","33.02","26.32"
"SG","Eric Bledsoe","2015-11-15","PHO","DEN","8500","39.08","55.6","21.8","28.94","49.21","39.075"
"PF","Ersan Ilyasova","2015-11-15","DET","LAC","4300","14.3","27.9","6.9","7.97","20.63","14.3"
"SG","Evan Fournier","2015-11-15","ORL","WAS","5600","28.32","44","12.3","17.91","38.73","28.32"
"C","Festus Ezeli","2015-11-15","GSW","BKN","4100","20.66","30.4","10","14.36","26.96","20.66"
"PG","Garrett Temple","2015-11-15","WAS","ORL","3500","5.58","14.6","1","0.12","11.03","5.575"
"SG","Gary Harris","2015-11-15","DEN","PHO","3800","15.58","25.5","7.7","9.06","22.1","15.58"
"SG","Gary Neal","2015-11-15","WAS","ORL","3500","10.84","18.4","1.2","4.76","16.92","10.84"
"SG","Giannis Antetokounmpo","2015-11-15","MIL","CLE","7000","30.6","40.8","19.6","23.65","37.55","30.6"
"C","Greg Monroe","2015-11-15","MIL","CLE","8200","37","52.8","19.9","28.6","45.4","37"
"PG","Greivis Vasquez","2015-11-15","MIL","CLE","4200","16.96","30.9","3.2","7.94","25.97","16.955"
"SF","Harrison Barnes","2015-11-15","GSW","BKN","5300","24.55","34.3","14.4","18.6","30.5","24.55"
"SF","Hollis Thompson","2015-11-15","PHI","SAS","3800","16.38","26.2","7.6","10.18","22.58","16.38"
"SG","Ian Clark","2015-11-15","GSW","BKN","3500","7.54","20.1","-0.8","0.57","14.51","7.54"
"PG","Isaiah Canaan","2015-11-15","PHI","SAS","4700","17.54","35.1","8.7","8.83","26.26","17.545"
"PG","J.J. Barea","2015-11-15","DAL","HOU","4100","15.43","24.7","-0.8","8.21","22.65","15.43"
"PF","J.J. Hickson","2015-11-15","DEN","PHO","4400","20.13","42.1","4.2","7.58","32.67","20.125"
"SG","J.J. Redick","2015-11-15","LAC","DET","4600","18.49","28","12","13.5","23.47","18.485"
"SG","J.R. Smith","2015-11-15","CLE","MIL","5200","12.58","28.9","-2","2.48","22.69","12.585"
"PF","Jabari Parker","2015-11-15","MIL","CLE","5600","12.13","23.1","7.7","5.76","18.49","12.125"
"C","Jahlil Okafor","2015-11-15","PHI","SAS","6700","30.13","43.5","18.2","22.07","38.2","30.135"
"SF","JaKarr Sampson","2015-11-15","PHI","SAS","3600","10.09","18.2","1","4.07","16.11","10.09"
"SG","Jamal Crawford","2015-11-15","LAC","DET","4400","15.43","23.2","7","10.52","20.35","15.435"
"PG","Jameer Nelson","2015-11-15","DEN","PHO","4500","18.33","24.7","11.2","13.76","22.9","18.33"
"SG","James Harden","2015-11-15","HOU","DAL","10000","45.57","66.7","31.9","35.11","56.02","45.565"
"SF","James Jones","2015-11-15","CLE","MIL","3500","4.48","13.2","-1","0.02","8.93","4.475"
"PF","James Michael McAdoo","2015-11-15","GSW","BKN","3500","6.25","18.9","1.5","0.02","12.48","6.25"
"SG","Jared Cunningham","2015-11-15","CLE","MIL","3500","6.47","15.7","1","1.9","11.04","6.47"
"SF","Jared Dudley","2015-11-15","WAS","ORL","3500","11.15","19.2","6.1","5.8","16.5","11.15"
"PG","Jarrett Jack","2015-11-15","BKN","GSW","6100","27.84","44.4","15.2","17.88","37.8","27.84"
"PF","Jason Smith","2015-11-15","ORL","WAS","3500","10.3","19.5","3.6","4.65","15.95","10.3"
"PG","Jason Terry","2015-11-15","HOU","DAL","3500","5.63","8.9","2.2","3.21","8.06","5.635"
"PF","Jason Thompson","2015-11-15","GSW","BKN","4000","6.24","14.8","1.2","1.36","11.12","6.24"
"PF","Jerami Grant","2015-11-15","PHI","SAS","4400","21.43","31.5","10.9","15.66","27.2","21.43"
"PF","Jeremy Evans","2015-11-15","DAL","HOU","3500","6.83","18.2","0.2","0.93","12.74","6.835"
"PG","Jerryd Bayless","2015-11-15","MIL","CLE","4300","21.41","41.2","5.2","10.83","31.99","21.41"
"SG","Jodie Meeks","2015-11-15","DET","LAC","3600","3.4","3.4","3.4","3.4","3.4","3.4"
"SG","Joe Harris","2015-11-15","CLE","MIL","3500","2.4","3.9","1.2","1.3","3.5","2.4"
"SG","Joe Johnson","2015-11-15","BKN","GSW","6400","24.39","39.4","6.9","15.58","33.2","24.39"
"PF","Joffrey Lauvergne","2015-11-15","DEN","PHO","4000","21.93","24.9","19","19.52","24.34","21.93"
"PF","John Henson","2015-11-15","MIL","CLE","4000","14","36.5","5.6","2.6","25.4","14"
"SG","John Jenkins","2015-11-15","DAL","HOU","3600","16.3","26.7","5.9","5.9","26.7","16.3"
"PG","John Wall","2015-11-15","WAS","ORL","9200","38.2","49.4","22.9","30.02","46.38","38.2"
"C","Johnny O'Bryant","2015-11-15","MIL","CLE","3700","13.46","28.3","3.6","6.48","20.43","13.455"
"PF","Jon Leuer","2015-11-15","PHO","DEN","3700","15.66","28.9","7.3","7.82","23.51","15.665"
"PF","Josh Smith","2015-11-15","LAC","DET","3900","13.22","18.5","5.9","8.9","17.54","13.22"
"SF","Justin Anderson","2015-11-15","DAL","HOU","3500","7.34","15.7","1.2","1.23","13.46","7.345"
"SF","K.J. McDaniels","2015-11-15","HOU","DAL","3500","5.2","5.2","5.2","5.2","5.2","5.2"
"SF","Kawhi Leonard","2015-11-15","SAS","PHI","8400","37.56","48.6","31.5","31.48","43.64","37.56"
"SF","Kelly Oubre","2015-11-15","WAS","ORL","3500","12.5","13.6","11.4","11.4","13.6","12.5"
"PF","Kenneth Faried","2015-11-15","DEN","PHO","7000","30.11","43.5","14.9","21.78","38.45","30.115"
"SG","Kentavious Caldwell-Pope","2015-11-15","DET","LAC","5100","23.01","27.8","15.2","18.4","27.63","23.015"
"PF","Kevin Love","2015-11-15","CLE","MIL","8000","34.93","51.8","22.2","25.05","44.82","34.935"
"SF","Khris Middleton","2015-11-15","MIL","CLE","5700","23.6","36.3","8.4","14.73","32.47","23.6"
"SG","Klay Thompson","2015-11-15","GSW","BKN","6500","24.64","33.5","13.4","18.19","31.09","24.64"
"SF","Kostas Papanikolaou","2015-11-15","DEN","PHO","3500","4.78","12.1","0.2","0.08","9.47","4.775"
"PF","Kris Humphries","2015-11-15","WAS","ORL","4000","14.86","21.5","7.6","10.44","19.28","14.86"
"SF","Kyle Anderson","2015-11-15","SAS","PHI","3500","6.62","11.4","2.7","4.01","9.22","6.615"
"PF","LaMarcus Aldridge","2015-11-15","SAS","PHI","8000","29.5","50.3","20.5","20.89","38.11","29.5"
"SG","Lance Stephenson","2015-11-15","LAC","DET","3600","13.06","22","4.1","7.54","18.57","13.055"
"SG","Leandro Barbosa","2015-11-15","GSW","BKN","3600","11.69","18.5","8","8.31","15.06","11.685"
"SF","LeBron James","2015-11-15","CLE","MIL","10200","45.41","58.3","30.9","37","53.82","45.41"
"SF","Luc Richard Mbah a Moute","2015-11-15","LAC","DET","3500","6.03","13.4","1.5","0.78","11.29","6.035"
"SG","Manu Ginobili","2015-11-15","SAS","PHI","4800","22.15","30.1","9.5","16.11","28.19","22.15"
"C","Marcin Gortat","2015-11-15","WAS","ORL","6000","22.74","34.1","14.5","17.15","28.34","22.745"
