pos,name,gameDate,team,opp,salary,fppg,fpmax,fpmin,floor,ceil,average
"PG","Aaron Brooks","2015-11-18","CHI","PHO","4000","14.84","25.6","6.1","8.66","21.03","14.845"
"PF","Aaron Gordon","2015-11-18","ORL","MIN","4100","19.15","31.1","3.4","10","28.31","19.155"
"PF","Adreian Payne","2015-11-18","MIN","ORL","3500","13.38","19","2","6.63","20.12","13.375"
"C","Al Horford","2015-11-18","ATL","SAC","7800","34.56","44.1","26.7","29.22","39.9","34.56"
"C","Al Jefferson","2015-11-18","CHA","BKN","6800","25.48","43.3","13","17.73","33.23","25.48"
"SF","Al-Farouq Aminu","2015-11-18","POR","HOU","5600","25.77","33.1","19.3","21.18","30.36","25.77"
"SG","Alec Burks","2015-11-18","UTA","TOR","5500","23.54","31.1","12.2","17.03","30.06","23.545"
"C","Alex Len","2015-11-18","PHO","CHI","4000","13.16","23.9","5.8","6.16","20.16","13.16"
"C","Alexis Ajinca","2015-11-18","NOP","OKC","3500","9.69","21.8","-1.8","3.45","15.93","9.69"
"SG","Allen Crabbe","2015-11-18","POR","HOU","3500","12.35","23.4","4.6","6.95","17.76","12.355"
"SF","Alonzo Gee","2015-11-18","NOP","OKC","3500","8.98","18.5","1.2","3.74","14.22","8.98"
"C","Amir Johnson","2015-11-18","BOS","DAL","5200","20.64","45.6","6.3","9.53","31.75","20.64"
"PG","Andre Miller","2015-11-18","MIN","ORL","3900","14.7","27.6","2.5","4.71","24.69","14.7"
"SG","Andre Roberson","2015-11-18","OKC","NOP","3500","11.22","20.9","0.4","5.58","16.86","11.22"
"C","Andrea Bargnani","2015-11-18","BKN","CHA","3500","8.07","28.4","-1","0.38","15.76","8.07"
"PF","Andrew Nicholson","2015-11-18","ORL","MIN","3500","1.1","2","0.2","0.2","2","1.1"
"SF","Andrew Wiggins","2015-11-18","MIN","ORL","7000","27.67","44","8.2","17.93","37.41","27.67"
"PF","Anthony Bennett","2015-11-18","TOR","UTA","3500","4.23","7.2","0.2","1.93","6.54","4.235"
"PF","Anthony Davis","2015-11-18","NOP","OKC","10900","40.47","72.5","3.9","22.3","58.63","40.465"
"SG","Anthony Morrow","2015-11-18","OKC","NOP","3500","8.43","15.2","1","3.72","13.13","8.425"
"PG","Archie Goodwin","2015-11-18","PHO","CHI","3600","10.07","22.2","1","1.6","18.55","10.075"
"SG","Avery Bradley","2015-11-18","BOS","DAL","5500","19.54","31.5","7.1","10.51","28.58","19.545"
"SG","Ben McLemore","2015-11-18","SAC","ATL","3600","10.39","24.8","1.2","2.93","17.84","10.385"
"C","Bismack Biyombo","2015-11-18","TOR","UTA","3900","14.44","28","4.4","8.86","20.01","14.435"
"C","Boban Marjanovic","2015-11-18","SAS","DEN","3500","3.78","11.5","1","-0.16","7.72","3.78"
"PF","Bobby Portis","2015-11-18","CHI","PHO","3500","8.95","11.4","6.5","6.5","11.4","8.95"
"SF","Bojan Bogdanovic","2015-11-18","BKN","CHA","4200","15.98","36.3","4.8","7.4","24.56","15.98"
"PF","Boris Diaw","2015-11-18","SAS","DEN","4100","16.4","30.1","6.7","9.54","23.26","16.4"
"PG","Brandon Knight","2015-11-18","PHO","CHI","7600","33.86","70.5","10.2","17.59","50.13","33.86"
"PG","Brian Roberts","2015-11-18","CHA","BKN","3500","3.22","7.7","1","0.71","5.73","3.22"
"C","Brook Lopez","2015-11-18","BKN","CHA","8000","35.41","44.7","26","28.57","42.25","35.41"
"SG","C.J. McCollum","2015-11-18","POR","HOU","6400","28.92","47.7","21.2","21.77","36.07","28.92"
"SF","C.J. Miles","2015-11-18","IND","PHI","4600","18.65","24.5","11.5","13.69","23.61","18.65"
"PG","C.J. Watson","2015-11-18","ORL","MIN","3600","13.28","22.5","4.5","7.28","19.27","13.275"
"PF","Cameron Bairstow","2015-11-18","CHI","PHO","3500","2.8","3.2","2.4","2.4","3.2","2.8"
"PG","Cameron Payne","2015-11-18","OKC","NOP","3500","3.43","6.5","-1","0.66","6.19","3.425"
"SF","Caron Butler","2015-11-18","SAC","ATL","3500","6.63","15.8","1","1.13","12.13","6.63"
"SF","Chandler Parsons","2015-11-18","DAL","BOS","5300","12.77","30.5","5.2","5.13","20.41","12.77"
"PF","Channing Frye","2015-11-18","ORL","MIN","3800","14.03","24","4.9","7.11","20.96","14.035"
"PF","Charlie Villanueva","2015-11-18","DAL","BOS","3500","14.1","30.5","6.4","5.67","22.53","14.1"
"SF","Chase Budinger","2015-11-18","IND","PHI","3500","9.37","18.6","1.2","3.73","15.01","9.37"
"SG","Chris Johnson","2015-11-18","UTA","TOR","3500","4.92","9.5","2","2.03","7.81","4.92"
"C","Chris Kaman","2015-11-18","POR","HOU","3700","11.3","14.3","8.3","8.3","14.3","11.3"
"PF","Christian Wood","2015-11-18","PHI","IND","3800","11.86","30.6","2.4","2.48","21.23","11.855"
"PF","Cliff Alexander","2015-11-18","POR","HOU","3500","2","2","2","2","2","2"
"C","Clint Capela","2015-11-18","HOU","POR","4400","19.51","36.4","8.2","12.03","26.99","19.51"
"PF","Cody Zeller","2015-11-18","CHA","BKN","4100","17.38","25.7","9.4","11.85","22.91","17.38"
"SF","Corey Brewer","2015-11-18","HOU","POR","3600","13.62","23.9","3","6.23","21.01","13.62"
"PF","Cory Jefferson","2015-11-18","PHO","CHI","3500","4.4","4.4","4.4","4.4","4.4","4.4"
"PG","Cory Joseph","2015-11-18","TOR","UTA","4300","18.75","32.2","3.9","10.25","27.24","18.745"
"PG","D.J. Augustin","2015-11-18","OKC","NOP","3500","13.48","21.9","0.5","7.43","19.53","13.48"
"PG","Damian Lillard","2015-11-18","POR","HOU","9200","40.4","50.9","27.1","33.74","47.06","40.4"
"SF","Damjan Rudez","2015-11-18","MIN","ORL","3500","2.28","5.7","-1","-0.2","4.75","2.275"
"SF","Danilo Gallinari","2015-11-18","DEN","SAS","6600","29.53","50.6","12.9","17.75","41.31","29.53"
"SG","Danny Green","2015-11-18","SAS","DEN","4200","16.8","23.6","12","13.02","20.58","16.8"
"PF","Dante Cunningham","2015-11-18","NOP","OKC","3500","12.46","26","5.6","7.28","17.65","12.465"
"PF","Darrell Arthur","2015-11-18","DEN","SAS","3500","11.38","17.8","5.2","7.83","14.93","11.38"
"PG","Darren Collison","2015-11-18","SAC","ATL","5500","24.65","36.5","19.2","18.94","30.36","24.65"
"PF","David Lee","2015-11-18","BOS","DAL","4200","14.46","26.5","3.6","7.11","21.81","14.46"
"PF","David West","2015-11-18","SAS","DEN","4000","12.54","27.8","2.4","4.67","20.41","12.54"
"PG","Delon Wright","2015-11-18","TOR","UTA","3500","1.27","2.4","0.2","0.37","2.17","1.27"
"SG","DeMar DeRozan","2015-11-18","TOR","UTA","7800","33.5","42","15.7","24.47","42.53","33.5"
"C","DeMarcus Cousins","2015-11-18","SAC","ATL","10700","42.9","58.1","25.3","33.31","52.49","42.9"
"SF","DeMarre Carroll","2015-11-18","TOR","UTA","5800","23.09","33.4","12.2","14.86","31.31","23.085"
"PG","Dennis Schroder","2015-11-18","ATL","SAC","4800","20.99","32.6","8.9","14.95","27.04","20.995"
"PG","Deron Williams","2015-11-18","DAL","BOS","6200","24.27","28","13.5","20.24","28.3","24.27"
"PF","Derrick Favors","2015-11-18","UTA","TOR","8300","34.71","61.4","8.6","20.81","48.61","34.71"
"PG","Derrick Rose","2015-11-18","CHI","PHO","7000","25.4","43.5","11.9","15.78","35.02","25.4"
"SG","Devin Booker","2015-11-18","PHO","CHI","3500","5.57","19.6","-1","-0.82","11.97","5.575"
"SG","Devin Harris","2015-11-18","DAL","BOS","4200","17.87","24.8","1.7","11.69","24.06","17.875"
"SG","Devyn Marble","2015-11-18","ORL","MIN","3500","3.2","3.2","3.2","3.2","3.2","3.2"
"C","Dewayne Dedmon","2015-11-18","ORL","MIN","4000","17.42","30.8","12.8","12.01","22.83","17.42"
"SG","Dion Waiters","2015-11-18","OKC","NOP","4700","19.28","30","10.5","13.25","25.31","19.28"
"PF","Dirk Nowitzki","2015-11-18","DAL","BOS","6500","29.55","43.7","17.5","22.35","36.75","29.55"
"PG","Donald Sloan","2015-11-18","BKN","CHA","3500","3.7","6.4","1","1","6.4","3.7"
