Player_Name,FDFP
"Adreian Payne","14.8"
"Al Horford","31"
"Al Jefferson","27"
"Alexis Ajinca","6"
"Alonzo Gee","7.2"
"Andre Drummond","51.6"
"Andre Iguodala","20.1"
"Andrea Bargnani","0"
"Andrew Bogut","25.2"
"Andrew Wiggins","36.1"
"Anthony Davis","3.9"
"Anthony Tolliver","5.1"
"Aron Baynes","6.4"
"Arron Afflalo","23.1"
"Bismack Biyombo","4.4"
"Bojan Bogdanovic","4.8"
"Brook Lopez","44.5"
"Carmelo Anthony","41.7"
"Chris Bosh","19.4"
"Chris Copeland","5.5"
"Cody Zeller","13.5"
"Cory Joseph","30"
"Danilo Gallinari","50.6"
"Dante Cunningham","26"
"DeJuan Blair","5.5"
"DeMar DeRozan","41"
"DeMarre Carroll","33.4"
"Dennis Schroder","26"
"Derrick Williams","6"
"Draymond Green","28.3"
"Drew Gooden","-1"
"Dwyane Wade","18.4"
"Emmanuel Mudiay","31.6"
"Eric Gordon","32.2"
"Ersan Ilyasova","32.2"
"Festus Ezeli","26.7"
"Frank Kaminsky","13.5"
"Garrett Temple","19.4"
"Gary Harris","27.3"
"Gary Neal","17.6"
"Gerald Green","8.3"
"Giannis Antetokounmpo","25.5"
"Goran Dragic","31.9"
"Gorgui Dieng","16.7"
"Greg Monroe","15"
"Greivis Vasquez","18.9"
"Harrison Barnes","13.3"
"Hassan Whiteside","54.8"
"Ian Clark","7"
"Ish Smith","29.6"
"J.R. Smith","22.2"
"Jameer Nelson","28.8"
"James Johnson","5.4"
"James Jones","13.1"
"Jared Cunningham","0"
"Jared Dudley","26.4"
"Jarrett Jack","29.6"
"Jeremy Lamb","23.7"
"Jeremy Lin","21.5"
"Jerian Grant","4"
"Jerryd Bayless","26.7"
"Jimmer Fredette","0"
"JJ Hickson","4.4"
"Joe Johnson","36.9"
"John Henson","19.7"
"John Wall","34.7"
"Johnny O'Bryant","5.5"
"Jonas Valanciunas","19.2"
"Jose Calderon","17.1"
"Josh McRoberts","2.1"
"Jrue Holiday","22.7"
"Justin Holiday","9.8"
"Justise Winslow","18.7"
"Karl-Anthony Towns","32.8"
"Kelly Oubre","9.6"
"Kemba Walker","44.3"
"Kenneth Faried","20.4"
"Kentavious Caldwell-Pope","18.9"
"Kevin Garnett","15.4"
"Kevin Love","32.3"
"Kevin Martin","14.8"
"Kevin Seraphin","24"
"Khris Middleton","17.4"
"Klay Thompson","24.7"
"Kostas Papanikolaou","8.6"
"Kris Humphries","16.3"
"Kristaps Porzingis","43.2"
"Kyle Korver","21.5"
"Kyle Lowry","43.7"
"Lance Thomas","0"
"Langston Galloway","22.3"
"Leandro Barbosa","13.7"
"LeBron James","37.7"
"Lou Amundson","2.7"
"Luis Scola","12"
"Luke Babbitt","19.4"
"Luol Deng","30.7"
"Marcin Gortat","23.3"
"Marcus Morris","22.3"
"Marreese Speights","5.4"
"Marvin Williams","8.7"
"Matthew Dellavedova","8.5"
"Michael Carter-Williams","9.2"
"Mike Miller","0"
"Mike Muscala","9.1"
"Mike Scott","14.8"
"Miles Plumlee","2"
"Mo Williams","29.5"
"Nemanja Bjelica","8.8"
"Nicolas Batum","10.2"
"Nikola Jokic","1.2"
"Otto Porter","33.4"
"Patrick Patterson","3.9"
"Paul Millsap","27.7"
"Ramon Sessions","9.5"
"Randy Foye","9.8"
"Rashad Vaughn","4"
"Reggie Bullock","1.5"
"Reggie Jackson","45.2"
"Richard Jefferson","1.7"
"Ricky Rubio","21.3"
"Robin Lopez","12.9"
"Rondae Hollis-Jefferson","13.4"
"Ryan Anderson","34.2"
"Sasha Vujacic","2"
"Shabazz Muhammad","19"
"Shane Larkin","20.9"
"Shelvin Mack","17.4"
"Spencer Dinwiddie","6.7"
"Spencer Hawes","22.5"
"Stanley Johnson","12.7"
"Stephen Curry","49.9"
"Tayshaun Prince","6.8"
"Thabo Sefolosha","18.9"
"Thaddeus Young","37.2"
"Thomas Robinson","2.8"
"Tiago Splitter","5.6"
"Timofey Mozgov","22.7"
"Toney Douglas","8.9"
"Tristan Thompson","16.8"
"Tyler Ennis","7.4"
"Tyler Johnson","5.9"
"Wayne Ellington","8.7"
"Will Barton","33.4"
"Zach LaVine","28.3"
