name,pos,team,opp,def_pos_Pts_48,projected_minutes,projected_FD_FP,FD_salary
"PF","Quincy Acy","SAC","DET","0.964107","16.2","11.58","3500"
"C","Alexis Ajinca","NO","ATL","1.09146","18.4","15.37","3500"
"C","Cole Aldrich","LAC","DAL","0.935243","10.9","9.66","3600"
"PF","LaMarcus Aldridge","SA","POR","0.864974","35.9","36.96","8100"
"PF","Lavoy Allen","IND","BOS","0.884542","21.7","17.14","3600"
"PF","Ryan Anderson","NO","ATL","0.922107","32.3","26.22","5800"
"SF","Justin Anderson","DAL","LAC","0.741637","10.3","7.95","3500"
"SG","Giannis Antetokounmpo","MIL","DEN","0.901875","35.2","30.65","7000"
"SF","Carmelo Anthony","NY","CHA","0.71934","35.8","34.9","9400"
"C","Joel Anthony","DET","SAC","1.13578","7.3","5.34","3500"
"SF","Trevor Ariza","HOU","BKN","0.848661","33.1","22.59","5800"
"PF","Darrell Arthur","DEN","MIL","0.983631","3.2","2.44","3500"
"C","Omer Asik","NO","ATL","1.09146","26.2","20.2","4200"
"SF","Luke Babbitt","NO","ATL","0.730648","25.2","14.81","3600"
"SG","Leandro Barbosa","GS","MEM","0.705677","12.8","9","3700"
"C","Andrea Bargnani","BKN","HOU","0.994167","18.6","15.42","3500"
"SF","Harrison Barnes","GS","MEM","0.823932","32.4","20.64","5100"
"SG","Will Barton","DEN","MIL","0.765298","28","21.57","4900"
"PF","Brandon Bass","LAL","ORL","0.811696","20.4","15.39","3700"
"PG","Jerryd Bayless","MIL","DEN","1.03455","29.2","22.87","3700"
"C","Aron Baynes","DET","SAC","1.13578","12.6","11.13","3500"
"SG","Marco Belinelli","SAC","DET","0.821726","30.6","22.32","4000"
"PG","Patrick Beverley","HOU","BKN","0.872113","22.2","14.66","3600"
"C","Bismack Biyombo","TOR","PHI","1.03819","19.5","17.51","3800"
"C","Tarik Black","LAL","ORL","0.936875","14","11.98","3900"
"PG","Steve Blake","DET","SAC","0.816641","19.9","13.58","3500"
"SF","Bojan Bogdanovic","BKN","HOU","0.901577","24.2","14.29","3800"
"C","Andrew Bogut","GS","MEM","0.856094","24.2","20.44","5400"
"C","Matt Bonner","SA","POR","1.07841","3.2","2.03","3500"
"SG","Avery Bradley","BOS","IND","0.819818","27.9","17.95","5800"
