"C","Clint Capela","2015-11-20","HOU","MEM","4300","18.95","36.4","8.2","11.56","26.34","18.95"
"PF","Cody Zeller","2015-11-20","CHA","PHI","3800","16.44","25.7","8","10.49","22.39","16.44"
"C","Cole Aldrich","2015-11-20","LAC","POR","3500","3.9","6.8","1","1","6.8","3.9"
"SF","Corey Brewer","2015-11-20","HOU","MEM","3700","14.13","23.9","3","6.86","21.41","14.135"
"PF","Cory Jefferson","2015-11-20","PHO","DEN","3500","4.4","4.4","4.4","4.4","4.4","4.4"
"PG","Cory Joseph","2015-11-20","TOR","LAL","4400","18.23","32.2","3.9","9.92","26.54","18.23"
"SG","Courtney Lee","2015-11-20","MEM","HOU","3900","17.12","22.4","10.9","13.06","21.17","17.115"
"PG","D'Angelo Russell","2015-11-20","LAL","TOR","5000","19.68","26.7","7.6","14.09","25.27","19.68"
"PG","D.J. Augustin","2015-11-20","OKC","NYK","3500","13.41","21.9","0.5","7.63","19.19","13.41"
"PG","Damian Lillard","2015-11-20","POR","LAC","9000","39.33","50.9","27.1","32.05","46.62","39.335"
"SF","Damjan Rudez","2015-11-20","MIN","DET","3500","2.28","5.7","-1","-0.2","4.75","2.275"
"SF","Danilo Gallinari","2015-11-20","DEN","PHO","6900","29.16","50.6","12.9","17.82","40.5","29.16"
"SG","Danny Green","2015-11-20","SAS","NOP","4200","16.96","23.6","12","13.33","20.6","16.965"
"PF","Dante Cunningham","2015-11-20","NOP","SAS","3800","13.36","26","5.6","7.58","19.14","13.36"
"PF","Darrell Arthur","2015-11-20","DEN","PHO","3500","11.62","17.8","5.2","8.15","15.09","11.62"
"PF","David Lee","2015-11-20","BOS","BKN","4200","14.58","26.5","3.6","7.6","21.56","14.58"
"PF","David West","2015-11-20","SAS","NOP","3900","12.64","27.8","2.4","5.12","20.15","12.635"
"C","DeAndre Jordan","2015-11-20","LAC","POR","7600","31.53","53.1","22.2","23.19","39.86","31.525"
"PG","Delon Wright","2015-11-20","TOR","LAL","3500","1.27","2.4","0.2","0.37","2.17","1.27"
"SG","DeMar DeRozan","2015-11-20","TOR","LAL","7800","32.93","42","15.7","24.07","41.78","32.925"
"SF","DeMarre Carroll","2015-11-20","TOR","LAL","5900","22.66","33.4","12.2","14.81","30.5","22.655"
"PG","Deron Williams","2015-11-20","DAL","UTA","6300","25.21","34.6","13.5","20.36","30.06","25.21"
"PF","Derrick Favors","2015-11-20","UTA","DAL","8300","34.71","61.4","8.6","21.52","47.9","34.71"
"PG","Derrick Rose","2015-11-20","CHI","GSW","7000","25.4","43.5","11.9","15.78","35.02","25.4"
"PF","Derrick Williams","2015-11-20","NYK","OKC","3500","12.58","33.9","2","4.44","20.71","12.575"
"SG","Devin Booker","2015-11-20","PHO","DEN","3500","6.28","19.6","-1","0.01","12.54","6.275"
"SG","Devin Harris","2015-11-20","DAL","UTA","4100","17.46","24.8","1.7","11.38","23.54","17.46"
"SG","Dion Waiters","2015-11-20","OKC","NYK","4500","18.6","30","10.5","12.46","24.74","18.6"
"PF","Dirk Nowitzki","2015-11-20","DAL","UTA","6600","29.85","43.7","17.5","22.92","36.79","29.855"
"PG","Donald Sloan","2015-11-20","BKN","BOS","3500","3.7","6.4","1","1","6.4","3.7"
"SF","Doug McDermott","2015-11-20","CHI","GSW","3700","14.09","28.3","8.2","8.52","19.66","14.09"
"PF","Draymond Green","2015-11-20","GSW","CHI","7900","35.26","56.6","20.5","24.43","46.09","35.26"
"C","Dwight Howard","2015-11-20","HOU","MEM","8100","34.8","50.9","20.4","24.4","45.2","34.8"
"PF","Dwight Powell","2015-11-20","DAL","UTA","4500","23.25","31.3","15.7","17.42","29.08","23.25"
"PG","E'Twaun Moore","2015-11-20","CHI","GSW","3500","9.94","17.3","3.4","5.41","14.46","9.935"
"PF","Ed Davis","2015-11-20","POR","LAC","4200","16.64","27.7","2.8","8.55","24.73","16.64"
"SF","Elijah Millsap","2015-11-20","UTA","DAL","3500","5.22","16.3","1","-0.38","10.82","5.22"
"PG","Emmanuel Mudiay","2015-11-20","DEN","PHO","5800","25.43","37.1","16.3","18.63","32.22","25.425"
"C","Enes Kanter","2015-11-20","OKC","NYK","6300","25.32","39.8","17.2","18.63","32.01","25.32"
"SG","Eric Bledsoe","2015-11-20","PHO","DEN","8500","38.58","55.6","21.8","28.86","48.31","38.585"
"SG","Eric Gordon","2015-11-20","NOP","SAS","6200","28.16","36.1","16.4","22.19","34.13","28.16"
"PF","Ersan Ilyasova","2015-11-20","DET","MIN","4500","16.9","32.2","6.9","8.91","24.89","16.9"
"SF","Evan Turner","2015-11-20","BOS","BKN","5200","19.66","35","10.3","10.61","28.71","19.66"
"C","Festus Ezeli","2015-11-20","GSW","CHI","4300","20.32","30.4","10","14.19","26.44","20.315"
"PF","Frank Kaminsky","2015-11-20","CHA","PHI","3600","9.6","18.1","-1","3.52","15.68","9.6"
"SG","Gary Harris","2015-11-20","DEN","PHO","4000","16.72","27.3","7.7","9.72","23.71","16.715"
"SG","Gerald Henderson","2015-11-20","POR","LAC","3800","8.13","14.4","4.2","4.06","12.19","8.125"
"SF","Gordon Hayward","2015-11-20","UTA","DAL","6500","26.44","39.7","14.5","19.66","33.22","26.44"
"C","Gorgui Dieng","2015-11-20","MIN","DET","4100","15.39","29.9","4.2","9","21.78","15.39"
"SF","Harrison Barnes","2015-11-20","GSW","CHI","5100","23.56","34.3","13.3","17.09","30.03","23.56"
"SF","Hollis Thompson","2015-11-20","PHI","CHA","3800","16.41","26.2","7.6","10.71","22.11","16.41"
"SG","Ian Clark","2015-11-20","GSW","CHI","3500","6.43","20.1","-0.8","0.59","12.26","6.425"
"PG","Isaiah Canaan","2015-11-20","PHI","CHA","4000","15.34","35.1","4","6.53","24.15","15.34"
"PG","Isaiah Thomas","2015-11-20","BOS","BKN","7500","33.25","46","21.6","25.06","41.44","33.25"
"PG","Ish Smith","2015-11-20","NOP","SAS","5600","26.38","40.6","7.9","16.05","36.71","26.38"
"PG","J.J. Barea","2015-11-20","DAL","UTA","3600","15.69","26.6","-0.8","8.47","22.92","15.695"
"PF","J.J. Hickson","2015-11-20","DEN","PHO","4100","16.7","42.1","3.8","4.44","28.96","16.7"
"SG","J.J. Redick","2015-11-20","LAC","POR","4600","18.49","28","12","13.5","23.47","18.485"
"SF","Jae Crowder","2015-11-20","BOS","BKN","5200","25.53","38","17.3","19.62","31.44","25.53"
"C","Jahlil Okafor","2015-11-20","PHI","CHA","6500","30.63","43.5","18.2","22.37","38.88","30.625"
"SF","JaKarr Sampson","2015-11-20","PHI","CHA","3500","9.93","18.2","1","4.7","15.16","9.93"
"SG","Jamal Crawford","2015-11-20","LAC","POR","4400","19.65","55.2","7","7.41","31.88","19.645"
"PG","Jameer Nelson","2015-11-20","DEN","PHO","4700","17.8","28.8","6.5","11.41","24.19","17.8"
"SF","James Ennis","2015-11-20","MEM","HOU","3500","1.5","1.5","1.5","1.5","1.5","1.5"
"SG","James Harden","2015-11-20","HOU","MEM","10300","46.19","78.1","17.7","30.86","61.53","46.195"
"SF","James Johnson","2015-11-20","TOR","LAL","3500","10.54","21.1","-1","2.02","19.06","10.54"
"PF","James Michael McAdoo","2015-11-20","GSW","CHI","3500","6.25","18.9","1.5","0.02","12.48","6.25"
"PF","JaMychal Green","2015-11-20","MEM","HOU","3700","14.15","25.4","5.9","7.89","20.41","14.15"
"PF","Jared Sullinger","2015-11-20","BOS","BKN","6100","28.07","39.1","14.1","20.98","35.16","28.07"
"PG","Jarrett Jack","2015-11-20","BKN","BOS","6600","30.97","48.3","15.2","20.28","41.66","30.97"
"PG","Jason Terry","2015-11-20","HOU","MEM","3500","8.37","19.5","2.2","3.21","13.53","8.37"
"PF","Jason Thompson","2015-11-20","GSW","CHI","4000","5.4","14.8","1.2","0.57","10.23","5.4"
"SF","Jeff Green","2015-11-20","MEM","HOU","4300","16.13","31.5","0.4","6.36","25.89","16.125"
"C","Jeff Withey","2015-11-20","UTA","DAL","3500","13.3","22.4","4.2","4.2","22.4","13.3"
"PF","Jerami Grant","2015-11-20","PHI","CHA","4400","20.97","31.5","10.9","15.66","26.27","20.965"
"PF","Jeremy Evans","2015-11-20","DAL","UTA","3500","5.83","18.2","-1","-0.56","12.22","5.83"
"SG","Jeremy Lamb","2015-11-20","CHA","PHI","4600","20.88","32.3","6.8","14.07","27.69","20.88"
"PG","Jeremy Lin","2015-11-20","CHA","PHI","4700","20.98","28","10.7","15.47","26.5","20.985"
"PG","Jerian Grant","2015-11-20","NYK","OKC","3600","14.26","24.7","4","8.88","19.64","14.26"
"SG","Jimmy Butler","2015-11-20","CHI","GSW","8000","34.81","43.2","20.7","27.83","41.78","34.805"
"C","Joakim Noah","2015-11-20","CHI","GSW","4700","19.55","37.6","5","10.38","28.72","19.55"
"SG","Jodie Meeks","2015-11-20","DET","MIN","3600","3.4","3.4","3.4","3.4","3.4","3.4"
"SF","Joe Ingles","2015-11-20","UTA","DAL","3500","9.7","18.6","4.4","5","14.4","9.7"
"SG","Joe Johnson","2015-11-20","BKN","BOS","6400","24.5","39.4","6.9","15.36","33.64","24.5"
"PF","Joffrey Lauvergne","2015-11-20","DEN","PHO","4000","21.93","24.9","19","19.52","24.34","21.93"
"SG","John Jenkins","2015-11-20","DAL","UTA","3600","13","26.7","5.9","3.31","22.69","13"
"PF","Jon Leuer","2015-11-20","PHO","DEN","3500","14.07","28.9","5.4","6.61","21.54","14.075"
"PF","Jonas Jerebko","2015-11-20","BOS","BKN","3500","8.21","15.1","2.4","4.03","12.39","8.21"
"C","Jonas Valanciunas","2015-11-20","TOR","LAL","6000","27.53","39","19","22.25","32.82","27.535"
"SG","Jonathon Simmons","2015-11-20","SAS","NOP","3500","9.4","9.4","9.4","9.4","9.4","9.4"
"SG","Jordan Adams","2015-11-20","MEM","HOU","3500","8.95","11.9","6","6","11.9","8.95"
"PG","Jordan Clarkson","2015-11-20","LAL","TOR","6000","22.71","38.6","11.9","14.04","31.38","22.71"
"PF","Jordan Mickey","2015-11-20","BOS","BKN","3500","6.05","6.2","5.9","5.9","6.2","6.05"
"PG","Jose Calderon","2015-11-20","NYK","OKC","4400","14.64","27.5","6.7","8.64","20.64","14.64"
"PF","Josh Smith","2015-11-20","LAC","POR","3900","12.96","18.5","5.2","8.12","17.81","12.965"
"PG","Jrue Holiday","2015-11-20","NOP","SAS","5600","20.65","29.4","12.2","15.04","26.26","20.65"
"PF","Julius Randle","2015-11-20","LAL","TOR","5500","24.57","54","1.9","11.61","37.53","24.57"
"SF","Justin Anderson","2015-11-20","DAL","UTA","3500","6.85","15.7","1.2","0.99","12.71","6.85"
"SF","K.J. McDaniels","2015-11-20","HOU","MEM","3500","5.95","6.7","5.2","5.2","6.7","5.95"
"C","Karl-Anthony Towns","2015-11-20","MIN","DET","7100","33.51","54.8","18.3","22.7","44.32","33.51"
"SF","Kawhi Leonard","2015-11-20","SAS","NOP","8600","38.29","48.6","31.5","32.64","43.94","38.29"
"C","Kelly Olynyk","2015-11-20","BOS","BKN","3700","16.63","40.4","5.4","6.48","26.79","16.635"
"PG","Kemba Walker","2015-11-20","CHA","PHI","7400","31.47","44.3","17.9","23.15","39.79","31.47"
"C","Kendrick Perkins","2015-11-20","NOP","SAS","3500","9.53","16.3","3.5","4.28","14.78","9.53"
"PF","Kenneth Faried","2015-11-20","DEN","PHO","6800","27.64","43.5","10.4","18.36","36.93","27.645"
"SG","Kentavious Caldwell-Pope","2015-11-20","DET","MIN","5000","22.16","27.8","15.2","17.69","26.63","22.16"
"SF","Kevin Durant","2015-11-20","OKC","NYK","10300","43.08","64.4","28.2","30.57","55.58","43.075"
"PF","Kevin Garnett","2015-11-20","MIN","DET","3700","12.45","26","2.4","5.69","19.21","12.45"
"SG","Kevin Martin","2015-11-20","MIN","DET","4600","18.85","28.8","3.7","12.2","25.51","18.855"
"PF","Kevin Seraphin","2015-11-20","NYK","OKC","3800","8.38","24","1.2","0.47","16.28","8.375"
"SG","Kirk Hinrich","2015-11-20","CHI","GSW","3700","12.28","26.4","1.5","2.86","21.69","12.275"
"SG","Klay Thompson","2015-11-20","GSW","CHI","6400","25.06","33.5","13.4","19.01","31.11","25.06"
